testdir,nranks,epcnt,epsz,wrsz,blksz,access,bw(MiB/s),IOPS,Latency(s),block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),iter
/mnt/lt20ad1/fio-jobdir,16,1,372,372M,1m,write,1972.31,1973.31,0.005087,380928,1024.00,0.008119,3.02,1.14,3.02,0,
/mnt/lt20ad1/fio-jobdir,16,3,372,1116M,1m,write,2603.73,2604.26,0.005246,1142784,1024.00,0.008358,6.86,1.13,6.86,0,
/mnt/lt20ad1/fio-jobdir,16,6,372,2232M,1m,write,2116.28,2116.46,0.005061,2285568,1024.00,0.007514,16.87,5.67,16.87,0,
/mnt/lt20ad1/fio-jobdir,16,9,372,3348M,1m,write,1149.41,1149.45,0.007531,3428352,1024.00,0.008039,46.60,30.05,46.60,0,
/mnt/lt20ad1/fio-jobdir,16,12,372,4464M,1m,write,1831.74,1831.81,0.005185,4571136,1024.00,0.007704,38.99,17.09,38.99,0,
/mnt/lt20ad1/fio-jobdir,64,1,372,372M,1m,write,3252.61,3253.10,0.010711,380928,1024.00,0.006941,7.32,4.53,7.32,0,
/mnt/lt20ad1/fio-jobdir,64,3,372,1116M,1m,write,2305.18,2305.27,0.013984,1142784,1024.00,0.013990,30.98,23.38,30.98,0,
/mnt/lt20ad1/fio-jobdir,64,6,372,2232M,1m,write,1754.94,1754.97,0.023239,2285568,1024.00,0.011269,81.40,66.53,81.40,0,
/mnt/lt20ad1/fio-jobdir,64,9,372,3348M,1m,write,1627.31,1627.33,0.026095,3428352,1024.00,0.007535,131.67,109.47,131.67,0,
/mnt/lt20ad1/fio-jobdir,64,12,372,4464M,1m,write,1845.36,1845.38,0.016141,4571136,1024.00,0.010835,154.82,101.12,154.82,0,
/mnt/lt20ad1/fio-jobdir,512,1,372,372M,1m,write,2202.48,2202.53,0.046643,380928,1024.00,0.010545,86.48,72.17,86.48,0,
/mnt/lt20ad1/fio-jobdir,512,3,372,1116M,1m,write,1972.75,1972.76,0.250499,1142784,1024.00,0.017602,289.64,165.63,289.64,0,
/mnt/lt20ad1/fio-jobdir,512,6,372,2232M,1m,write,1937.75,1937.75,0.231569,2285568,1024.00,0.015095,589.75,292.18,589.75,0,
/mnt/lt20ad1/fio-jobdir,512,9,372,3348M,1m,write,1564.10,1564.10,0.292558,3428352,1024.00,0.075753,1095.95,739.43,1095.95,0,
/mnt/lt20ad1/fio-jobdir,512,12,372,4464M,1m,write,2004.35,2004.35,0.245497,4571136,1024.00,0.017539,1140.30,600.27,1140.30,0,
/mnt/lt20ad1/fio-jobdir,16,1,372,372M,1m,write,370.70,370.73,0.004780,380928,1024.00,0.007587,16.05,14.27,16.06,0,
/mnt/lt20ad1/fio-jobdir,16,3,372,1116M,1m,write,2878.58,2879.27,0.005338,1142784,1024.00,0.008442,6.20,0.497659,6.20,0,
/mnt/lt20ad1/fio-jobdir,16,6,372,2232M,1m,write,2968.00,2968.36,0.005325,2285568,1024.00,0.008160,12.03,0.285897,12.03,0,
/mnt/lt20ad1/fio-jobdir,16,9,372,3348M,1m,write,1350.99,1351.04,0.005201,3428352,1024.00,0.007795,39.65,24.51,39.65,0,
/mnt/lt20ad1/fio-jobdir,16,12,372,4464M,1m,
/mnt/lt20ad1/fio-jobdir,64,1,372,372M,1m,
/mnt/lt20ad1/fio-jobdir,64,3,372,1116M,1m,write,2317.46,2317.55,0.006928,1142784,1024.00,0.007623,30.82,23.08,30.82,0,
/mnt/lt20ad1/fio-jobdir,64,6,372,2232M,1m,write,1670.69,1670.71,0.019521,2285568,1024.00,0.009899,85.50,63.53,85.50,0,
/mnt/lt20ad1/fio-jobdir,64,9,372,3348M,1m,
/mnt/lt20ad1/fio-jobdir,64,12,372,4464M,1m,
