,run,epcnt,intvl,pvtcnt,drop,wr_min,wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,max_fin_dura,total_io_time
0,2,6,500000,256,0,30300,9500000,0.077,0,244123.0,248136.0,208552.0,212667.0,225245.0,229322.0,225624.0,233687.0,181379.0,189420.0,253368.0,257550.0,8.012,1370791.393
1,2,3,500000,2048,0,1200000,7500000,0.146,0,194660.0,194791.0,282546.0,297288.0,159412.0,174200.0,,,,,,,7.356,666286.431
2,2,3,500000,1024,0,1500000,8100000,0.192,0,185642.0,188148.0,230766.0,236924.0,207041.0,214858.0,,,,,,,5.347,639934.296
3,2,3,250000,4096,0,2900000,7400000,0.093,0,196465.0,196657.0,212402.0,212655.0,204691.0,205144.0,,,,,,,1918.055,616375.242
4,2,1,500000,1024,0,2100000,8100000,0.148,0,177939.0,178073.0,,,,,,,,,,,4.218999999999999,178077.698
5,2,1,250000,256,0,36600,12000000,0.078,0,244566.0,258616.0,,,,,,,,,,,4.8069999999999995,258620.63799999998
6,2,1,250000,2048,0,2200000,7800000,0.136,0,187625.0,187850.0,,,,,,,,,,,7.746,187857.253
7,2,1,500000,256,0,115500,8400000,0.068,0,202366.0,206447.0,,,,,,,,,,,1380.234,207827.55299999999
8,2,1,250000,4096,0,4200000,7800000,0.101,0,222784.0,222963.0,,,,,,,,,,,4.6290000000000004,222967.40500000003
9,2,3,1000000,256,0,149900,9200000,0.072,0,213730.0,217853.0,216004.0,224073.0,236835.0,244909.0,,,,,,,5.417,686840.333
10,2,1,750000,8192,0,2800000,7800000,0.113,0,171694.0,171806.0,,,,,,,,,,,2611.014,174417.075
11,2,1,500000,2048,0,921200,9000000,0.338,0,182693.0,183393.0,,,,,,,,,,,3.821,183397.152
12,2,3,500000,8192,0,2900000,8199999,0.129,0,226552.0,226715.0,182720.0,182842.0,215490.0,215611.0,,,,,,,1470.4440000000002,626637.836
13,2,1,1000000,4096,0,3200000,7300000,0.094,0,152010.0,156233.0,,,,,,,,,,,1094.2559999999999,157326.92700000003
14,2,3,250000,1024,0,2700000,9000000,0.047,0,168501.0,168639.0,203496.0,203641.0,192152.0,201368.0,,,,,,,1198.201,574845.846
15,2,1,250000,1024,0,984500,8300000,0.213,0,196470.0,196671.0,,,,,,,,,,,4.287,196675.53100000002
16,2,1,1000000,2048,0,2700000,8400000,0.131,0,228633.0,232655.0,,,,,,,,,,,7.656,232662.825
17,2,3,500000,256,0,82300,8500000,0.098,0,194406.0,198423.0,205617.0,213571.0,245602.0,249653.0,,,,,,,2616.538,664263.268
18,2,1,750000,1024,0,3700000,9200000,0.053,0,231193.0,235278.0,,,,,,,,,,,4.678,235282.688
19,2,3,500000,4096,0,5700000,8700000,0.043,0,192386.0,192519.0,184538.0,187530.0,265386.0,271894.0,,,,,,,5.821,651949.315
20,2,6,250000,1024,0,2700000,7700000,0.098,0,181967.0,182109.0,190159.0,190284.0,201216.0,205331.0,173925.0,177991.0,196777.0,200865.0,199231.0,206244.0,11.934000000000001,1162835.986
21,2,3,1000000,4096,0,1900000,7500000,0.173,0,253354.0,257427.00000000003,230538.0,237085.0,157526.0,160172.0,,,,,,,1309.28,655992.681
22,2,3,1000000,1024,0,1500000,8900000,0.158,0,178271.0,182396.0,240468.0,248518.0,190720.0,194785.0,,,,,,,2168.349,627867.7609999999
23,2,6,250000,512,0,1200000,7100000,0.113,0,181090.0,185287.0,203839.0,208027.0,205105.0,205203.0,200184.0,204288.0,210700.0,218762.0,174932.0,179036.0,352.60200000000003,1200955.876
24,2,6,250000,2048,0,3800000,6900000,0.038,0,174707.0,174848.0,193299.0,195045.0,197847.0,202792.0,221416.0,227092.0,199079.0,201534.0,226602.0,230696.0,11.611,1232018.962
25,2,1,750000,512,0,1600000,7300000,0.046,0,165672.0,169850.0,,,,,,,,,,,3.528,169853.623
26,2,1,250000,512,0,1700000,7500000,0.041,0,180248.0,180432.0,,,,,,,,,,,1424.922,181856.97400000002
27,2,1,750000,2048,0,3700000,9100000,0.049,0,242012.0,254556.0,,,,,,,,,,,3.972,254560.459
28,2,3,750000,2048,0,4700000,7900000,0.066,0,199423.0,199566.0,227602.0,231869.0,217860.0,224170.0,,,,,,,799.202,656404.867
29,2,3,250000,256,0,36200,10700000,0.069,0,188637.0,188767.0,236007.0,240174.0,262956.0,271083.0,,,,,,,7.685,700031.5789999999
30,2,3,750000,4096,0,2600000,7800000,0.135,0,198124.0,208295.0,194588.0,208568.0,207918.0,215920.0,,,,,,,5.521,632788.3339999999
31,2,3,250000,2048,0,4200000,7200000,0.073,0,187877.0,191970.0,201972.0,210034.0,192684.0,200788.0,,,,,,,7.957000000000001,602800.269
32,2,3,250000,512,0,1500000,7100000,0.074,0,203841.0,207990.0,201511.0,209589.0,191095.0,199146.0,,,,,,,7.023,616731.686
33,2,3,1000000,512,0,1600000,8400000,0.071,0,183179.0,187270.0,201140.0,209213.0,212003.0,224959.0,,,,,,,5.720000000000001,621448.1070000001
34,2,1,500000,8192,0,554700,10100000,0.421,0,207347.0,207477.0,,,,,,,,,,,3.769,207480.558
35,2,3,500000,512,0,820800,7900000,0.168,0,165132.0,167753.0,215479.0,222048.0,195773.0,201895.0,,,,,,,2540.318,594235.786
36,2,1,500000,512,0,1500000,7200000,0.089,0,183137.0,199076.0,,,,,,,,,,,3.9690000000000003,199080.456
37,2,1,500000,4096,0,979500,8800000,0.333,0,179482.0,180131.0,,,,,,,,,,,4.144,180134.87
38,2,3,1000000,2048,0,2100000,8600000,0.139,0,228028.0,232022.0,199893.0,207924.0,199071.0,206506.0,,,,,,,5.083,646457.0240000001
39,2,3,750000,1024,0,3300000,13400000,0.072,0,213291.0,213445.0,205800.0,209887.0,310832.0,318944.0,,,,,,,7.704,742283.046
40,2,1,750000,4096,0,3200000,7900000,0.129,0,240533.0,244729.0,,,,,,,,,,,3.614,244732.189
41,2,1,250000,8192,0,709900,9900000,0.381,0,204486.0,204675.0,,,,,,,,,,,3.9810000000000003,204679.176
42,2,1,750000,256,0,549000,8500000,0.099,0,196358.0,204849.0,,,,,,,,,,,3.577,204852.09699999998
43,2,6,250000,256,0,254300,9300000,0.062,0,208346.0,220748.0,232256.0,252713.0,220287.0,225936.0,200485.0,207042.0,224902.0,229959.0,221044.0,226031.0,10.847000000000001,1362439.128
44,2,6,250000,4096,0,818000,8600000,0.303,0,180693.0,180851.0,173657.0,173828.0,211429.0,211541.0,213432.0,217519.0,221094.0,225220.0,187807.0,188012.0,12.618,1196983.086
45,2,1,1000000,1024,0,1900000,8000000,0.123,0,186081.0,186243.0,,,,,,,,,,,2312.873,188555.577
46,2,1,1000000,512,0,1800000,9300000,0.062,0,237462.0,244589.0,,,,,,,,,,,3.729,244592.92500000002
47,2,3,750000,256,0,67000,8900000,0.085,0,199918.0,206362.0,201157.0,211496.0,212230.0,220183.0,,,,,,,5.079000000000001,638046.15
