nranks,rounds,npivots,mean,std,min,max
16,100,256,11090.0,3146.4,4951,19998
16,100,512,17130.0,3844.0,9822,33634
16,100,1024,23280.0,3625.9,15116,35993
16,100,2048,40657.0,6322.7,29444,61810
16,100,4096,66278.0,7521.3,50503,86874
16,100,8192,122014.0,13951.1,93131,169298
32,100,256,25299.0,7551.4,14949,46345
32,100,512,28256.0,4471.9,19328,40837
32,100,1024,30842.0,6303.4,19282,59436
32,100,2048,51568.0,8358.4,37842,90787
32,100,4096,90152.0,38692.0,65253,455534
32,100,8192,151719.0,19466.1,126295,306166
64,100,256,23800.0,5375.3,15659,45507
64,100,512,28568.0,7044.2,18156,54292
64,100,1024,35614.0,5944.5,26880,57634
64,100,2048,55586.0,8177.2,39885,84392
64,100,4096,103708.0,27745.9,77317,362240
64,100,8192,182732.0,14222.7,146024,214129
128,100,256,34419.0,11443.0,20098,133432
128,100,512,37545.0,10548.2,25891,121520
128,100,1024,49657.0,12395.9,36159,146013
128,100,2048,84896.0,17543.7,60765,202922
128,100,4096,140028.0,19263.8,112306,283705
128,100,8192,274836.0,37308.6,198239,436997
256,100,256,41319.0,10316.6,29907,128083
256,100,512,47305.0,10844.0,32509,119341
256,100,1024,63341.0,12917.1,40103,149415
256,100,2048,113274.0,16973.4,82597,200770
256,100,4096,185720.0,42918.1,150167,504022
256,100,8192,341020.0,56986.7,249841,666290
512,100,256,52694.0,18564.2,36300,168201
512,100,512,60674.0,27561.0,39553,260004
512,100,1024,91411.0,40557.5,58522,286865
512,100,2048,139940.0,20127.1,101715,216211
512,100,4096,265838.0,83552.1,173875,725242
512,100,8192,534224.0,99168.2,336206,926789
1024,100,256,67727.0,21921.5,43539,193872
1024,100,512,91410.0,26788.1,53877,258276
1024,100,1024,113093.0,82314.9,78802,855028
1024,100,2048,299919.0,159261.4,134346,1496391
1024,100,4096,483288.0,176589.8,241837,1065186
1024,100,8192,1516188.0,458561.1,497062,2492962
2048,100,256,161109.0,81525.8,56538,538012
2048,100,512,194801.0,94521.0,73369,578686
2048,100,1024,247501.0,121166.3,109631,665887
2048,100,2048,516228.0,274714.3,212311,2833016
2048,100,4096,441679.0,708505.8,266489,6775393
2048,100,8192,2058464.0,490895.5,705228,3160017
