,run,nranks,epcnt,intvl,pvtcnt,drop,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,wr_min,wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time
0,2,128,12,1000000,2048,0,4900000,11400000,3200000.0,11800000.0,5900000.0,9600000.0,4200000.0,11700000.0,3500000.0,12000000.0,6200000.0,11000000.0,5900000.0,10500000.0,3500000.0,11500000.0,5800000.0,8300000.0,3500000.0,13200000.0,5800000.0,13300000.0,3400000.0,12800000.0,3400000,12800000,0.101,0,36101.0,36194.0,46395.0,46568.0,53770.0,53975.0,54754.0,54988.0,58090.0,58269.0,60808.0,60940.0,58515.0,58664.0,57250.0,57382.0,58304.0,58408.0,60972.0,61112.0,58523.0,58631.0,58533.0,58751.0,211.76500000000001,664093.809
1,2,64,9,1000000,2048,0,3600000,10400000,4099999.0,11400000.0,4700000.0,9000000.0,4700000.0,9600000.0,4000000.0,10300000.0,5500000.0,10800000.0,3800000.0,10700000.0,4900000.0,11000000.0,3700000.0,10400000.0,,,,,,,3700000,10400000,0.098,0,50422.0,50535.0,49620.0,49750.0,49753.0,49934.0,48621.0,48880.0,51308.0,51543.0,49830.0,50057.0,50775.0,50978.0,48101.0,48261.0,48852.0,49022.0,,,,,,,224.708,449184.862
2,3,64,6,1000000,2048,0,3600000,10500000,4400000.0,10800000.0,3600000.0,10300000.0,3900000.0,10300000.0,6200000.0,10400000.0,4200000.0,11200000.0,,,,,,,,,,,,,4200000,11200000,0.102,0,50749.0,50850.0,48494.0,48665.0,48957.0,49076.0,47157.0,47279.0,50132.0,50287.0,50339.0,50508.0,,,,,,,,,,,,,202.854,296868.631
3,1,128,6,1000000,2048,0,4700000,13300000,3600000.0,10600000.0,5100000.0,8900000.0,5800000.0,8400000.0,6100000.0,10200000.0,5200000.0,9700000.0,,,,,,,,,,,,,5200000,9700000,0.067,0,36270.0,36394.0,42418.0,42588.0,58717.0,58863.0,50293.0,50577.0,50298.0,50608.0,50372.0,50563.0,,,,,,,,,,,,,270.15099999999995,289863.288
4,1,64,3,1000000,2048,0,3600000,10600000,4400000.0,9000000.0,3900000.0,10700000.0,,,,,,,,,,,,,,,,,,,3900000,10700000,0.101,0,50511.0,50641.0,47229.0,47432.0,49360.0,49522.0,,,,,,,,,,,,,,,,,,,255.09300000000002,147849.788
5,3,128,1,1000000,2048,0,3300000,13600000,,,,,,,,,,,,,,,,,,,,,,,3300000,13600000,0.113,0,34751.0,34927.0,,,,,,,,,,,,,,,,,,,,,,,359.75600000000003,35286.893
6,1,256,3,1000000,2048,0,5700000,10400000,5700000.0,12500000.0,5700000.0,12900000.0,,,,,,,,,,,,,,,,,,,5700000,12900000,0.103,0,33696.0,33909.0,47104.0,47421.0,76672.0,76973.0,,,,,,,,,,,,,,,,,,,27257.23,185560.55299999999
7,1,128,12,1000000,2048,0,3900000,15300000,4099999.0,9800000.0,5400000.0,8900000.0,5200000.0,9400000.0,4099999.0,9000000.0,4000000.0,9100000.0,5000000.0,10200000.0,3900000.0,9400000.0,4900000.0,10500000.0,3800000.0,8600000.0,4600000.0,9600000.0,4300000.0,9500000.0,4300000,9500000,0.103,0,40447.0,40529.0,44576.0,44748.0,50349.0,50570.0,52099.0,52308.0,55996.0,56219.0,55772.0,55985.0,55804.0,56061.0,55284.0,55470.0,57260.0,57367.0,52903.0,53038.0,56474.0,56594.0,59939.0,60123.0,324.50800000000004,639336.375
8,1,128,1,1000000,2048,0,5900000,12100000,,,,,,,,,,,,,,,,,,,,,,,5900000,12100000,0.104,0,39370.0,39637.0,,,,,,,,,,,,,,,,,,,,,,,2179.651,41817.115
9,2,64,12,1000000,2048,0,4800000,11600000,3800000.0,10300000.0,3700000.0,10700000.0,4500000.0,10100000.0,3700000.0,10300000.0,3900000.0,10600000.0,4099999.0,10400000.0,5100000.0,10000000.0,3800000.0,10100000.0,3700000.0,10300000.0,4000000.0,10300000.0,6000000.0,9400000.0,6000000,9400000,0.073,0,48440.0,48554.0,51905.0,52034.0,50789.0,50889.0,49092.0,49319.0,50245.0,50483.0,50091.0,50321.0,49182.0,49359.0,50260.0,50555.0,50475.0,50779.0,50774.0,50963.0,49541.0,49706.0,49557.0,49771.0,208.488,602940.001
10,1,256,1,1000000,2048,0,6100000,9500000,,,,,,,,,,,,,,,,,,,,,,,6100000,9500000,0.045,0,40590.0,44843.0,,,,,,,,,,,,,,,,,,,,,,,19324.764,64168.149999999994
11,2,128,1,1000000,2048,0,3400000,13500000,,,,,,,,,,,,,,,,,,,,,,,3400000,13500000,0.111,0,35035.0,35137.0,,,,,,,,,,,,,,,,,,,,,,,1009.311,36145.924999999996
12,3,128,3,1000000,2048,0,3700000,13200000,6000000.0,12000000.0,3400000.0,9600000.0,,,,,,,,,,,,,,,,,,,3400000,9600000,0.087,0,36575.0,36688.0,38679.0,38810.0,41535.0,41760.0,,,,,,,,,,,,,,,,,,,228.104,117485.793
13,3,64,1,1000000,2048,0,3700000,10300000,,,,,,,,,,,,,,,,,,,,,,,3700000,10300000,0.105,0,49450.0,49527.0,,,,,,,,,,,,,,,,,,,,,,,155.65,49683.078
14,3,64,9,1000000,2048,0,3700000,10700000,5900000.0,10100000.0,4200000.0,10900000.0,3700000.0,10300000.0,4800000.0,13200000.0,4600000.0,11400000.0,5500000.0,9800000.0,3700000.0,10000000.0,4600000.0,10300000.0,,,,,,,4600000,10300000,0.087,0,48304.0,48414.0,47364.0,47509.0,48214.0,48289.0,49237.0,49399.0,49762.0,49978.0,50983.0,51135.0,46769.0,46927.0,49664.0,49853.0,47977.0,48153.0,,,,,,,183.844,439839.657
15,2,128,9,1000000,2048,0,3400000,13600000,3600000.0,9900000.0,3300000.0,8400000.0,4600000.0,8700000.0,5600000.0,8800000.0,6000000.0,9700000.0,3800000.0,9200000.0,6000000.0,8600000.0,5300000.0,9500000.0,,,,,,,5300000,9500000,0.053,0,36348.0,37914.0,50661.0,52276.0,54606.0,54772.0,54141.0,54288.0,54155.0,54328.0,55296.0,55460.0,54611.0,54763.0,61863.0,62118.0,57513.0,57829.0,,,,,,,225.34699999999998,483973.504
16,3,128,9,1000000,2048,0,4300000,12100000,6100000.0,12800000.0,5100000.0,9800000.0,5900000.0,10400000.0,4099999.0,12000000.0,3400000.0,10600000.0,4300000.0,9800000.0,6100000.0,9100000.0,5900000.0,8800000.0,,,,,,,5900000,8800000,0.075,0,37530.0,37683.0,45270.0,45505.0,53058.0,53257.0,52669.0,52775.0,53870.0,54004.0,55263.0,55429.0,54703.0,54973.0,55359.0,55655.0,55943.0,56145.0,,,,,,,392.929,465819.668
17,2,256,1,1000000,2048,0,6100000,10300000,,,,,,,,,,,,,,,,,,,,,,,6100000,10300000,0.055,0,34127.0,34274.0,,,,,,,,,,,,,,,,,,,,,,,19030.79,53305.186
18,2,64,1,1000000,2048,0,6200000,8500000,,,,,,,,,,,,,,,,,,,,,,,6200000,8500000,0.045,0,50534.0,50620.0,,,,,,,,,,,,,,,,,,,,,,,286.12,50906.02
19,1,64,1,1000000,2048,0,4200000,10600000,,,,,,,,,,,,,,,,,,,,,,,4200000,10600000,0.089,0,48657.0,48770.0,,,,,,,,,,,,,,,,,,,,,,,143.028,48913.37
20,1,64,9,1000000,2048,0,4700000,11400000,6100000.0,9600000.0,4800000.0,8300000.0,3900000.0,10400000.0,4300000.0,10400000.0,4000000.0,9900000.0,4600000.0,10200000.0,3900000.0,10100000.0,3800000.0,10800000.0,,,,,,,3800000,10800000,0.111,0,47763.0,47942.0,48020.0,48215.0,47545.0,47666.0,47924.0,48182.0,48762.0,49488.0,50855.0,51640.0,49807.0,50067.0,48937.0,49126.0,49389.0,49614.0,,,,,,,159.173,442100.015
21,3,256,3,1000000,2048,0,3500000,12400000,6200000.0,11100000.0,4500000.0,12300000.0,,,,,,,,,,,,,,,,,,,4500000,12300000,0.076,0,37071.0,41481.0,60589.0,65025.99999999999,68536.0,71161.0,,,,,,,,,,,,,,,,,,,10224.1,187892.208
22,2,128,6,1000000,2048,0,3300000,13000000,5700000.0,8400000.0,6000000.0,9000000.0,4700000.0,9900000.0,6100000.0,8900000.0,4800000.0,9000000.0,,,,,,,,,,,,,4800000,9000000,0.069,0,36543.0,36614.0,48349.0,48545.0,47704.0,47887.0,48008.0,48208.0,51239.0,51459.0,54030.0,54311.0,,,,,,,,,,,,,1236.28,288259.984
23,1,64,6,1000000,2048,0,4300000,10400000,6000000.0,9700000.0,3700000.0,10900000.0,3900000.0,10800000.0,4400000.0,10600000.0,3700000.0,10400000.0,,,,,,,,,,,,,3700000,10400000,0.095,0,49490.0,49570.0,49837.0,49956.0,48637.0,48800.0,50773.0,50889.0,49342.0,49500.0,48899.0,49081.0,,,,,,,,,,,,,377.998,298174.578
24,3,64,12,1000000,2048,0,5900000,9100000,3600000.0,10300000.0,4500000.0,10400000.0,6000000.0,10300000.0,4099999.0,10500000.0,5900000.0,10000000.0,3200000.0,12400000.0,5300000.0,11300000.0,4000000.0,9100000.0,6200000.0,8500000.0,6200000.0,9700000.0,3800000.0,10400000.0,3800000,10400000,0.096,0,48347.0,48452.0,49464.0,49617.0,50031.0,50275.0,52046.0,52337.0,49783.0,50067.0,49952.0,50177.0,49199.0,49441.0,48980.0,49150.0,51521.0,51710.0,49813.0,49939.0,49457.0,49708.0,48890.0,49240.0,284.69,600398.0430000001
25,1,64,12,1000000,2048,0,4300000,10600000,3600000.0,9800000.0,3700000.0,10000000.0,3800000.0,10400000.0,3700000.0,10600000.0,3700000.0,10300000.0,3700000.0,10800000.0,4800000.0,10500000.0,4900000.0,11200000.0,3900000.0,10600000.0,4000000.0,8700000.0,3800000.0,10300000.0,3800000,10300000,0.09,0,49294.0,49439.0,49587.0,49775.0,51784.0,51967.0,48620.0,48692.0,49420.0,49557.0,50873.0,51140.0,51216.0,51460.0,50374.0,50497.0,48839.0,49001.0,51185.0,51311.0,49040.0,49266.0,49857.0,50117.0,195.728,602418.307
26,2,64,3,1000000,2048,0,5600000,8100000,3800000.0,10100000.0,3900000.0,10700000.0,,,,,,,,,,,,,,,,,,,3900000,10700000,0.108,0,49194.0,49308.0,48948.0,49095.0,49820.0,50050.0,,,,,,,,,,,,,,,,,,,135.982,148589.619
27,2,256,6,1000000,2048,0,3700000,12000000,5900000.0,12500000.0,4800000.0,12400000.0,3800000.0,10800000.0,3800000.0,9200000.0,5100000.0,9500000.0,,,,,,,,,,,,,5100000,9500000,0.047,0,39160.0,41302.0,70962.0,73062.0,73964.0,74171.0,79205.0,79461.0,74004.0,74238.0,75453.0,75639.0,,,,,,,,,,,,,5204.31,423076.14
28,3,256,9,1000000,2048,0,6100000,10200000,5900000.0,10900000.0,5900000.0,12000000.0,5800000.0,12500000.0,5700000.0,13000000.0,6100000.0,9600000.0,6200000.0,11400000.0,6200000.0,10800000.0,6100000.0,13900000.0,,,,,,,6100000,13900000,0.081,0,37985.0,39798.0,82046.0,83910.0,72450.0,72739.0,77846.0,78140.0,83337.0,83711.0,68840.0,69114.0,87927.0,88170.0,76730.0,76969.0,71839.0,72118.0,,,,,,,1974.3319999999999,666643.719
29,3,256,1,1000000,2048,0,6200000,10100000,,,,,,,,,,,,,,,,,,,,,,,6200000,10100000,0.051,0,33261.0,33427.0,,,,,,,,,,,,,,,,,,,,,,,25069.292999999998,58496.592
30,3,256,6,1000000,2048,0,5700000,11000000,5500000.0,10100000.0,5900000.0,12100000.0,6000000.0,12800000.0,6200000.0,14400000.0,5800000.0,11200000.0,,,,,,,,,,,,,5800000,11200000,0.086,0,36078.0,39371.0,71384.0,74665.0,69642.0,69894.0,75886.0,76252.0,63998.0,64310.0,69185.0,69442.0,,,,,,,,,,,,,380.472,394314.67600000004
31,2,256,3,1000000,2048,0,6000000,10100000,4800000.0,12300000.0,6000000.0,12400000.0,,,,,,,,,,,,,,,,,,,6000000,12400000,0.084,0,33762.0,33865.0,69232.0,69459.0,66101.0,66401.0,,,,,,,,,,,,,,,,,,,13610.944,183336.085
32,2,256,9,1000000,2048,0,6100000,9900000,5800000.0,9700000.0,5700000.0,12700000.0,6200000.0,11600000.0,5600000.0,13300000.0,6100000.0,13200000.0,6000000.0,11100000.0,3100000.0,14000000.0,3800000.0,10000000.0,,,,,,,3800000,10000000,0.088,0,37235.0,38372.0,70859.0,71986.0,66037.0,66289.0,70205.0,70436.0,67575.0,67922.0,67095.0,67411.0,71809.0,72066.0,72596.0,72857.0,73288.0,73655.0,,,,,,,1255.895,602249.524
33,2,64,6,1000000,2048,0,3700000,10600000,4300000.0,8199999.0,3900000.0,9400000.0,3700000.0,10400000.0,6000000.0,7200000.0,4500000.0,10100000.0,,,,,,,,,,,,,4500000,10100000,0.088,0,48467.0,48594.0,50479.0,50674.0,50498.0,50684.0,49597.0,49720.0,50655.0,50785.0,47917.0,48141.0,,,,,,,,,,,,,534.383,299131.48
