,run,nranks,epcnt,intvl,pvtcnt,drop,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,wr_min,wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,max_fin_dura,total_io_time,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
0,2,512,6,750000,2048,0,5500000,9800000,5500000.0,9900000.0,6100000.0,11600000.0,3400000.0,8100000.0,5800000.0,9500000.0,3000000.0,12600000.0,3000000,12600000,0.071,0,105702.0,105937.0,147544.0,150022.0,149266.0,151819.0,133782.0,134128.0,153581.0,155565.0,150069.0,152019.0,789.796,850278.373,,,,,,,,,,,,,,,,,,,,,,,,
1,6,512,12,500000,2048,0,6200000,14300000,6000000.0,10700000.0,5400000.0,8700000.0,5000000.0,8800000.0,4200000.0,8500000.0,5700000.0,10300000.0,3300000,7700000,0.039,0,90029.0,90885.0,148905.0,153648.0,143340.0,147686.0,181533.0,182298.0,145674.0,146043.0,154988.0,155168.0,7969.727,1961516.369,6200000.0,12200000.0,6200000.0,12700000.0,3600000.0,7200000.0,2200000.0,10800000.0,4600000.0,9100000.0,3300000.0,7700000.0,151495.0,151703.0,146236.0,146529.0,176423.0,176756.0,163227.0,163549.0,237281.0,237702.0,200723.0,201579.0
2,1,512,3,1000000,2048,0,5200000,8000000,6100000.0,13600000.0,4800000.0,10500000.0,,,,,,,4800000,10500000,0.063,0,89053.0,91722.0,141863.0,144601.0,140165.0,140418.0,,,,,,,8727.156,385468.206,,,,,,,,,,,,,,,,,,,,,,,,
3,3,512,6,1000000,2048,0,5700000,11400000,4500000.0,8700000.0,5400000.0,10300000.0,2700000.0,7800000.0,5300000.0,9900000.0,3800000.0,9700000.0,3800000,9700000,0.064,0,91860.0,92096.0,151123.0,151441.0,204301.0,204744.0,146097.0,146519.0,119075.0,119321.0,127756.0,127957.0,2050.481,844129.212,,,,,,,,,,,,,,,,,,,,,,,,
4,2,512,9,750000,2048,0,5900000,11800000,6100000.0,12100000.0,5700000.0,9600000.0,4200000.0,12200000.0,5800000.0,10700000.0,4000000.0,11700000.0,3100000,15500000,0.074,0,90647.0,91332.0,121151.0,121898.0,140736.0,140989.0,142333.0,142611.0,155594.0,155796.0,156074.0,156334.0,812.4390000000001,1251816.607,2500000.0,10300000.0,4900000.0,10700000.0,3100000.0,15500000.0,,,,,,,150593.0,150931.0,130529.0,130818.99999999999,160007.0,160294.0,,,,,,
5,2,512,1,750000,2048,0,3100000,11100000,,,,,,,,,,,3100000,11100000,0.071,0,77854.0,78199.0,,,,,,,,,,,30685.268,108884.33,,,,,,,,,,,,,,,,,,,,,,,,
6,1,512,12,500000,2048,0,4000000,8400000,6100000.0,9600000.0,2900000.0,7300000.0,3800000.0,9300000.0,2900000.0,7700000.0,4000000.0,8000000.0,3800000,7400000,0.042,0,71468.0,75466.0,109155.0,113092.0,186127.0,186264.0,212247.0,212447.0,151104.0,151280.0,197105.0,199041.0,7894.669000000001,2047818.854,3400000.0,7400000.0,2700000.0,7300000.0,3900000.0,9100000.0,3200000.0,7400000.0,3500000.0,7100000.0,3800000.0,7400000.0,218580.0,220342.0,166915.0,167525.0,178035.0,178444.0,183431.0,183834.0,166069.0,166401.0,185451.0,185788.0
7,4,512,12,750000,2048,0,3900000,10900000,4300000.0,9300000.0,3900000.0,9700000.0,2800000.0,8800000.0,4200000.0,9100000.0,3100000.0,8400000.0,3200000,8199999,0.075,0,101282.0,101789.0,154415.0,154971.0,148018.0,148408.0,124744.0,125109.0,226396.0,226587.0,141859.0,142077.0,743.799,1832570.044,4400000.0,8199999.0,2700000.0,8199999.0,5600000.0,8600000.0,3400000.0,8900000.0,3700000.0,8000000.0,3200000.0,8199999.0,151376.0,151631.0,153382.0,154457.0,183022.0,184220.0,142674.0,143109.0,152799.0,153003.0,146109.0,146466.0
8,1,512,9,1000000,2048,0,3100000,10000000,5900000.0,12300000.0,5400000.0,12400000.0,5900000.0,9300000.0,5600000.0,11500000.0,5600000.0,12100000.0,5500000,9500000,0.065,0,101616.0,110363.0,159407.0,168176.0,125354.0,125806.0,155659.0,156180.0,157756.0,158007.0,178258.0,178528.0,858.979,1305352.333,2400000.0,10100000.0,5100000.0,10500000.0,5500000.0,9500000.0,,,,,,,146279.0,146567.0,122966.0,123175.0,137418.0,137690.0,,,,,,
9,5,512,12,750000,2048,0,4099999,10100000,5300000.0,9500000.0,5800000.0,10600000.0,3100000.0,7100000.0,4300000.0,9300000.0,5900000.0,12100000.0,3000000,9600000,0.063,0,99272.0,99548.0,143951.0,144250.0,167343.0,167653.0,139860.0,140058.0,129500.0,129729.00000000001,130880.0,131306.0,755.719,1682404.21,3800000.0,7100000.0,5800000.0,8700000.0,5700000.0,11900000.0,4900000.0,9500000.0,6000000.0,12000000.0,3000000.0,9600000.0,136490.0,136841.0,123680.0,123936.0,143329.0,143595.0,159766.0,159960.0,154818.0,155116.0,149363.0,149658.0
