,runtype,run,nranks,epcnt,intvl,pvtcnt,total_io_time
1,carp-suite,3,16,12,1000000,2048,318514.678
18,carp-suite,3,16,12,1000000,1024,297390.69299999997
19,carp-suite,1,16,12,1000000,1024,282959.888
24,carp-suite,2,16,12,750000,2048,308996.583
29,carp-suite,3,16,12,750000,1024,312725.582
31,carp-suite,1,16,12,1000000,2048,313918.422
36,carp-suite,2,16,12,1000000,2048,322350.804
37,carp-suite,1,16,12,750000,1024,230323.691
48,carp-suite,1,16,12,750000,2048,302351.658
57,carp-suite,2,16,12,1000000,1024,292838.019
6,carp-suite,2,16,12,750000,1024,292523.23000000004
60,carp-suite,3,16,12,750000,2048,301052.28699999995
0,carp-suite,3,32,12,750000,1024,1032004.678
15,carp-suite,1,32,12,750000,1024,1069805.362
16,carp-suite,2,32,12,1000000,2048,1031672.518
2,carp-suite,2,32,12,1000000,1024,1025671.705
22,carp-suite,3,32,12,750000,2048,1021161.606
34,carp-suite,1,32,12,1000000,2048,1409110.0389999999
35,carp-suite,3,32,12,1000000,1024,1045792.6159999999
38,carp-suite,2,32,12,750000,2048,1418192.315
4,carp-suite,1,32,12,1000000,1024,1000898.8890000001
53,carp-suite,3,32,12,1000000,2048,1389421.427
58,carp-suite,2,32,12,750000,1024,1371171.098
9,carp-suite,1,32,12,750000,2048,1405086.053
10,carp-suite,3,64,12,750000,2048,911689.909
12,carp-suite,2,64,12,1000000,1024,683288.952
13,carp-suite,3,64,12,1000000,2048,683066.915
14,carp-suite,2,64,12,750000,2048,912155.929
26,carp-suite,1,64,12,750000,2048,704490.2590000001
27,carp-suite,3,64,12,1000000,1024,887929.677
28,carp-suite,2,64,12,1000000,2048,684136.1140000001
43,carp-suite,1,64,12,1000000,2048,910508.1579999999
45,carp-suite,2,64,12,750000,1024,941462.014
52,carp-suite,1,64,12,1000000,1024,903362.5909999999
7,carp-suite,3,64,12,750000,1024,705409.6510000001
8,carp-suite,1,64,12,750000,1024,908519.138
11,carp-suite,1,128,12,750000,1024,673905.8659999999
20,carp-suite,2,128,12,1000000,1024,652133.819
25,carp-suite,1,128,12,750000,2048,674821.713
32,carp-suite,3,128,12,750000,1024,676161.8180000001
42,carp-suite,1,128,12,1000000,1024,668548.843
44,carp-suite,2,128,12,1000000,2048,663997.241
49,carp-suite,2,128,12,750000,2048,671281.4959999999
51,carp-suite,2,128,12,750000,1024,651159.088
55,carp-suite,1,128,12,1000000,2048,649254.5260000001
30,carp-suite,2,256,12,750000,2048,910265.9
33,carp-suite,2,256,12,750000,1024,846382.331
39,carp-suite,2,256,12,1000000,2048,855936.148
40,carp-suite,1,256,12,1000000,1024,771116.985
41,carp-suite,1,256,12,1000000,2048,740333.6699999999
47,carp-suite,1,256,12,750000,1024,857147.3559999999
54,carp-suite,1,256,12,750000,2048,779711.7019999999
59,carp-suite,2,256,12,1000000,1024,786860.176
17,carp-suite,2,512,12,750000,1024,1351190.8869999999
21,carp-suite,1,512,12,750000,1024,1308002.6539999999
23,carp-suite,2,512,12,750000,2048,1379262.044
3,carp-suite,1,512,12,1000000,1024,1323007.321
46,carp-suite,2,512,12,1000000,2048,1346921.294
5,carp-suite,2,512,12,1000000,1024,1343673.911
50,carp-suite,1,512,12,750000,2048,1293842.7010000001
56,carp-suite,1,512,12,1000000,2048,1373522.839
