,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time
0,carp-suite,3,32,12,750000,1024,6200000,7700000,6300000,7900000,6200000,8199999,6300000,7900000,6300000,8300000,6200000,8300000,6200000,8199999,6300000,8500000,6300000,8199999,6300000,8900000,6300000,8400000,6200000,8500000,0.066,0,82732.0,82759.0,82545.0,82569.0,86811.0,86949.0,85182.0,85328.0,86487.0,86535.0,86056.0,86097.0,86622.0,86685.0,86987.0,87020.0,87262.0,87292.0,87270.0,87329.0,87782.0,87814.0,85493.0,85541.0,86.51100000000001,1032004.678
1,carp-suite,3,16,12,1000000,2048,5100000,8600000,5600000,8000000,4700000,8600000,4500000,8800000,4300000,9000000,4500000,8700000,5300000,8500000,5100000,8400000,4900000,9000000,5400000,8300000,4800000,8600000,4500000,8700000,0.116,0,17172.0,17175.0,23598.0,23602.0,26010.0,26020.0,26593.0,26631.0,27269.0,27367.0,27800.0,27891.0,28811.0,28840.0,27602.0,27625.0,28479.0,28501.0,27763.0,27795.0,28435.0,28464.0,28490.0,28533.0,71.348,318514.678
2,carp-suite,2,32,12,1000000,1024,6300000,8300000,6100000,8100000,6100000,8400000,6200000,7700000,6300000,7900000,6300000,7900000,6300000,7600000,6100000,7700000,6300000,8199999,6200000,7800000,6200000,8700000,6200000,8000000,0.045,0,86535.0,86592.0,85024.0,85096.0,82881.0,82951.0,86291.0,86311.0,86593.0,86608.0,85777.0,85802.0,84557.0,84583.0,85571.0,85698.0,85121.0,85236.0,85895.0,85930.0,85996.0,86028.0,84527.0,84594.0,242.445,1025671.705
3,carp-suite,1,512,12,1000000,1024,4500000,10000000,5100000,10900000,3100000,9800000,5300000,10300000,3300000,8700000,4099999,10000000,5400000,12200000,5300000,9300000,3200000,11700000,2900000,9000000,6000000,10500000,3600000,12400000,0.084,0,47729.0,47893.0,63617.0,63766.0,97304.0,97479.0,113776.0,114027.0,120401.0,120659.0,121880.0,122345.0,126469.0,126853.0,117004.0,117185.0,125399.0,125614.0,124682.0,124821.0,135702.0,135879.0,113908.0,114102.0,12383.301,1323007.321
4,carp-suite,1,32,12,1000000,1024,6200000,8300000,6300000,7900000,6200000,8000000,5900000,8900000,6300000,8000000,6200000,7900000,6200000,8199999,6200000,8000000,6200000,8000000,6200000,7700000,5900000,8900000,6200000,7900000,0.051,0,81472.0,81565.0,85097.0,85168.0,82958.0,82983.0,83313.0,83405.0,84102.0,84199.0,83632.0,83690.0,83588.0,83615.0,83837.0,83937.0,82847.0,82932.0,83336.0,83364.0,83447.0,83486.0,82369.0,82469.0,87.258,1000898.8890000001
5,carp-suite,2,512,12,1000000,1024,5000000,12400000,4000000,12100000,4700000,11800000,4300000,13600000,2600000,9400000,5000000,10800000,5500000,10700000,5500000,12100000,6000000,12700000,2700000,9000000,2700000,8000000,5700000,14700000,0.071,0,37052.0,41148.0,68089.0,74398.0,100801.0,103805.0,113332.0,114226.0,121710.0,121924.0,150724.0,151028.0,123408.0,123579.0,133445.0,133710.0,119413.0,119691.0,126991.0,127175.0,116736.0,116861.0,113523.0,113746.0,2382.587,1343673.911
6,carp-suite,2,16,12,750000,1024,5000000,8500000,4700000,9000000,4900000,8300000,4700000,8300000,4800000,8100000,5000000,8199999,4600000,8199999,5400000,8000000,4600000,8400000,4900000,8600000,4500000,8400000,4500000,8500000,0.112,0,17083.0,17088.0,21570.0,21587.0,23505.0,23527.0,24379.0,24402.0,24766.0,24777.0,25171.0,25186.0,25547.0,25576.0,25691.0,25710.0,25933.0,25953.0,26327.0,26350.0,25881.0,25901.0,26348.0,26385.0,79.444,292523.23000000004
7,carp-suite,3,64,12,750000,1024,5900000,10200000,4300000,9300000,5800000,8900000,5300000,7800000,4200000,8600000,4300000,8100000,6300000,9000000,5700000,8800000,4400000,9300000,5600000,8100000,4900000,7700000,5100000,8400000,0.05,0,52853.0,52924.0,55373.0,55468.0,57922.0,58023.0,61821.0,61896.0,60226.0,60311.0,64375.0,64452.0,61347.0,61406.0,59050.0,59150.0,60216.0,60290.0,56513.0,56615.0,57513.0,57578.0,56990.0,57059.0,237.547,705409.6510000001
8,carp-suite,1,64,12,750000,1024,3900000,9200000,6000000,8100000,6100000,8000000,6200000,8000000,6000000,7900000,6200000,8600000,5900000,8000000,5800000,8100000,5900000,8100000,6000000,8100000,6100000,8199999,6000000,8300000,0.048,0,61782.0,61867.0,71080.0,71156.0,76766.0,76840.0,75275.0,75353.0,74272.0,74345.0,76703.0,76739.0,76124.0,76204.0,75580.0,75674.0,76370.0,76453.0,78065.0,78122.0,76333.0,76527.0,88063.0,88264.0,974.675,908519.138
9,carp-suite,1,32,12,750000,2048,6300000,7900000,6300000,7800000,6100000,8000000,6200000,8199999,6300000,8300000,6300000,8100000,6200000,8199999,6200000,8100000,6200000,8000000,6300000,8100000,6200000,9000000,6200000,8600000,0.063,0,103156.0,103171.0,114712.0,114729.0,116761.0,116804.0,117906.0,117960.0,117680.0,117792.0,115166.0,115198.0,119839.0,119923.0,115438.0,115476.0,122069.0,122192.0,122586.0,122703.0,120561.0,120587.0,118374.0,118448.0,103.167,1405086.053
