,runtype,run,nranks,epcnt,total_io_time
10,network-suite-psm,1,512,1,71597.608
125,dfs-seq-suite,1,512,1,96443.228
128,dfs-seq-suite,2,512,1,195958.769
13,network-suite-psm,2,512,1,60908.845
160,dfs-ioonly,1,512,1,82954.499
163,dfs-ioonly,2,512,1,96040.094
24,datascale-runs,3,512,1,116478.448
27,datascale-runs,4,512,1,110096.517
33,datascale-runs,5,512,1,107634.829
40,datascale-runs,2,512,1,148649.713
45,datascale-runs,6,512,1,132867.557
48,datascale-runs,1,512,1,115662.643
66,network-suite,1,32,1,77999.947
67,network-suite,2,512,1,177044.586
92,dfs-reg-suite,1,512,1,85693.55099999999
95,dfs-reg-suite,2,512,1,263035.342
104,dfs-reg-suite,2,512,3,844810.07
124,dfs-seq-suite,1,512,3,355109.088
137,dfs-seq-suite,2,512,3,688586.242
159,dfs-ioonly,1,512,3,291474.88
172,dfs-ioonly,2,512,3,303283.184
22,network-suite-psm,2,512,3,225138.02899999998
25,datascale-runs,2,512,3,369689.639
30,datascale-runs,1,512,3,382094.482
32,datascale-runs,4,512,3,352123.18299999996
34,datascale-runs,3,512,3,352477.597
50,datascale-runs,5,512,3,416821.718
52,datascale-runs,6,512,3,350427.29600000003
79,network-suite,2,512,3,665036.694
9,network-suite-psm,1,512,3,217193.737
91,dfs-reg-suite,1,512,3,756365.009
122,dfs-seq-suite,1,512,6,1332309.808
157,dfs-ioonly,1,512,6,584731.9519999999
29,datascale-runs,3,512,6,897922.548
35,datascale-runs,6,512,6,771009.674
37,datascale-runs,4,512,6,775430.931
39,datascale-runs,5,512,6,766258.309
44,datascale-runs,2,512,6,732587.0750000001
47,datascale-runs,1,512,6,803116.986
61,network-suite,1,512,6,598448.574
7,network-suite-psm,1,512,6,439070.51999999996
89,dfs-reg-suite,1,512,6,1682170.065
132,dfs-seq-suite,1,512,9,2061323.23
167,dfs-ioonly,1,512,9,855248.201
17,network-suite-psm,1,512,9,642506.018
28,datascale-runs,2,512,9,1236533.398
36,datascale-runs,5,512,9,1115628.05
38,datascale-runs,4,512,9,1175704.4100000001
41,datascale-runs,3,512,9,1240686.3129999998
42,datascale-runs,1,512,9,1317044.37
51,datascale-runs,6,512,9,1244579.9079999998
99,dfs-reg-suite,1,512,9,2263953.7770000002
0,network-suite-psm,3,256,12,596116.0059999999
1,network-suite-psm,3,512,12,735219.209
100,dfs-reg-suite,2,128,12,557264.167
101,dfs-reg-suite,2,64,12,819400.524
102,dfs-reg-suite,1,512,12,1752355.493
103,dfs-reg-suite,1,256,12,625617.834
105,dfs-reg-suite,1,128,12,556310.024
106,network-suite-1hopsim,1,64,12,385959.715
107,network-suite-1hopsim,2,32,12,158202.495
108,network-suite-1hopsim,2,16,12,121107.665
109,network-suite-1hopsim,1,32,12,148790.358
11,network-suite-psm,2,32,12,1175764.0389999999
110,network-suite-1hopsim,1,16,12,120520.498
111,network-suite-1hopsim,2,128,12,434346.142
112,network-suite-1hopsim,2,64,12,357054.1
113,network-suite-1hopsim,1,256,12,668331.1340000001
114,network-suite-1hopsim,1,128,12,553689.9029999999
115,dfs-seq-suite,3,256,12,579271.085
116,dfs-seq-suite,3,512,12,1744093.3439999998
117,dfs-seq-suite,3,128,12,490652.396
118,dfs-seq-suite,2,512,12,1702074.6039999998
119,dfs-seq-suite,3,32,12,943251.892
12,network-suite-psm,2,256,12,601274.968
120,dfs-seq-suite,3,16,12,165608.303
121,dfs-seq-suite,3,64,12,760300.344
123,dfs-seq-suite,1,64,12,748715.3319999999
126,dfs-seq-suite,2,32,12,947572.022
127,dfs-seq-suite,2,256,12,591690.5349999999
129,dfs-seq-suite,2,16,12,164019.537
130,dfs-seq-suite,1,32,12,913241.12
131,dfs-seq-suite,1,16,12,169796.095
133,dfs-seq-suite,2,128,12,499491.494
134,dfs-seq-suite,2,64,12,756122.1749999999
135,dfs-seq-suite,1,512,12,1811927.052
136,dfs-seq-suite,1,256,12,577074.522
138,dfs-seq-suite,1,128,12,522918.10199999996
139,network-suite-bigrpc,1,64,12,513353.533
14,network-suite-psm,2,16,12,345220.813
140,network-suite-bigrpc,2,32,12,808891.3790000001
141,network-suite-bigrpc,2,256,12,299199.79699999996
142,network-suite-bigrpc,2,16,12,121035.22200000001
143,network-suite-bigrpc,1,32,12,787781.044
144,network-suite-bigrpc,1,16,12,119251.024
145,network-suite-bigrpc,2,128,12,359793.03599999996
146,network-suite-bigrpc,2,64,12,521753.121
147,network-suite-bigrpc,1,512,12,391778.89
148,network-suite-bigrpc,1,256,12,350679.33499999996
149,network-suite-bigrpc,1,128,12,405558.224
15,network-suite-psm,1,32,12,1163745.1739999999
150,dfs-ioonly,3,256,12,574782.3200000001
151,dfs-ioonly,3,512,12,1200262.657
152,dfs-ioonly,3,128,12,280443.06799999997
153,dfs-ioonly,2,512,12,1143993.018
154,dfs-ioonly,3,32,12,71780.121
155,dfs-ioonly,3,16,12,51733.381
156,dfs-ioonly,3,64,12,132073.374
158,dfs-ioonly,1,64,12,137915.90899999999
16,network-suite-psm,1,16,12,319360.12299999996
161,dfs-ioonly,2,32,12,70902.453
162,dfs-ioonly,2,256,12,586521.064
164,dfs-ioonly,2,16,12,50062.293
165,dfs-ioonly,1,32,12,76123.758
166,dfs-ioonly,1,16,12,51240.042
168,dfs-ioonly,2,128,12,263227.91599999997
169,dfs-ioonly,2,64,12,123560.16
170,dfs-ioonly,1,512,12,1173327.9070000001
171,dfs-ioonly,1,256,12,573060.617
173,dfs-ioonly,1,128,12,274769.163
18,network-suite-psm,2,128,12,705747.36
19,network-suite-psm,2,64,12,906234.626
2,network-suite-psm,3,128,12,698510.03
20,network-suite-psm,1,512,12,754407.4940000001
21,network-suite-psm,1,256,12,605428.979
23,network-suite-psm,1,128,12,702976.1479999999
26,datascale-runs,3,512,12,1500975.4579999999
3,network-suite-psm,2,512,12,738291.485
31,datascale-runs,1,512,12,1523970.5899999999
4,network-suite-psm,3,32,12,1161684.706
43,datascale-runs,4,512,12,1562440.4070000001
46,datascale-runs,2,512,12,1368045.42
49,datascale-runs,6,512,12,1411979.5140000002
5,network-suite-psm,3,16,12,357974.09900000005
53,datascale-runs,5,512,12,1433840.71
54,network-suite,3,256,12,337807.73799999995
55,network-suite,3,512,12,1512163.214
56,network-suite,3,128,12,502468.621
57,network-suite,2,512,12,1226981.794
58,network-suite,3,32,12,880612.124
59,network-suite,3,16,12,180445.44400000002
6,network-suite-psm,3,64,12,900678.156
60,network-suite,3,64,12,757718.019
62,network-suite,1,64,12,724577.258
63,network-suite,4,512,12,1296308.072
64,network-suite,2,32,12,1304878.044
65,network-suite,2,256,12,338720.522
68,network-suite,2,16,12,179817.189
69,network-suite,4,16,12,122171.068
70,network-suite,4,128,12,509251.283
71,network-suite,1,32,12,891730.305
72,network-suite,1,16,12,129136.043
73,network-suite,4,64,12,753108.501
74,network-suite,4,256,12,335744.28599999996
75,network-suite,2,128,12,500742.97000000003
76,network-suite,2,64,12,591461.351
77,network-suite,1,512,12,1255826.758
78,network-suite,1,256,12,335680.641
8,network-suite-psm,1,64,12,906300.202
80,network-suite,1,128,12,504061.174
81,network-suite,4,32,12,873259.19
82,dfs-reg-suite,3,256,12,619781.7609999999
