,runtype,nranks,epcnt,run,total_io_time,load_std
117,dfs-ioonly,16,12,1,43,0
115,dfs-ioonly,16,12,2,46,0
110,dfs-ioonly,16,12,3,46,0
116,dfs-ioonly,32,12,1,48,0
113,dfs-ioonly,32,12,2,48,0
109,dfs-ioonly,32,12,3,53,0
112,dfs-ioonly,64,12,1,69,0
119,dfs-ioonly,64,12,2,68,0
111,dfs-ioonly,64,12,3,69,0
122,dfs-ioonly,128,12,1,135,0
118,dfs-ioonly,128,12,2,134,0
107,dfs-ioonly,128,12,3,135,0
121,dfs-ioonly,256,12,1,298,0
114,dfs-ioonly,256,12,2,340,0
105,dfs-ioonly,256,12,3,317,0
120,dfs-ioonly,512,12,1,1077,0
108,dfs-ioonly,512,12,2,1025,0
106,dfs-ioonly,512,12,3,971,0
48,dfs-reg-suite,16,12,1,141,0
46,dfs-reg-suite,16,12,2,141,0
41,dfs-reg-suite,16,12,3,138,0
47,dfs-reg-suite,32,12,1,922,0
44,dfs-reg-suite,32,12,2,903,0
40,dfs-reg-suite,32,12,3,918,0
43,dfs-reg-suite,64,12,1,597,0
50,dfs-reg-suite,64,12,2,598,0
42,dfs-reg-suite,64,12,3,586,0
53,dfs-reg-suite,128,12,1,419,0
49,dfs-reg-suite,128,12,2,414,0
38,dfs-reg-suite,128,12,3,422,0
52,dfs-reg-suite,256,12,1,380,0
45,dfs-reg-suite,256,12,2,375,0
36,dfs-reg-suite,256,12,3,343,0
51,dfs-reg-suite,512,12,1,1076,0
39,dfs-reg-suite,512,12,2,1038,0
37,dfs-reg-suite,512,12,3,1076,0
81,dfs-seq-suite,16,12,1,130,0
79,dfs-seq-suite,16,12,2,135,0
74,dfs-seq-suite,16,12,3,136,0
80,dfs-seq-suite,32,12,1,903,0
77,dfs-seq-suite,32,12,2,913,0
73,dfs-seq-suite,32,12,3,917,0
76,dfs-seq-suite,64,12,1,619,0
83,dfs-seq-suite,64,12,2,594,0
75,dfs-seq-suite,64,12,3,603,0
86,dfs-seq-suite,128,12,1,420,0
82,dfs-seq-suite,128,12,2,416,0
71,dfs-seq-suite,128,12,3,415,0
85,dfs-seq-suite,256,12,1,429,0
78,dfs-seq-suite,256,12,2,495,0
69,dfs-seq-suite,256,12,3,535,0
84,dfs-seq-suite,512,12,1,1307,0
72,dfs-seq-suite,512,12,2,1310,0
70,dfs-seq-suite,512,12,3,1298,0
30,network-suite,16,12,1,126,0
28,network-suite,16,12,2,122,0
23,network-suite,16,12,3,122,0
29,network-suite,32,12,1,860,0
26,network-suite,32,12,2,855,0
22,network-suite,32,12,3,847,0
25,network-suite,64,12,1,551,0
32,network-suite,64,12,2,553,0
24,network-suite,64,12,3,576,0
35,network-suite,128,12,1,386,0
31,network-suite,128,12,2,388,0
20,network-suite,128,12,3,389,0
34,network-suite,256,12,1,279,0
27,network-suite,256,12,2,279,0
18,network-suite,256,12,3,280,0
33,network-suite,512,12,1,296,0
21,network-suite,512,12,2,297,0
19,network-suite,512,12,3,300,0
64,network-suite-1hopsim,16,12,1,120,0
62,network-suite-1hopsim,16,12,2,125,0
57,network-suite-1hopsim,16,12,3,126,0
63,network-suite-1hopsim,32,12,1,155,0
60,network-suite-1hopsim,32,12,2,164,0
56,network-suite-1hopsim,32,12,3,168,0
59,network-suite-1hopsim,64,12,1,356,0
66,network-suite-1hopsim,64,12,2,329,0
58,network-suite-1hopsim,64,12,3,340,0
68,network-suite-1hopsim,128,12,1,458,0
65,network-suite-1hopsim,128,12,2,474,0
55,network-suite-1hopsim,128,12,3,478,0
67,network-suite-1hopsim,256,12,1,556,0
61,network-suite-1hopsim,256,12,2,579,0
54,network-suite-1hopsim,256,12,3,561,0
99,network-suite-bigrpc,16,12,1,120,0
97,network-suite-bigrpc,16,12,2,120,0
92,network-suite-bigrpc,16,12,3,120,0
98,network-suite-bigrpc,32,12,1,827,0
95,network-suite-bigrpc,32,12,2,799,0
91,network-suite-bigrpc,32,12,3,836,0
94,network-suite-bigrpc,64,12,1,524,0
101,network-suite-bigrpc,64,12,2,548,0
93,network-suite-bigrpc,64,12,3,527,0
104,network-suite-bigrpc,128,12,1,371,0
100,network-suite-bigrpc,128,12,2,365,0
89,network-suite-bigrpc,128,12,3,357,0
103,network-suite-bigrpc,256,12,1,263,0
96,network-suite-bigrpc,256,12,2,267,0
87,network-suite-bigrpc,256,12,3,270,0
102,network-suite-bigrpc,512,12,1,265,0
90,network-suite-bigrpc,512,12,2,262,0
88,network-suite-bigrpc,512,12,3,265,0
12,network-suite-psm,16,12,1,263,0
10,network-suite-psm,16,12,2,263,0
5,network-suite-psm,16,12,3,265,0
11,network-suite-psm,32,12,1,899,0
8,network-suite-psm,32,12,2,894,0
4,network-suite-psm,32,12,3,890,0
7,network-suite-psm,64,12,1,681,0
14,network-suite-psm,64,12,2,730,0
6,network-suite-psm,64,12,3,716,0
17,network-suite-psm,128,12,1,579,0
13,network-suite-psm,128,12,2,582,0
2,network-suite-psm,128,12,3,582,0
16,network-suite-psm,256,12,1,365,0
9,network-suite-psm,256,12,2,361,0
0,network-suite-psm,256,12,3,352,0
15,network-suite-psm,512,12,1,353,0
3,network-suite-psm,512,12,2,356,0
1,network-suite-psm,512,12,3,366,0
