,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
46,carp-suite,16,12,750000,1024,1,220,0.09
7,carp-suite,16,12,750000,1024,2,209,0.08
35,carp-suite,16,12,750000,1024,3,212,0.095
59,carp-suite,16,12,750000,2048,1,214,0.082
30,carp-suite,16,12,750000,2048,2,211,0.091
71,carp-suite,16,12,750000,2048,3,216,0.101
24,carp-suite,16,12,1000000,1024,1,212,0.109
68,carp-suite,16,12,1000000,1024,2,215,0.077
23,carp-suite,16,12,1000000,1024,3,216,0.081
39,carp-suite,16,12,1000000,2048,1,211,0.036
45,carp-suite,16,12,1000000,2048,2,216,0.101
1,carp-suite,16,12,1000000,2048,3,210,0.088
18,carp-suite,32,12,750000,1024,1,967,0.054
69,carp-suite,32,12,750000,1024,2,966,0.054
0,carp-suite,32,12,750000,1024,3,946,0.064
10,carp-suite,32,12,750000,2048,1,962,0.048
47,carp-suite,32,12,750000,2048,2,957,0.052
28,carp-suite,32,12,750000,2048,3,993,0.052
5,carp-suite,32,12,1000000,1024,1,965,0.041
2,carp-suite,32,12,1000000,1024,2,957,0.045
44,carp-suite,32,12,1000000,1024,3,959,0.066
43,carp-suite,32,12,1000000,2048,1,970,0.053
21,carp-suite,32,12,1000000,2048,2,957,0.066
64,carp-suite,32,12,1000000,2048,3,980,0.058
9,carp-suite,64,12,750000,1024,1,686,0.052
54,carp-suite,64,12,750000,1024,2,642,0.066
8,carp-suite,64,12,750000,1024,3,647,0.065
32,carp-suite,64,12,750000,2048,1,641,0.075
17,carp-suite,64,12,750000,2048,2,652,0.068
11,carp-suite,64,12,750000,2048,3,652,0.067
63,carp-suite,64,12,1000000,1024,1,654,0.092
15,carp-suite,64,12,1000000,1024,2,637,0.111
33,carp-suite,64,12,1000000,1024,3,663,0.08
52,carp-suite,64,12,1000000,2048,1,650,0.096
34,carp-suite,64,12,1000000,2048,2,650,0.073
16,carp-suite,64,12,1000000,2048,3,645,0.077
14,carp-suite,128,12,750000,1024,1,482,0.089
62,carp-suite,128,12,750000,1024,2,490,0.103
41,carp-suite,128,12,750000,1024,3,483,0.107
31,carp-suite,128,12,750000,2048,1,487,0.086
60,carp-suite,128,12,750000,2048,2,507,0.113
19,carp-suite,128,12,750000,2048,3,502,0.086
51,carp-suite,128,12,1000000,1024,1,488,0.093
25,carp-suite,128,12,1000000,1024,2,484,0.095
26,carp-suite,128,12,1000000,1024,3,481,0.093
66,carp-suite,128,12,1000000,2048,1,490,0.095
53,carp-suite,128,12,1000000,2048,2,481,0.108
3,carp-suite,128,12,1000000,2048,3,479,0.083
58,carp-suite,256,12,750000,1024,1,951,0.073
42,carp-suite,256,12,750000,1024,2,710,0.075
12,carp-suite,256,12,750000,1024,3,477,0.069
65,carp-suite,256,12,750000,2048,1,437,0.066
36,carp-suite,256,12,750000,2048,2,612,0.06
40,carp-suite,256,12,750000,2048,3,639,0.068
49,carp-suite,256,12,1000000,1024,1,832,0.073
70,carp-suite,256,12,1000000,1024,2,740,0.112
37,carp-suite,256,12,1000000,1024,3,798,0.092
50,carp-suite,256,12,1000000,2048,1,443,0.085
48,carp-suite,256,12,1000000,2048,2,620,0.088
13,carp-suite,256,12,1000000,2048,3,710,0.056
27,carp-suite,512,12,750000,1024,1,1276,0.061
22,carp-suite,512,12,750000,1024,2,1311,0.056
38,carp-suite,512,12,750000,1024,3,1310,0.042
61,carp-suite,512,12,750000,2048,1,1284,0.064
29,carp-suite,512,12,750000,2048,2,1592,0.061
56,carp-suite,512,12,750000,2048,3,1394,0.049
4,carp-suite,512,12,1000000,1024,1,1307,0.043
6,carp-suite,512,12,1000000,1024,2,1300,0.056
57,carp-suite,512,12,1000000,1024,3,1359,0.073
67,carp-suite,512,12,1000000,2048,1,1402,0.054
55,carp-suite,512,12,1000000,2048,2,1466,0.044
20,carp-suite,512,12,1000000,2048,3,1411,0.075
