,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time
0,dfs-ioonly,3,256,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,1924.0,16215.0,2465.0,15602.0,2324.0,27345.0,2339.0,23652.0,2462.0,24129.0,2374.0,24610.0,2466.0,23892.0,2434.0,24510.0,2436.0,24221.0,2513.0,24267.0,2403.0,24628.0,2489.0,40787.0,23814.197,317673.423
1,dfs-ioonly,12,256,6,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,0,0,1813.0,10661.0,2394.0,14474.0,2399.0,32791.0,2396.0,23984.0,2385.0,24770.0,2462.0,24892.0,,,,,,,,,,,,,17804.485,149376.81
2,dfs-ioonly,3,512,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,4811.0,35422.0,2308.0,42287.0,2408.0,48451.0,2389.0,48158.0,2317.0,48514.0,2405.0,91002.0,2435.0,105560.0,2440.0,104009.0,2390.0,102638.0,2389.0,103433.0,2431.0,103279.0,2446.0,102711.0,36340.017,971804.395
3,dfs-ioonly,6,512,3,6500000,6500000,6500000,6500000,6500000,6500000,,,,,,,,,,,,,,,,,,,0,0,1734.0,26979.0,2379.0,46574.0,2225.0,129192.0,,,,,,,,,,,,,,,,,,,28077.071,230822.216
4,dfs-ioonly,3,128,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,2015.0000000000002,6268.0,2515.0,3900.0,2434.0,11496.0,2454.0,11707.0,2457.0,11562.0,2370.0,11642.0,2487.0,11310.0,2468.0,11593.0,2490.0,11686.0,2419.0,11660.0,2485.0,11712.0,2484.0,11950.0,8724.880000000001,135211.127
5,dfs-ioonly,2,512,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,1697.0,34707.0,2400.0,41830.0,2394.0,44530.0,2358.0,51125.0,2412.0,77458.0,2355.0,106474.0,2379.0,105403.0,2407.0,105772.0,2385.0,107352.0,2422.0,109179.0,2444.0,106629.0,2370.0,107879.0,26899.362,1025235.5549999999
6,dfs-ioonly,12,512,6,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,0,0,1723.0,36422.0,2385.0,42309.0,2274.0,78157.0,2345.0,109682.0,2341.0,104292.0,2292.0,114862.0,,,,,,,,,,,,,29278.051000000003,515000.59799999994
7,dfs-ioonly,3,32,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,2029.0,2934.0,2534.0,3851.0,2495.0,5054.0,2545.0,3837.0,2490.0,5160.0,2579.0,5108.0,2595.0,4885.0,2514.0,4818.0,2632.0,4435.0,2515.0,4088.0,2520.0,4963.0,2555.0,4368.0,162.81,53665.915
8,dfs-ioonly,3,16,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,1954.0,3005.0,2530.0,3811.0,2540.0,3233.0,2621.0,3301.0,2485.0,3479.0,2583.0,4770.0,2580.0,4340.0,2512.0,4316.0,2626.0,3467.0,2680.0,3500.0,2687.0,3617.0,2599.0,5148.0,93.53,46080.703
9,dfs-ioonly,3,64,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,1966.0,3251.0,2427.0,4187.0,2471.0,4248.0,2408.0,4064.0,2462.0,4300.0,2561.0,4318.0,2444.0,5967.0,2484.0,5946.0,2466.0,6319.0,2451.0,5958.0,2431.0,6040.0,2405.0,5908.0,8691.449999999999,69198.003
10,dfs-ioonly,1,64,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,2013.0,3815.0,2461.0,4225.0,2470.0,4201.0,2391.0,4370.0,2467.0,4248.0,2521.0,4367.0,2405.0,4950.0,2515.0,6966.0,2475.0,6311.0,2496.0,5937.0,2471.0,5974.0,2477.0,6023.0,8355.364,69742.462
11,dfs-ioonly,11,256,6,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,0,0,1759.0,12639.0,2389.0,18156.0,2327.0,24439.0,2389.0,25214.0,2364.0,27597.0,2459.0,24204.0,,,,,,,,,,,,,17795.504999999997,150044.362
12,dfs-ioonly,4,512,3,6500000,6500000,6500000,6500000,6500000,6500000,,,,,,,,,,,,,,,,,,,0,0,1733.0,34645.0,2365.0,57905.0,2319.0,104711.0,,,,,,,,,,,,,,,,,,,35244.805,232505.148
13,dfs-ioonly,1,512,3,6500000,6500000,6500000,6500000,6500000,6500000,,,,,,,,,,,,,,,,,,,0,0,4347.0,36760.0,2333.0,40464.0,2327.0,47449.0,,,,,,,,,,,,,,,,,,,31611.775,156284.294
14,dfs-ioonly,2,32,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,2130.0,3383.0,2487.0,4094.0000000000005,2498.0,3938.0,2550.0,3897.0,2551.0,3938.0,2559.0,4473.0,2598.0,3944.0,2529.0,3747.0,2625.0,4262.0,2517.0,4093.0,2596.0,4059.9999999999995,2508.0,4287.0,182.727,48298.24
15,dfs-ioonly,2,256,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,1935.0,13896.0,2415.0,19085.0,2417.0,25703.0,2457.0,24304.0,2430.0,24531.0,2459.0,24356.0,2418.0,24163.0,2451.0,24266.0,2446.0,24269.0,2440.0,24405.0,2429.0,45768.0,2487.0,38685.0,26758.078999999998,340187.876
16,dfs-ioonly,3,512,3,6500000,6500000,6500000,6500000,6500000,6500000,,,,,,,,,,,,,,,,,,,0,0,1709.0,37944.0,2378.0,58732.0,2334.0,90390.0,,,,,,,,,,,,,,,,,,,34596.417,221662.501
17,dfs-ioonly,2,16,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,2045.0,2870.0,2584.0,3546.0,2589.0,3822.0,2586.0,3821.0,2597.0,3797.0,2550.0,4069.0,2669.0,3901.0,2568.0,3953.0,2585.0,4439.0,2504.0,3638.0,2588.0,5024.0,2587.0,3631.0,98.27,46608.467
18,dfs-ioonly,5,512,3,6500000,6500000,6500000,6500000,6500000,6500000,,,,,,,,,,,,,,,,,,,0,0,1690.0,33103.0,2349.0,47104.0,2337.0,106448.0,,,,,,,,,,,,,,,,,,,46906.366,233561.107
19,dfs-ioonly,1,32,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,2013.9999999999998,2837.0,2511.0,4151.0,2488.0,3670.0,2545.0,3840.0,2539.0,3963.0,2570.0,3836.0,2545.0,4207.0,2569.0,3918.0,2488.0,4521.0,2469.0,4231.0,2566.0,4078.9999999999995,2508.0,4750.0,117.018,48120.089
