,runtype,nranks,epcnt,run,total_io_time,load_std
20,dfs-ioonly,16,12,1,43,0
17,dfs-ioonly,16,12,2,46,0
8,dfs-ioonly,16,12,3,46,0
19,dfs-ioonly,32,12,1,48,0
14,dfs-ioonly,32,12,2,48,0
7,dfs-ioonly,32,12,3,53,0
10,dfs-ioonly,64,12,1,69,0
23,dfs-ioonly,64,12,2,68,0
9,dfs-ioonly,64,12,3,69,0
28,dfs-ioonly,128,12,1,135,0
22,dfs-ioonly,128,12,2,134,0
4,dfs-ioonly,128,12,3,135,0
29,dfs-ioonly,256,6,10,199,0
11,dfs-ioonly,256,6,11,150,0
1,dfs-ioonly,256,6,12,149,0
26,dfs-ioonly,256,12,1,298,0
15,dfs-ioonly,256,12,2,340,0
0,dfs-ioonly,256,12,3,317,0
13,dfs-ioonly,512,3,1,156,0
27,dfs-ioonly,512,3,2,220,0
16,dfs-ioonly,512,3,3,221,0
12,dfs-ioonly,512,3,4,232,0
18,dfs-ioonly,512,3,5,233,0
3,dfs-ioonly,512,3,6,230,0
21,dfs-ioonly,512,6,10,545,0
25,dfs-ioonly,512,6,11,522,0
6,dfs-ioonly,512,6,12,515,0
24,dfs-ioonly,512,12,1,1077,0
5,dfs-ioonly,512,12,2,1025,0
2,dfs-ioonly,512,12,3,971,0
