,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time
0,carp-suite-intraepoch,4,512,12,1000000,1024,5100000,9700000,4099999,9000000,5300000,10600000,5400000,12000000,5700000,10300000,5600000,10700000,3800000,10300000,5500000,11000000,6000000,9900000,4800000,9400000,4500000,9600000,3700000,9400000,0.067,0,44583.0,46898.0,52446.0,57671.0,105670.0,117163.0,127495.0,136396.0,115619.0,118228.0,116011.0,118624.0,124250.0,131467.0,119304.0,127871.0,119949.0,122132.0,171676.0,171952.0,115421.0,121550.0,119385.0,136950.0,11483.886999999999,1418385.442
1,carp-suite-intraepoch,7,512,12,3000000,512,2500000,8800000,2700000,11000000,2400000,10600000,1900000,10800000,1400000,10000000,3300000,10400000,2300000,7400000,3700000,9400000,3300000,12000000,2600000,11600000,3400000,7600000,3200000,7300000,0.117,0,94819.0,95012.0,113075.0,113309.0,120918.0,121161.0,129895.00000000001,130133.99999999999,125326.0,125571.0,114551.0,114755.0,117956.0,118167.0,110149.0,110389.0,105770.0,106307.0,120052.0,120583.0,111281.0,111428.0,100174.0,102586.0,3986.8250000000003,1373389.087
2,carp-suite-intraepoch,4,512,12,750000,512,1200000,7400000,1500000,8100000,1300000,8500000,2400000,12300000,1900000,10000000,2800000,11900000,1300000,9100000,2800000,11200000,2200000,10300000,3100000,11200000,1900000,11300000,2000000,10700000,0.073,0,51614.0,51757.0,70862.0,71188.0,119309.0,127173.0,118079.0,130960.00000000001,117087.0,122251.0,116907.0,124289.0,125444.0,136944.0,127851.0,134755.0,112838.0,123239.0,117407.0,126654.0,130229.00000000001,135547.0,134298.0,139760.0,5113.682,1429631.081
3,carp-suite-intraepoch,9,512,12,750000,1024,2600000,10700000,4099999,9000000,4000000,10500000,2500000,9500000,5700000,10700000,5900000,11600000,4200000,11500000,4400000,8700000,5900000,12000000,3700000,10600000,5600000,11600000,5500000,11400000,0.05,0,37205.0,42009.0,70241.0,75236.0,105448.0,107079.0,116172.0,122573.0,110999.0,120683.0,130576.0,143640.0,115557.0,125843.0,120086.0,132468.0,129280.0,139685.0,114571.0,121552.0,102233.0,116297.0,128943.99999999999,136188.0,18876.940000000002,1402130.37
4,carp-suite-intraepoch,4,512,12,1000000,2048,4800000,8600000,5000000,10300000,5000000,8900000,2900000,11400000,5500000,10500000,5000000,9400000,5400000,10400000,5800000,9600000,2600000,10100000,5400000,14100000,5700000,9700000,3800000,9100000,0.072,0,44291.0,44512.0,52808.0,53027.0,97003.0,97251.0,111078.0,111335.0,103419.0,111747.0,104950.0,116840.0,107901.0,115383.0,111129.0,118650.0,112347.0,120188.0,114729.0,122578.0,110535.0,115764.0,116121.0,121324.0,3424.382,1252023.686
5,carp-suite-intraepoch,4,512,12,1000000,512,2200000,9100000,2400000,10800000,3200000,12800000,1600000,8900000,2300000,10500000,1400000,9100000,2300000,10500000,2800000,9500000,1500000,8199999,1800000,8800000,3100000,13600000,2300000,12300000,0.072,0,38130.0,39107.0,56899.0,57970.0,69484.0,69709.0,112091.0,119024.0,107648.0,114561.0,113927.0,114574.0,112245.0,121374.0,109461.0,118186.0,134071.0,134310.0,96768.0,105695.0,109615.0,118545.0,104583.0,110643.0,2792.4669999999996,1226489.038
6,carp-suite-intraepoch,9,512,12,1000000,1024,2500000,7300000,2100000,11900000,2400000,8100000,6100000,11700000,5300000,10000000,3200000,8199999,5500000,11900000,5200000,10800000,4099999,9200000,5600000,11400000,5100000,10700000,5300000,11500000,0.071,0,39906.0,42837.0,71943.0,74952.0,142218.0,163590.0,103374.0,124733.0,104525.0,112202.0,105212.0,112930.0,103343.0,103592.0,112906.0,117904.0,101414.0,110582.0,111997.0,122140.0,102745.0,108411.0,111656.0,118910.0,6647.554999999999,1319430.967
7,carp-suite-intraepoch,8,512,12,1000000,1024,5600000,11200000,4000000,8199999,2700000,14300000,4600000,8900000,3200000,8900000,3300000,9000000,4300000,9300000,3500000,9100000,5400000,12100000,3500000,8900000,4099999,9700000,5300000,11600000,0.049,0,37470.0,41810.0,49855.0,54244.0,105496.0,109802.0,92603.0,96866.0,131273.0,135373.0,111287.0,122530.0,115647.0,126885.0,112206.0,117665.0,103748.0,109424.0,106537.0,119416.0,103677.0,116780.0,93940.0,98229.0,18548.547,1267571.199
8,carp-suite-intraepoch,9,512,12,1000000,2048,4600000,9300000,5500000,10600000,5400000,9500000,5500000,9500000,5300000,9200000,5600000,12200000,3700000,10200000,5600000,10600000,5600000,9300000,5300000,9600000,5600000,10400000,5500000,8100000,0.054,0,37316.0,41485.0,53035.0,57242.0,100724.0,100915.0,114692.0,116080.0,107775.0,109584.0,137739.0,138405.0,118130.0,167959.0,100962.0,150792.0,118901.0,121166.0,102297.0,104518.0,123997.0,133645.0,111324.0,124622.0,6389.275,1372801.366
9,carp-suite-intraepoch,8,512,12,1000000,2048,5700000,9700000,5500000,9400000,4000000,9000000,5000000,8600000,4600000,8199999,5000000,9400000,5200000,8600000,3800000,9400000,6000000,10200000,5500000,8199999,4500000,10500000,5100000,9200000,0.058,0,44079.0,44249.0,57465.0,57697.0,87219.0,93372.0,124066.0,136084.0,124287.0,138154.0,125387.0,133417.0,110724.0,115535.0,123532.0,135148.0,112209.0,130573.00000000001,107407.0,128663.00000000001,119076.0,129073.00000000001,130994.0,154102.0,364.376,1396430.876
