,runtype,nranks,epcnt,run,total_io_time,load_std
24,dfs-ioonly,16,12,4,50,0
3,dfs-ioonly,16,12,5,48,0
28,dfs-ioonly,16,12,6,48,0
54,dfs-ioonly,16,12,16,45,0
44,dfs-ioonly,16,12,17,46,0
41,dfs-ioonly,16,12,18,45,0
7,dfs-ioonly,32,12,4,48,0
56,dfs-ioonly,32,12,5,49,0
14,dfs-ioonly,32,12,6,50,0
23,dfs-ioonly,32,12,16,50,0
26,dfs-ioonly,32,12,17,50,0
33,dfs-ioonly,32,12,18,52,0
34,dfs-ioonly,64,12,4,69,0
57,dfs-ioonly,64,12,5,70,0
10,dfs-ioonly,64,12,6,69,0
55,dfs-ioonly,64,12,16,70,0
45,dfs-ioonly,64,12,17,69,0
31,dfs-ioonly,64,12,18,73,0
16,dfs-ioonly,128,6,16,65,0
11,dfs-ioonly,128,6,17,64,0
43,dfs-ioonly,128,6,18,65,0
12,dfs-ioonly,128,12,4,136,0
18,dfs-ioonly,128,12,5,136,0
13,dfs-ioonly,128,12,6,151,0
52,dfs-ioonly,128,12,16,249,0
30,dfs-ioonly,128,12,17,136,0
46,dfs-ioonly,128,12,18,135,0
42,dfs-ioonly,256,3,16,68,0
49,dfs-ioonly,256,3,17,67,0
53,dfs-ioonly,256,3,18,68,0
40,dfs-ioonly,256,6,10,248,0
50,dfs-ioonly,256,6,11,167,0
1,dfs-ioonly,256,6,12,167,0
19,dfs-ioonly,256,12,4,295,0
59,dfs-ioonly,256,12,5,291,0
9,dfs-ioonly,256,12,6,474,0
8,dfs-ioonly,256,12,16,540,0
15,dfs-ioonly,256,12,17,392,0
37,dfs-ioonly,256,12,18,353,0
48,dfs-ioonly,512,1,16,44,0
58,dfs-ioonly,512,1,17,43,0
35,dfs-ioonly,512,1,18,47,0
51,dfs-ioonly,512,3,7,164,0
2,dfs-ioonly,512,3,8,211,0
39,dfs-ioonly,512,3,9,224,0
32,dfs-ioonly,512,3,10,226,0
20,dfs-ioonly,512,3,11,215,0
6,dfs-ioonly,512,3,12,220,0
25,dfs-ioonly,512,6,10,538,0
4,dfs-ioonly,512,6,11,527,0
21,dfs-ioonly,512,6,12,525,0
22,dfs-ioonly,512,12,4,628,0
17,dfs-ioonly,512,12,5,1024,0
38,dfs-ioonly,512,12,6,1079,0
5,dfs-ioonly,512,12,7,912,0
27,dfs-ioonly,512,12,8,961,0
29,dfs-ioonly,512,12,9,933,0
0,dfs-ioonly,512,12,16,1106,0
36,dfs-ioonly,512,12,17,1057,0
47,dfs-ioonly,512,12,18,1071,0
81,dfs-reg-suite,512,12,7,1001,0
82,dfs-reg-suite,512,12,8,969,0
83,dfs-reg-suite,512,12,9,1010,0
62,dfs-seq-suite,512,12,4,1051,0
61,dfs-seq-suite,512,12,5,1014,0
65,dfs-seq-suite,512,12,6,1029,0
60,dfs-seq-suite,512,12,7,1007,0
63,dfs-seq-suite,512,12,8,994,0
64,dfs-seq-suite,512,12,9,1039,0
71,network-suite-1hopsim-node2x,16,12,1,119,0
68,network-suite-1hopsim-node2x,16,12,2,102,0
80,network-suite-1hopsim-node2x,16,12,3,117,0
69,network-suite-1hopsim-node2x,32,12,1,119,0
74,network-suite-1hopsim-node2x,32,12,2,122,0
66,network-suite-1hopsim-node2x,32,12,3,122,0
73,network-suite-1hopsim-node2x,64,12,1,133,0
75,network-suite-1hopsim-node2x,64,12,2,128,0
78,network-suite-1hopsim-node2x,64,12,3,126,0
77,network-suite-1hopsim-node2x,128,12,1,143,0
67,network-suite-1hopsim-node2x,128,12,2,138,0
72,network-suite-1hopsim-node2x,128,12,3,140,0
70,network-suite-1hopsim-node2x,256,12,1,150,0
76,network-suite-1hopsim-node2x,256,12,2,167,0
79,network-suite-1hopsim-node2x,256,12,3,149,0
