,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,max_fin_dura,total_io_time,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
0,carp-suite-intraepoch-nowrite,2,256,3,750000,2048,4700000,14300000,6000000.0,10200000.0,6100000.0,10700000.0,0.056,0,36487.0,36659.0,33928.0,34074.0,33017.0,33179.0,4.11,103916.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,carp-suite-intraepoch-nowrite,2,128,6,1000000,2048,5900000,12300000,4500000.0,14100000.0,4099999.0,12500000.0,0.084,0,37090.0,37254.0,41053.0,41204.0,37877.0,38009.0,0.614,231812.442,4099999.0,13500000.0,4099999.0,11000000.0,4300000.0,12200000.0,38884.0,39024.0,37614.0,37725.0,38449.0,38595.0,,,,,,,,,,,,,,,,,,,,,,,,
2,carp-suite-intraepoch-nowrite,1,32,12,750000,2048,6300000,8000000,6200000.0,7900000.0,6200000.0,8400000.0,0.052,0,72355.0,72422.0,78282.0,78359.0,77269.0,77294.0,0.687,926935.012,6300000.0,7900000.0,6200000.0,8100000.0,6200000.0,7900000.0,77796.0,77852.0,76925.0,76978.0,75763.0,75775.0,6200000.0,8500000.0,6300000.0,8000000.0,6200000.0,7700000.0,6300000.0,7800000.0,6200000.0,7800000.0,6200000.0,7900000.0,80812.0,80867.0,79406.0,79452.0,79139.0,79166.0,75635.0,75659.0,77131.0,77155.0,75892.0,75955.0
3,carp-suite-intraepoch-nowrite,1,128,6,750000,2048,6300000,10500000,5100000.0,14600000.0,4900000.0,12700000.0,0.071,0,36002.0,36071.0,40991.0,41128.0,40734.0,40921.0,0.764,232370.77300000002,6200000.0,11300000.0,4900000.0,13600000.0,4400000.0,10500000.0,37795.0,37936.0,39751.0,39942.0,36168.0,36372.0,,,,,,,,,,,,,,,,,,,,,,,,
4,carp-suite-intraepoch-nowrite,2,64,12,750000,2048,6200000,10100000,6300000.0,9700000.0,5100000.0,10300000.0,0.117,0,52214.0,52318.0,52529.0,52615.0,51980.0,52076.0,0.812,632975.016,5400000.0,11900000.0,4000000.0,10800000.0,6300000.0,8600000.0,52420.0,52524.0,51276.0,51393.0,51460.0,51540.0,6000000.0,12000000.0,4700000.0,11900000.0,4700000.0,12000000.0,6100000.0,9900000.0,5000000.0,10900000.0,5200000.0,12400000.0,53073.0,53194.0,55185.0,55313.0,52847.0,52925.0,52593.0,52728.0,53675.0,53768.0,52479.0,52581.0
5,carp-suite-intraepoch-nowrite,2,32,12,1000000,2048,6300000,8100000,6200000.0,7800000.0,6200000.0,8000000.0,0.073,0,72452.0,72476.0,76111.0,76124.0,75296.0,75341.0,0.615,919722.034,6200000.0,7900000.0,6100000.0,7800000.0,5500000.0,7000000.0,75768.0,75809.0,79880.0,79903.0,77987.0,78031.0,6300000.0,8000000.0,6200000.0,8000000.0,6200000.0,8100000.0,6200000.0,7900000.0,6200000.0,8100000.0,5900000.0,8900000.0,76888.0,76948.0,76760.0,76918.0,76520.0,76603.0,75991.0,76023.0,77815.0,77827.0,77663.0,77719.0
6,carp-suite-intraepoch-nowrite,1,256,3,1000000,2048,6200000,12300000,5800000.0,10500000.0,6100000.0,11700000.0,0.078,0,28299.0,28421.0,30977.0,31179.0,28560.0,28761.0,1.175,88362.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,carp-suite-intraepoch-nowrite,1,256,3,750000,2048,6200000,11900000,5900000.0,11100000.0,4000000.0,12800000.0,0.075,0,27314.0,27492.0,28916.0,29074.0,32098.999999999996,32311.999999999996,1.348,88878.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,carp-suite-intraepoch-nowrite,2,16,12,750000,2048,5100000,8300000,5100000.0,8700000.0,5200000.0,8600000.0,0.054,0,14328.0,14344.0,17977.0,18001.0,17801.0,17829.0,0.734,207351.276,5400000.0,8400000.0,5500000.0,8400000.0,5100000.0,8600000.0,16903.0,16914.0,17450.0,17461.0,17988.0,18006.0,5600000.0,8199999.0,6000000.0,7900000.0,5700000.0,8300000.0,5500000.0,8300000.0,5400000.0,8600000.0,6000000.0,7800000.0,17406.0,17426.0,17702.0,17719.0,17124.0,17131.0,17453.0,17480.0,17478.0,17505.0,17440.0,17534.0
9,carp-suite-intraepoch-nowrite,1,64,12,750000,2048,6200000,10800000,4300000.0,11400000.0,5000000.0,10000000.0,0.083,0,49701.0,49763.0,53746.0,53808.0,53734.0,53820.0,0.608,628528.441,4400000.0,11800000.0,6100000.0,9700000.0,6300000.0,8500000.0,53898.0,54037.0,51996.0,52096.0,52260.0,52348.0,5800000.0,9700000.0,5000000.0,9900000.0,4900000.0,8800000.0,4099999.0,12700000.0,4500000.0,9900000.0,4500000.0,10100000.0,54477.0,54603.0,52445.0,52595.0,50025.0,50151.0,51142.0,51177.0,52730.0,52934.0,51006.0,51196.0
10,carp-suite-intraepoch-nowrite,2,64,12,1000000,2048,4400000,8600000,4600000.0,9800000.0,3900000.0,11200000.0,0.078,0,51739.0,51791.0,55614.0,55729.0,50989.0,51081.0,0.652,626230.939,3600000.0,10300000.0,3900000.0,10500000.0,4099999.0,10700000.0,51401.0,51485.0,51300.0,51383.0,52338.0,52447.0,5200000.0,8400000.0,4099999.0,9700000.0,3900000.0,10100000.0,4600000.0,8600000.0,4099999.0,10000000.0,4600000.0,10000000.0,51343.0,51393.0,51779.0,51858.0,52364.0,52526.0,52556.0,52680.0,52985.0,53089.0,50592.0,50767.0
11,carp-suite-intraepoch-nowrite,2,512,1,1000000,2048,5300000,10900000,,,,,0.056,0,30149.0,30333.0,,,,,2.225,30335.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,carp-suite-intraepoch-nowrite,1,16,12,1000000,2048,5000000,8700000,4800000.0,8600000.0,5000000.0,8600000.0,0.102,0,14627.0,14654.0,18454.0,18487.0,17922.0,17942.0,0.599,210640.586,5300000.0,8300000.0,5000000.0,8700000.0,5600000.0,8000000.0,17577.0,17590.0,18222.0,18235.0,17422.0,17436.0,5600000.0,8100000.0,5000000.0,8600000.0,5800000.0,7800000.0,5000000.0,8600000.0,5000000.0,8700000.0,5000000.0,8700000.0,17177.0,17195.0,17559.0,17567.0,17662.0,17667.0,17829.0,17833.0,17896.0,17914.0,18075.0,18119.0
13,carp-suite-intraepoch-nowrite,1,32,12,1000000,2048,6100000,7800000,6200000.0,8600000.0,6300000.0,7800000.0,0.059,0,74289.0,74328.0,76348.0,76409.0,75857.0,75922.0,0.703,912309.5009999999,6000000.0,8100000.0,6300000.0,8400000.0,6200000.0,8199999.0,74594.0,74610.0,75523.0,75554.0,77604.0,77664.0,6100000.0,7800000.0,6000000.0,8100000.0,6200000.0,8100000.0,6100000.0,8000000.0,6200000.0,8600000.0,6200000.0,8300000.0,75885.0,75933.0,76191.0,76210.0,76558.0,76581.0,75753.0,75788.0,76472.0,76504.0,76748.0,76803.0
