,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
43,carp-suite-intraepoch,16,12,750000,2048,1,217,0.095
32,carp-suite-intraepoch,16,12,750000,2048,2,218,0.107
36,carp-suite-intraepoch,16,12,1000000,2048,1,205,0.048
38,carp-suite-intraepoch,16,12,1000000,2048,2,203,0.032
26,carp-suite-intraepoch,32,12,750000,2048,1,967,0.061
39,carp-suite-intraepoch,32,12,750000,2048,2,965,0.055
37,carp-suite-intraepoch,32,12,1000000,2048,1,956,0.043
29,carp-suite-intraepoch,32,12,1000000,2048,2,960,0.063
33,carp-suite-intraepoch,64,12,750000,2048,1,646,0.102
28,carp-suite-intraepoch,64,12,750000,2048,2,657,0.075
41,carp-suite-intraepoch,64,12,1000000,2048,1,643,0.035
34,carp-suite-intraepoch,64,12,1000000,2048,2,641,0.036
27,carp-suite-intraepoch,128,6,750000,2048,1,244,0.075
40,carp-suite-intraepoch,128,6,750000,2048,2,240,0.113
42,carp-suite-intraepoch,128,6,1000000,2048,1,228,0.04
25,carp-suite-intraepoch,128,6,1000000,2048,2,225,0.053
31,carp-suite-intraepoch,256,3,750000,2048,1,166,0.066
24,carp-suite-intraepoch,256,3,750000,2048,2,123,0.08
30,carp-suite-intraepoch,256,3,1000000,2048,1,122,0.047
46,carp-suite-intraepoch,256,3,1000000,2048,2,102,0.055
44,carp-suite-intraepoch,512,1,750000,2048,1,72,0.028
47,carp-suite-intraepoch,512,1,750000,2048,2,56,0.087
45,carp-suite-intraepoch,512,1,1000000,2048,1,58,0.494
35,carp-suite-intraepoch,512,1,1000000,2048,2,59,0.515
19,carp-suite-intraepoch-nowrite,16,12,750000,2048,1,207,0.09
8,carp-suite-intraepoch-nowrite,16,12,750000,2048,2,207,0.054
12,carp-suite-intraepoch-nowrite,16,12,1000000,2048,1,210,0.102
14,carp-suite-intraepoch-nowrite,16,12,1000000,2048,2,210,0.042
2,carp-suite-intraepoch-nowrite,32,12,750000,2048,1,926,0.052
15,carp-suite-intraepoch-nowrite,32,12,750000,2048,2,917,0.055
13,carp-suite-intraepoch-nowrite,32,12,1000000,2048,1,912,0.059
5,carp-suite-intraepoch-nowrite,32,12,1000000,2048,2,919,0.073
9,carp-suite-intraepoch-nowrite,64,12,750000,2048,1,628,0.083
4,carp-suite-intraepoch-nowrite,64,12,750000,2048,2,632,0.117
17,carp-suite-intraepoch-nowrite,64,12,1000000,2048,1,623,0.069
10,carp-suite-intraepoch-nowrite,64,12,1000000,2048,2,626,0.078
3,carp-suite-intraepoch-nowrite,128,6,750000,2048,1,232,0.071
16,carp-suite-intraepoch-nowrite,128,6,750000,2048,2,228,0.105
18,carp-suite-intraepoch-nowrite,128,6,1000000,2048,1,232,0.083
1,carp-suite-intraepoch-nowrite,128,6,1000000,2048,2,231,0.084
7,carp-suite-intraepoch-nowrite,256,3,750000,2048,1,88,0.075
0,carp-suite-intraepoch-nowrite,256,3,750000,2048,2,103,0.056
6,carp-suite-intraepoch-nowrite,256,3,1000000,2048,1,88,0.078
22,carp-suite-intraepoch-nowrite,256,3,1000000,2048,2,100,0.289
20,carp-suite-intraepoch-nowrite,512,1,750000,2048,1,32,0.057
23,carp-suite-intraepoch-nowrite,512,1,750000,2048,2,35,0.055
21,carp-suite-intraepoch-nowrite,512,1,1000000,2048,1,32,0.122
11,carp-suite-intraepoch-nowrite,512,1,1000000,2048,2,30,0.056
60,carp-suite-intraepoch-skipsort,16,12,750000,2048,1,215,0.09
54,carp-suite-intraepoch-skipsort,16,12,750000,2048,2,215,0.057
50,carp-suite-intraepoch-skipsort,32,12,750000,2048,1,966,0.065
58,carp-suite-intraepoch-skipsort,32,12,750000,2048,2,1001,0.063
55,carp-suite-intraepoch-skipsort,64,12,750000,2048,1,651,0.085
52,carp-suite-intraepoch-skipsort,64,12,750000,2048,2,636,0.085
56,carp-suite-intraepoch-skipsort,64,12,1000000,2048,2,646,0.11
51,carp-suite-intraepoch-skipsort,128,6,750000,2048,1,235,0.084
59,carp-suite-intraepoch-skipsort,128,6,750000,2048,2,240,0.087
49,carp-suite-intraepoch-skipsort,128,6,1000000,2048,2,230,0.039
53,carp-suite-intraepoch-skipsort,256,3,750000,2048,1,109,0.07
48,carp-suite-intraepoch-skipsort,256,3,750000,2048,2,133,0.07
62,carp-suite-intraepoch-skipsort,256,3,1000000,2048,2,146,0.049
61,carp-suite-intraepoch-skipsort,512,1,750000,2048,1,59,0.05
63,carp-suite-intraepoch-skipsort,512,1,750000,2048,2,53,0.052
57,carp-suite-intraepoch-skipsort,512,1,1000000,2048,2,56,0.517
