runtype,nranks,pvtcnt,epidx,load_std
initpvt,512,16,0,0.286216
initpvt,512,16,1,0.256013
initpvt,512,16,2,0.416894
initpvt,512,16,3,0.604094
initpvt,512,16,4,0.996977
initpvt,512,16,5,1.791568
initpvt,512,16,6,2.363398
initpvt,512,16,7,2.936462
initpvt,512,16,8,3.695349
initpvt,512,16,9,4.585073
initpvt,512,16,10,4.943294
initpvt,512,16,11,4.985908
ownpvt,512,16,0,0.286216
ownpvt,512,16,1,0.467247
ownpvt,512,16,2,0.696935
ownpvt,512,16,3,0.635829
ownpvt,512,16,4,0.420646
ownpvt,512,16,5,0.324903
ownpvt,512,16,6,0.384202
ownpvt,512,16,7,0.387573
ownpvt,512,16,8,0.499267
ownpvt,512,16,9,0.671271
ownpvt,512,16,10,0.800298
ownpvt,512,16,11,0.874316
initpvt,512,256,0,0.292628
initpvt,512,256,1,0.269007
initpvt,512,256,2,0.496216
initpvt,512,256,3,0.690049
initpvt,512,256,4,1.234459
initpvt,512,256,5,2.227043
initpvt,512,256,6,2.939508
initpvt,512,256,7,3.623198
initpvt,512,256,8,4.525585
initpvt,512,256,9,5.504152
initpvt,512,256,10,5.934289
initpvt,512,256,11,6.016103
ownpvt,512,256,0,0.292628
ownpvt,512,256,1,0.417933
ownpvt,512,256,2,0.460318
ownpvt,512,256,3,0.455111
ownpvt,512,256,4,0.281022
ownpvt,512,256,5,0.150252
ownpvt,512,256,6,0.163173
ownpvt,512,256,7,0.178498
ownpvt,512,256,8,0.324990
ownpvt,512,256,9,0.500477
ownpvt,512,256,10,0.613524
ownpvt,512,256,11,0.662910
initpvt,512,1024,0,0.298998
initpvt,512,1024,1,0.275830
initpvt,512,1024,2,0.527043
initpvt,512,1024,3,0.726801
initpvt,512,1024,4,1.335286
initpvt,512,1024,5,2.416275
initpvt,512,1024,6,3.188320
initpvt,512,1024,7,3.923949
initpvt,512,1024,8,4.883725
initpvt,512,1024,9,5.895801
initpvt,512,1024,10,6.354122
initpvt,512,1024,11,6.450671
ownpvt,512,1024,0,0.298998
ownpvt,512,1024,1,0.421773
ownpvt,512,1024,2,0.459186
ownpvt,512,1024,3,0.453827
ownpvt,512,1024,4,0.284497
ownpvt,512,1024,5,0.152655
ownpvt,512,1024,6,0.162525
ownpvt,512,1024,7,0.173341
ownpvt,512,1024,8,0.319830
ownpvt,512,1024,9,0.496954
ownpvt,512,1024,10,0.606249
ownpvt,512,1024,11,0.652060
initpvt,512,8192,0,0.301101
initpvt,512,8192,1,0.277578
initpvt,512,8192,2,0.526864
initpvt,512,8192,3,0.725948
initpvt,512,8192,4,1.330691
initpvt,512,8192,5,2.406758
initpvt,512,8192,6,3.175684
initpvt,512,8192,7,3.908660
initpvt,512,8192,8,4.865734
initpvt,512,8192,9,5.876377
initpvt,512,8192,10,6.333333
initpvt,512,8192,11,6.429158
ownpvt,512,8192,0,0.301101
ownpvt,512,8192,1,0.423291
ownpvt,512,8192,2,0.459565
ownpvt,512,8192,3,0.454293
ownpvt,512,8192,4,0.286206
ownpvt,512,8192,5,0.154863
ownpvt,512,8192,6,0.163726
ownpvt,512,8192,7,0.173312
ownpvt,512,8192,8,0.318785
ownpvt,512,8192,9,0.495816
ownpvt,512,8192,10,0.604491
ownpvt,512,8192,11,0.650152
initpvt,512,128,0,0.286640
initpvt,512,128,1,0.262644
initpvt,512,128,2,0.465879
initpvt,512,128,3,0.655763
initpvt,512,128,4,1.138651
initpvt,512,128,5,2.050473
initpvt,512,128,6,2.706749
initpvt,512,128,7,3.342924
initpvt,512,128,8,4.189099
initpvt,512,128,9,5.133746
initpvt,512,128,10,5.534479
initpvt,512,128,11,5.602073
ownpvt,512,128,0,0.286640
ownpvt,512,128,1,0.415405
ownpvt,512,128,2,0.467557
ownpvt,512,128,3,0.461553
ownpvt,512,128,4,0.279529
ownpvt,512,128,5,0.152067
ownpvt,512,128,6,0.173144
ownpvt,512,128,7,0.191931
ownpvt,512,128,8,0.335100
ownpvt,512,128,9,0.508996
ownpvt,512,128,10,0.626483
ownpvt,512,128,11,0.680559
initpvt,512,64,0,0.277248
initpvt,512,64,1,0.253566
initpvt,512,64,2,0.439013
initpvt,512,64,3,0.628178
initpvt,512,64,4,1.066268
initpvt,512,64,5,1.920909
initpvt,512,64,6,2.535234
initpvt,512,64,7,3.139098
initpvt,512,64,8,3.941395
initpvt,512,64,9,4.859423
initpvt,512,64,10,5.237681
initpvt,512,64,11,5.293619
ownpvt,512,64,0,0.277248
ownpvt,512,64,1,0.413779
ownpvt,512,64,2,0.484653
ownpvt,512,64,3,0.478393
ownpvt,512,64,4,0.283161
ownpvt,512,64,5,0.166315
ownpvt,512,64,6,0.200048
ownpvt,512,64,7,0.218364
ownpvt,512,64,8,0.355187
ownpvt,512,64,9,0.530267
ownpvt,512,64,10,0.654546
ownpvt,512,64,11,0.714620
initpvt,512,512,0,0.296319
initpvt,512,512,1,0.272796
initpvt,512,512,2,0.523216
initpvt,512,512,3,0.722766
initpvt,512,512,4,1.326121
initpvt,512,512,5,2.399396
initpvt,512,512,6,3.166275
initpvt,512,512,7,3.897417
initpvt,512,512,8,4.852444
initpvt,512,512,9,5.861769
initpvt,512,512,10,6.317715
initpvt,512,512,11,6.413031
ownpvt,512,512,0,0.296319
ownpvt,512,512,1,0.420076
ownpvt,512,512,2,0.458988
ownpvt,512,512,3,0.453567
ownpvt,512,512,4,0.282736
ownpvt,512,512,5,0.150738
ownpvt,512,512,6,0.161690
ownpvt,512,512,7,0.174145
ownpvt,512,512,8,0.320950
ownpvt,512,512,9,0.497905
ownpvt,512,512,10,0.608429
ownpvt,512,512,11,0.655151
initpvt,512,2048,0,0.300304
initpvt,512,2048,1,0.277033
initpvt,512,2048,2,0.527459
initpvt,512,2048,3,0.726935
initpvt,512,2048,4,1.334393
initpvt,512,2048,5,2.414153
initpvt,512,2048,6,3.185457
initpvt,512,2048,7,3.920466
initpvt,512,2048,8,4.879634
initpvt,512,2048,9,5.891409
initpvt,512,2048,10,6.349413
initpvt,512,2048,11,6.445795
ownpvt,512,2048,0,0.300304
ownpvt,512,2048,1,0.422704
ownpvt,512,2048,2,0.459411
ownpvt,512,2048,3,0.454135
ownpvt,512,2048,4,0.285497
ownpvt,512,2048,5,0.153931
ownpvt,512,2048,6,0.163273
ownpvt,512,2048,7,0.173404
ownpvt,512,2048,8,0.319287
ownpvt,512,2048,9,0.496459
ownpvt,512,2048,10,0.605261
ownpvt,512,2048,11,0.650823
initpvt,512,4096,0,0.300840
initpvt,512,4096,1,0.277422
initpvt,512,4096,2,0.527183
initpvt,512,4096,3,0.726427
initpvt,512,4096,4,1.332359
initpvt,512,4096,5,2.410061
initpvt,512,4096,6,3.180042
initpvt,512,4096,7,3.913920
initpvt,512,4096,8,4.871928
initpvt,512,4096,9,5.883080
initpvt,512,4096,10,6.340506
initpvt,512,4096,11,6.436574
ownpvt,512,4096,0,0.300840
ownpvt,512,4096,1,0.423114
ownpvt,512,4096,2,0.459557
ownpvt,512,4096,3,0.454274
ownpvt,512,4096,4,0.285969
ownpvt,512,4096,5,0.154594
ownpvt,512,4096,6,0.163612
ownpvt,512,4096,7,0.173415
ownpvt,512,4096,8,0.318963
ownpvt,512,4096,9,0.496054
ownpvt,512,4096,10,0.604747
ownpvt,512,4096,11,0.650400
ep0pp,512,16,0,0.374773
ep0pp,512,16,1,0.343051
ep0pp,512,16,2,0.438127
ep0pp,512,16,3,0.606306
ep0pp,512,16,4,0.940165
ep0pp,512,16,5,1.662027
ep0pp,512,16,6,2.181003
ep0pp,512,16,7,2.717420
ep0pp,512,16,8,3.420258
ep0pp,512,16,9,4.255965
ep0pp,512,16,10,4.590211
ep0pp,512,16,11,4.618123
epxsub1pp,512,16,1,0.343051
epxsub1pp,512,16,2,0.403334
epxsub1pp,512,16,3,0.419450
epxsub1pp,512,16,4,0.381672
epxsub1pp,512,16,5,0.327314
epxsub1pp,512,16,6,0.361537
epxsub1pp,512,16,7,0.363469
epxsub1pp,512,16,8,0.396121
epxsub1pp,512,16,9,0.353305
epxsub1pp,512,16,10,0.417108
epxsub1pp,512,16,11,0.470012
epxpp,512,16,0,0.374773
epxpp,512,16,1,0.360043
epxpp,512,16,2,0.415213
epxpp,512,16,3,0.466591
epxpp,512,16,4,0.333304
epxpp,512,16,5,0.359006
epxpp,512,16,6,0.357643
epxpp,512,16,7,0.360127
epxpp,512,16,8,0.347425
epxpp,512,16,9,0.388317
epxpp,512,16,10,0.453781
epxpp,512,16,11,0.481685
ep0pp,512,256,0,0.053879
ep0pp,512,256,1,0.176160
ep0pp,512,256,2,0.397000
ep0pp,512,256,3,0.622324
ep0pp,512,256,4,1.233923
ep0pp,512,256,5,2.283638
ep0pp,512,256,6,3.024891
ep0pp,512,256,7,3.724565
ep0pp,512,256,8,4.623689
ep0pp,512,256,9,5.562273
ep0pp,512,256,10,5.997679
ep0pp,512,256,11,6.090348
epxsub1pp,512,256,1,0.176160
epxsub1pp,512,256,2,0.322735
epxsub1pp,512,256,3,0.232849
epxsub1pp,512,256,4,0.197935
epxsub1pp,512,256,5,0.268050
epxsub1pp,512,256,6,0.163256
epxsub1pp,512,256,7,0.142381
epxsub1pp,512,256,8,0.161556
epxsub1pp,512,256,9,0.138929
epxsub1pp,512,256,10,0.135879
epxsub1pp,512,256,11,0.169170
epxpp,512,256,0,0.053879
epxpp,512,256,1,0.051528
epxpp,512,256,2,0.068092
epxpp,512,256,3,0.069687
epxpp,512,256,4,0.046048
epxpp,512,256,5,0.056047
epxpp,512,256,6,0.059956
epxpp,512,256,7,0.064924
epxpp,512,256,8,0.060699
epxpp,512,256,9,0.092162
epxpp,512,256,10,0.156440
epxpp,512,256,11,0.203589
ep0pp,512,1024,0,0.007595
ep0pp,512,1024,1,0.173897
ep0pp,512,1024,2,0.528075
ep0pp,512,1024,3,0.777296
ep0pp,512,1024,4,1.622148
ep0pp,512,1024,5,3.008128
ep0pp,512,1024,6,3.975528
ep0pp,512,1024,7,4.872904
ep0pp,512,1024,8,5.992328
ep0pp,512,1024,9,7.080868
ep0pp,512,1024,10,7.622865
ep0pp,512,1024,11,7.766296
epxsub1pp,512,1024,1,0.173897
epxsub1pp,512,1024,2,0.419413
epxsub1pp,512,1024,3,0.258649
