hg_proto,hg_poll,hg_byploc,nranks,rounds,rwarmup,npivots,mean,std,min,max
bmi+tcp,0,0,16,1,1,256,13126.0,0.0,13126,13126
bmi+tcp,0,0,16,1,1,512,33887.0,0.0,33887,33887
bmi+tcp,0,0,16,1,1,1024,31662.0,0.0,31662,31662
bmi+tcp,0,0,16,1,1,2048,67338.0,0.0,67338,67338
bmi+tcp,0,0,16,1,1,4096,102166.0,0.0,102166,102166
bmi+tcp,0,0,16,1,1,8192,156234.0,0.0,156234,156234
bmi+tcp,0,0,32,1,1,256,23628.0,0.0,23628,23628
bmi+tcp,0,0,32,1,1,512,29054.0,0.0,29054,29054
bmi+tcp,0,0,32,1,1,1024,44951.0,0.0,44951,44951
bmi+tcp,0,0,32,1,1,2048,72758.0,0.0,72758,72758
bmi+tcp,0,0,32,1,1,4096,109274.0,0.0,109274,109274
bmi+tcp,0,0,32,1,1,8192,188685.0,0.0,188685,188685
bmi+tcp,0,0,64,1,1,256,25581.0,0.0,25581,25581
bmi+tcp,0,0,64,1,1,512,30827.0,0.0,30827,30827
bmi+tcp,0,0,64,1,1,1024,42479.0,0.0,42479,42479
bmi+tcp,0,0,64,1,1,2048,76479.0,0.0,76479,76479
bmi+tcp,0,0,64,1,1,4096,117107.0,0.0,117107,117107
bmi+tcp,0,0,64,1,1,8192,172638.0,0.0,172638,172638
bmi+tcp,0,0,128,1,1,256,34277.0,0.0,34277,34277
bmi+tcp,0,0,128,1,1,512,35552.0,0.0,35552,35552
bmi+tcp,0,0,128,1,1,1024,77555.0,0.0,77555,77555
bmi+tcp,0,0,128,1,1,2048,76566.0,0.0,76566,76566
bmi+tcp,0,0,128,1,1,4096,166336.0,0.0,166336,166336
bmi+tcp,0,0,128,1,1,8192,253176.0,0.0,253176,253176
bmi+tcp,0,0,256,1,1,256,27575.0,0.0,27575,27575
bmi+tcp,0,0,256,1,1,512,43898.0,0.0,43898,43898
bmi+tcp,0,0,256,1,1,1024,72188.0,0.0,72188,72188
bmi+tcp,0,0,256,1,1,2048,111959.0,0.0,111959,111959
bmi+tcp,0,0,256,1,1,4096,229009.0,0.0,229009,229009
bmi+tcp,0,0,256,1,1,8192,370347.0,0.0,370347,370347
bmi+tcp,0,0,512,1,1,256,45184.0,0.0,45184,45184
bmi+tcp,0,0,512,1,1,512,47756.0,0.0,47756,47756
bmi+tcp,0,0,512,1,1,1024,74748.0,0.0,74748,74748
bmi+tcp,0,0,512,1,1,2048,135300.0,0.0,135300,135300
bmi+tcp,0,0,512,1,1,4096,202924.0,0.0,202924,202924
bmi+tcp,0,0,512,1,1,8192,381766.0,0.0,381766,381766
bmi+tcp,0,0,1024,,1,256,
bmi+tcp,0,0,1024,,1,512,
bmi+tcp,0,0,1024,,1,1024,
bmi+tcp,0,0,1024,,1,2048,
bmi+tcp,0,0,1024,,1,4096,
bmi+tcp,0,0,1024,,1,8192,
bmi+tcp,0,0,2048,,1,256,
