nranks,rounds,npivots,mean,std,min,max
512,100,256,284150.0,54957.8,177807,447459
512,100,512,292342.0,58868.7,186629,445866
512,100,1024,294961.0,61651.1,183694,558407
512,100,2048,302549.0,61585.5,199956,621848
512,100,4096,302265.0,55032.0,195678,440006
512,100,8192,288302.0,54687.4,184958,446376
16,25,256,34777.0,6817.9,24547,48991
16,25,512,34954.0,8828.0,24357,64937
16,25,1024,33843.0,8132.9,23806,61448
16,25,2048,34850.0,9649.9,19586,66340
16,25,4096,34578.0,7407.0,22101,61399
16,25,8192,36081.0,8317.7,24696,65196
32,25,256,95126.0,53813.2,30884,240116
32,25,512,78637.0,36949.7,32657,151702
32,25,1024,76411.0,34194.0,34082,137108
32,25,2048,77757.0,39372.2,29734,160957
32,25,4096,65428.0,27521.2,37520,146455
32,25,8192,84006.0,55491.5,31967,294347
64,25,256,106720.0,32896.7,50226,187121
64,25,512,98912.0,56486.1,40196,274888
64,25,1024,92501.0,29149.6,46052,174007
64,25,2048,122661.0,65687.2,44537,369187
64,25,4096,128556.0,70039.4,48505,364387
64,25,8192,102647.0,34113.3,44215,188445
128,25,256,163544.0,41814.1,95947,259750
128,25,512,178623.0,42683.4,113652,299996
128,25,1024,192171.0,54142.0,97498,294260
128,25,2048,175172.0,49779.6,69198,303700
128,25,4096,182144.0,41934.5,104687,288703
128,25,8192,176001.0,49561.7,103741,294213
256,25,256,259150.0,123030.4,156332,676485
256,25,512,208239.0,36634.6,153059,285364
256,25,1024,222840.0,67735.5,139941,456539
256,25,2048,220649.0,55716.5,137635,367238
256,25,4096,223403.0,50761.4,144826,330942
256,25,8192,213010.0,34094.4,139324,276115
512,25,256,334408.0,162877.3,186737,839447
512,25,512,297100.0,43493.6,209565,380704
512,25,1024,291209.0,43044.5,226772,381034
512,25,2048,319034.0,125827.9,214740,804481
512,25,4096,280193.0,39183.9,190033,360780
512,25,8192,287782.0,46590.5,195071,403300
1024,,256,
1024,25,512,328409.0,68473.0,211555,494230
1024,25,1024,335840.0,105583.8,233671,765838
1024,25,2048,311629.0,37228.0,253016,435551
1024,25,4096,335563.0,54377.3,246232,480224
1024,25,8192,314706.0,42995.5,221810,390781
2048,25,256,423136.0,98185.7,302071,722359
2048,25,512,383872.0,85161.9,286123,685099
2048,25,1024,426886.0,236250.9,266190,1442783
2048,25,2048,394052.0,63904.1,312400,573638
2048,25,4096,406019.0,98750.0,303467,654868
2048,25,8192,420397.0,139077.7,305737,970882
