hg_proto,hg_poll,hg_byploc,nranks,rounds,rwarmup,npivots,mean,std,min,max
bmi+tcp,0,0,16,1,0,512,53802.0,0.0,53802,53802
bmi+tcp,0,0,32,1,0,512,55577.0,0.0,55577,55577
bmi+tcp,0,0,64,1,0,512,69225.0,0.0,69225,69225
bmi+tcp,0,0,128,1,0,512,127754.0,0.0,127754,127754
bmi+tcp,0,0,256,1,0,512,175400.0,0.0,175400,175400
bmi+tcp,0,0,512,1,0,512,206783.0,0.0,206783,206783
bmi+tcp,0,0,1024,1,0,512,226736.0,0.0,226736,226736
bmi+tcp,0,0,2048,1,0,512,288443.0,0.0,288443,288443
bmi+tcp,1,0,16,1,0,512,58039.0,0.0,58039,58039
bmi+tcp,1,0,32,1,0,512,101306.0,0.0,101306,101306
bmi+tcp,1,0,64,1,0,512,107975.0,0.0,107975,107975
bmi+tcp,1,0,128,1,0,512,175946.0,0.0,175946,175946
bmi+tcp,1,0,256,1,0,512,277010.0,0.0,277010,277010
bmi+tcp,1,0,512,1,0,512,251959.0,0.0,251959,251959
bmi+tcp,1,0,1024,1,0,512,390153.0,0.0,390153,390153
bmi+tcp,1,0,2048,1,0,512,407955.0,0.0,407955,407955
psm+psm,0,0,16,1,0,512,68662.0,0.0,68662,68662
psm+psm,0,0,32,1,0,512,61310.0,0.0,61310,61310
psm+psm,0,0,64,1,0,512,57464.0,0.0,57464,57464
psm+psm,0,0,128,1,0,512,196748.0,0.0,196748,196748
psm+psm,0,0,256,1,0,512,194206.0,0.0,194206,194206
psm+psm,0,0,512,1,0,512,265054.0,0.0,265054,265054
psm+psm,0,0,1024,1,0,512,336865.0,0.0,336865,336865
psm+psm,0,0,2048,1,0,512,332061.0,0.0,332061,332061
psm+psm,1,0,16,1,0,512,109656.0,0.0,109656,109656
psm+psm,1,0,32,1,0,512,208961.0,0.0,208961,208961
psm+psm,1,0,64,1,0,512,157068.0,0.0,157068,157068
psm+psm,1,0,128,1,0,512,328597.0,0.0,328597,328597
psm+psm,1,0,256,1,0,512,328170.0,0.0,328170,328170
psm+psm,1,0,512,1,0,512,425569.0,0.0,425569,425569
psm+psm,1,0,1024,1,0,512,351422.0,0.0,351422,351422
psm+psm,1,0,2048,1,0,512,504911.0,0.0,504911,504911
bmi+tcp,0,0,16,1,10,512,38332.0,0.0,38332,38332
bmi+tcp,0,0,32,1,10,512,40096.0,0.0,40096,40096
bmi+tcp,0,0,64,1,10,512,56097.0,0.0,56097,56097
bmi+tcp,0,0,128,1,10,512,77881.0,0.0,77881,77881
bmi+tcp,0,0,256,1,10,512,106719.0,0.0,106719,106719
bmi+tcp,0,0,512,1,10,512,130049.0,0.0,130049,130049
bmi+tcp,0,0,1024,1,10,512,157875.0,0.0,157875,157875
bmi+tcp,0,0,2048,1,10,512,201918.0,0.0,201918,201918
bmi+tcp,1,0,16,1,10,512,59986.0,0.0,59986,59986
bmi+tcp,1,0,32,1,10,512,55118.0,0.0,55118,55118
bmi+tcp,1,0,64,1,10,512,81765.0,0.0,81765,81765
bmi+tcp,1,0,128,1,10,512,109167.0,0.0,109167,109167
bmi+tcp,1,0,256,1,10,512,181864.0,0.0,181864,181864
bmi+tcp,1,0,512,1,10,512,196011.0,0.0,196011,196011
bmi+tcp,1,0,1024,1,10,512,224615.0,0.0,224615,224615
bmi+tcp,1,0,2048,1,10,512,251941.0,0.0,251941,251941
psm+psm,0,0,16,1,10,512,43562.0,0.0,43562,43562
psm+psm,0,0,32,1,10,512,98617.0,0.0,98617,98617
psm+psm,0,0,64,1,10,512,164504.0,0.0,164504,164504
psm+psm,0,0,128,1,10,512,144260.0,0.0,144260,144260
psm+psm,0,0,256,1,10,512,172102.0,0.0,172102,172102
psm+psm,0,0,512,1,10,512,281119.0,0.0,281119,281119
psm+psm,0,0,1024,1,10,512,236075.0,0.0,236075,236075
psm+psm,0,0,2048,1,10,512,375374.0,0.0,375374,375374
psm+psm,1,0,16,1,10,512,104233.0,0.0,104233,104233
psm+psm,1,0,32,1,10,512,267773.0,0.0,267773,267773
psm+psm,1,0,64,1,10,512,211339.0,0.0,211339,211339
psm+psm,1,0,128,1,10,512,227776.0,0.0,227776,227776
psm+psm,1,0,256,1,10,512,371199.0,0.0,371199,371199
psm+psm,1,0,512,1,10,512,324411.0,0.0,324411,324411
psm+psm,1,0,1024,1,10,512,436710.0,0.0,436710,436710
psm+psm,1,0,2048,1,10,512,568180.0,0.0,568180,568180
