,runtype,nranks,epcnt,run,total_io_time,load_std
42,dfs-ioonly,1024,1,1,57,0
43,dfs-ioonly,1024,1,2,57,0
25,dfs-reg-suite,16,12,1,141,0
21,dfs-reg-suite,16,12,2,138,0
24,dfs-reg-suite,32,12,1,906,0
19,dfs-reg-suite,32,12,2,898,0
14,dfs-reg-suite,64,12,1,590,0
26,dfs-reg-suite,64,12,2,593,0
23,dfs-reg-suite,128,6,1,209,0
22,dfs-reg-suite,128,6,2,210,0
15,dfs-reg-suite,256,3,1,97,0
17,dfs-reg-suite,256,3,2,80,0
18,dfs-reg-suite,512,1,1,48,0
20,dfs-reg-suite,512,1,2,48,0
16,dfs-reg-suite,1024,1,1,92,0
27,dfs-reg-suite,1024,1,2,52,0
39,dfs-seq-suite,16,12,1,131,0
35,dfs-seq-suite,16,12,2,134,0
38,dfs-seq-suite,32,12,1,897,0
33,dfs-seq-suite,32,12,2,889,0
28,dfs-seq-suite,64,12,1,593,0
40,dfs-seq-suite,64,12,2,589,0
37,dfs-seq-suite,128,6,1,211,0
36,dfs-seq-suite,128,6,2,208,0
29,dfs-seq-suite,256,3,1,93,0
31,dfs-seq-suite,256,3,2,84,0
32,dfs-seq-suite,512,1,1,45,0
34,dfs-seq-suite,512,1,2,66,0
30,dfs-seq-suite,1024,1,1,120,0
41,dfs-seq-suite,1024,1,2,62,0
11,network-suite,16,12,1,127,0
7,network-suite,16,12,2,123,0
10,network-suite,32,12,1,848,0
5,network-suite,32,12,2,874,0
0,network-suite,64,12,1,553,0
12,network-suite,64,12,2,568,0
9,network-suite,128,6,1,192,0
8,network-suite,128,6,2,195,0
1,network-suite,256,3,1,71,0
3,network-suite,256,3,2,69,0
4,network-suite,512,1,1,25,0
6,network-suite,512,1,2,24,0
2,network-suite,1024,1,1,20,0
13,network-suite,1024,1,2,25,0
