,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
18,carp-suite-interepoch,1024,1,1,2048,4,65,0.341
17,carp-suite-interepoch,1024,1,1,2048,5,73,0.392
19,carp-suite-interepoch,1024,1,3,2048,4,64,0.323
16,carp-suite-interepoch,1024,1,3,2048,5,80,0.327
22,carp-suite-interepoch-nowrite,1024,1,1,2048,4,18,0.176
21,carp-suite-interepoch-nowrite,1024,1,1,2048,5,19,0.229
23,carp-suite-interepoch-nowrite,1024,1,3,2048,4,54,0.444
20,carp-suite-interepoch-nowrite,1024,1,3,2048,5,75,0.303
1,carp-suite-intraepoch,16,12,750000,2048,4,216,0.085
2,carp-suite-intraepoch,16,12,1000000,2048,4,208,0.03
5,carp-suite-intraepoch,1024,1,750000,2048,4,61,0.092
3,carp-suite-intraepoch,1024,1,750000,2048,5,88,0.066
0,carp-suite-intraepoch,1024,1,1000000,2048,4,65,0.353
4,carp-suite-intraepoch,1024,1,1000000,2048,5,55,0.497
8,carp-suite-intraepoch-nowrite,16,12,750000,2048,3,212,0.05
7,carp-suite-intraepoch-nowrite,16,12,1000000,2048,3,213,0.102
11,carp-suite-intraepoch-nowrite,1024,1,750000,2048,4,21,0.058
9,carp-suite-intraepoch-nowrite,1024,1,750000,2048,5,20,0.062
6,carp-suite-intraepoch-nowrite,1024,1,1000000,2048,4,95,0.37
10,carp-suite-intraepoch-nowrite,1024,1,1000000,2048,5,75,0.215
15,carp-suite-intraepoch-skipsort,1024,1,750000,2048,4,62,0.063
13,carp-suite-intraepoch-skipsort,1024,1,750000,2048,5,60,0.049
12,carp-suite-intraepoch-skipsort,1024,1,1000000,2048,4,65,0.354
14,carp-suite-intraepoch-skipsort,1024,1,1000000,2048,5,53,0.27
