,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
126,carp-suite-interepoch,128,6,1,2048,1,237,0.04
115,carp-suite-interepoch,128,6,1,2048,11,239,0.042
127,carp-suite-interepoch,128,6,3,2048,1,233,0.067
123,carp-suite-interepoch,128,6,3,2048,11,232,0.041
120,carp-suite-interepoch,256,3,1,2048,1,117,0.048
119,carp-suite-interepoch,256,3,1,2048,11,141,0.045
125,carp-suite-interepoch,256,3,3,2048,1,121,0.047
116,carp-suite-interepoch,256,3,3,2048,11,173,0.048
128,carp-suite-interepoch,512,1,1,2048,1,82,0.636
121,carp-suite-interepoch,512,1,1,2048,11,60,0.39
124,carp-suite-interepoch,512,1,3,2048,1,80,0.558
118,carp-suite-interepoch,512,1,3,2048,11,70,0.57
117,carp-suite-interepoch,1024,1,1,2048,1,87,0.301
122,carp-suite-interepoch,1024,1,3,2048,1,96,0.274
11,carp-suite-interepoch-nowrite,128,6,1,2048,1,219,0.04
0,carp-suite-interepoch-nowrite,128,6,1,2048,11,214,0.041
12,carp-suite-interepoch-nowrite,128,6,3,2048,1,225,0.039
8,carp-suite-interepoch-nowrite,128,6,3,2048,11,268,0.042
5,carp-suite-interepoch-nowrite,256,3,1,2048,1,86,0.053
4,carp-suite-interepoch-nowrite,256,3,1,2048,11,89,0.044
10,carp-suite-interepoch-nowrite,256,3,3,2048,1,128,0.058
1,carp-suite-interepoch-nowrite,256,3,3,2048,11,147,0.052
13,carp-suite-interepoch-nowrite,512,1,1,2048,1,31,0.546
6,carp-suite-interepoch-nowrite,512,1,1,2048,11,31,0.439
9,carp-suite-interepoch-nowrite,512,1,3,2048,1,91,0.532
3,carp-suite-interepoch-nowrite,512,1,3,2048,11,73,0.506
2,carp-suite-interepoch-nowrite,1024,1,1,2048,1,16,0.349
7,carp-suite-interepoch-nowrite,1024,1,3,2048,1,76,0.38
56,carp-suite-intraepoch,128,6,750000,2048,1,244,0.08
63,carp-suite-intraepoch,128,6,750000,2048,11,259,0.059
64,carp-suite-intraepoch,128,6,1000000,2048,1,235,0.047
69,carp-suite-intraepoch,128,6,1000000,2048,11,233,0.044
59,carp-suite-intraepoch,256,3,750000,2048,1,182,0.072
57,carp-suite-intraepoch,256,3,750000,2048,11,164,0.076
58,carp-suite-intraepoch,256,3,1000000,2048,1,168,0.051
66,carp-suite-intraepoch,256,3,1000000,2048,11,163,0.048
65,carp-suite-intraepoch,512,1,750000,2048,1,74,0.031
70,carp-suite-intraepoch,512,1,750000,2048,11,60,0.047
67,carp-suite-intraepoch,512,1,1000000,2048,1,70,0.478
60,carp-suite-intraepoch,512,1,1000000,2048,11,79,0.452
62,carp-suite-intraepoch,1024,1,750000,2048,1,84,0.044
68,carp-suite-intraepoch,1024,1,750000,2048,11,75,0.07
71,carp-suite-intraepoch,1024,1,1000000,2048,1,94,0.21
61,carp-suite-intraepoch,1024,1,1000000,2048,11,85,0.275
50,carp-suite-intraepoch-nowrite,128,6,750000,512,1,223,0.1
21,carp-suite-intraepoch-nowrite,128,6,750000,512,11,231,0.108
39,carp-suite-intraepoch-nowrite,128,6,750000,1024,1,230,0.039
14,carp-suite-intraepoch-nowrite,128,6,750000,1024,11,233,0.049
17,carp-suite-intraepoch-nowrite,128,6,750000,2048,1,224,0.062
31,carp-suite-intraepoch-nowrite,128,6,750000,2048,11,232,0.04
24,carp-suite-intraepoch-nowrite,128,6,1000000,512,1,220,0.042
52,carp-suite-intraepoch-nowrite,128,6,1000000,512,11,232,0.039
34,carp-suite-intraepoch-nowrite,128,6,1000000,1024,1,221,0.043
23,carp-suite-intraepoch-nowrite,128,6,1000000,1024,11,235,0.039
43,carp-suite-intraepoch-nowrite,128,6,1000000,2048,1,234,0.054
51,carp-suite-intraepoch-nowrite,128,6,1000000,2048,11,233,0.039
49,carp-suite-intraepoch-nowrite,256,3,750000,512,1,98,0.055
40,carp-suite-intraepoch-nowrite,256,3,750000,512,11,89,0.136
35,carp-suite-intraepoch-nowrite,256,3,750000,1024,1,124,0.043
29,carp-suite-intraepoch-nowrite,256,3,750000,1024,11,160,0.059
26,carp-suite-intraepoch-nowrite,256,3,750000,2048,1,147,0.053
18,carp-suite-intraepoch-nowrite,256,3,750000,2048,11,121,0.054
44,carp-suite-intraepoch-nowrite,256,3,1000000,512,1,137,0.067
54,carp-suite-intraepoch-nowrite,256,3,1000000,512,11,133,0.052
36,carp-suite-intraepoch-nowrite,256,3,1000000,1024,1,144,0.061
15,carp-suite-intraepoch-nowrite,256,3,1000000,1024,11,133,0.059
22,carp-suite-intraepoch-nowrite,256,3,1000000,2048,1,140,0.052
47,carp-suite-intraepoch-nowrite,256,3,1000000,2048,11,148,0.054
33,carp-suite-intraepoch-nowrite,512,1,750000,512,1,30,0.057
16,carp-suite-intraepoch-nowrite,512,1,750000,512,11,31,0.062
20,carp-suite-intraepoch-nowrite,512,1,750000,1024,1,109,0.55
41,carp-suite-intraepoch-nowrite,512,1,750000,1024,11,85,0.583
46,carp-suite-intraepoch-nowrite,512,1,750000,2048,1,98,0.585
53,carp-suite-intraepoch-nowrite,512,1,750000,2048,11,87,0.52
38,carp-suite-intraepoch-nowrite,512,1,1000000,512,1,106,0.385
32,carp-suite-intraepoch-nowrite,512,1,1000000,512,11,54,0.576
25,carp-suite-intraepoch-nowrite,512,1,1000000,1024,1,65,0.5
27,carp-suite-intraepoch-nowrite,512,1,1000000,1024,11,97,0.504
48,carp-suite-intraepoch-nowrite,512,1,1000000,2048,1,81,0.3
28,carp-suite-intraepoch-nowrite,512,1,1000000,2048,11,76,0.533
45,carp-suite-intraepoch-nowrite,1024,1,750000,512,1,20,0.099
42,carp-suite-intraepoch-nowrite,1024,1,750000,1024,1,79,0.326
30,carp-suite-intraepoch-nowrite,1024,1,750000,2048,1,85,0.345
19,carp-suite-intraepoch-nowrite,1024,1,1000000,512,1,90,0.219
37,carp-suite-intraepoch-nowrite,1024,1,1000000,1024,1,61,0.377
55,carp-suite-intraepoch-nowrite,1024,1,1000000,2048,1,75,0.375
109,carp-suite-intraepoch-skipsort,128,6,750000,512,1,230,0.069
79,carp-suite-intraepoch-skipsort,128,6,750000,512,11,265,0.073
97,carp-suite-intraepoch-skipsort,128,6,750000,1024,1,224,0.054
72,carp-suite-intraepoch-skipsort,128,6,750000,1024,11,226,0.038
75,carp-suite-intraepoch-skipsort,128,6,750000,2048,1,238,0.04
89,carp-suite-intraepoch-skipsort,128,6,750000,2048,11,247,0.04
82,carp-suite-intraepoch-skipsort,128,6,1000000,512,1,223,0.036
111,carp-suite-intraepoch-skipsort,128,6,1000000,512,11,227,0.054
92,carp-suite-intraepoch-skipsort,128,6,1000000,1024,1,230,0.039
81,carp-suite-intraepoch-skipsort,128,6,1000000,1024,11,229,0.049
101,carp-suite-intraepoch-skipsort,128,6,1000000,2048,1,233,0.038
110,carp-suite-intraepoch-skipsort,128,6,1000000,2048,11,223,0.052
108,carp-suite-intraepoch-skipsort,256,3,750000,512,1,133,0.072
98,carp-suite-intraepoch-skipsort,256,3,750000,512,11,155,0.087
93,carp-suite-intraepoch-skipsort,256,3,750000,1024,1,129,0.078
87,carp-suite-intraepoch-skipsort,256,3,750000,1024,11,137,0.047
84,carp-suite-intraepoch-skipsort,256,3,750000,2048,1,119,0.047
76,carp-suite-intraepoch-skipsort,256,3,750000,2048,11,124,0.061
103,carp-suite-intraepoch-skipsort,256,3,1000000,512,1,120,0.048
