,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,max_fin_dura,total_io_time,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
0,network-suite,1,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,0,0,24008.0,26108.0,24790.0,25553.0,23287.0,27142.0,59.236999999999995,78863.224,,,,,,,,,,,,
1,network-suite,1,1024,1,3300000,3300000,,,,,0,0,11774.0,18685.0,,,,,183.946,18869.215,,,,,,,,,,,,
2,network-suite,1,512,1,6500000,6600000,,,,,0,0,23727.0,26293.0,,,,,179.13299999999998,26472.243,,,,,,,,,,,,
3,network-suite,11,1024,1,3300000,3300000,,,,,0,0,12025.0,15205.0,,,,,193.471,15398.384,,,,,,,,,,,,
4,network-suite,1,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,0,0,32558.999999999996,35762.0,32320.0,35203.0,32336.0,35564.0,49.467999999999996,213169.765,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,32522.0,35696.0,32569.000000000004,34607.0,33448.0,36289.0
5,network-suite,11,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,0,0,32916.0,35160.0,33419.0,34988.0,32986.0,36130.0,161.312,214237.875,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,32360.999999999996,35742.0,34049.0,34904.0,32981.0,37152.0
6,network-suite,11,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,0,0,23119.0,26181.0,24257.0,26707.0,23672.0,25608.0,76.594,78572.99100000001,,,,,,,,,,,,
7,network-suite,11,512,1,6500000,6600000,,,,,0,0,24355.0,27067.0,,,,,150.49,27217.714999999997,,,,,,,,,,,,
8,dfs-reg-suite,1,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,0,0,26360.0,28667.0,25794.0,29260.0,28526.0,30059.0,58199.888,146186.28,,,,,,,,,,,,
9,dfs-reg-suite,1,1024,1,3300000,3300000,,,,,0,0,25920.0,52544.0,,,,,36205.242,88749.28,,,,,,,,,,,,
10,dfs-reg-suite,1,512,1,6500000,6600000,,,,,0,0,30233.0,38481.0,,,,,18910.648999999998,57391.724,,,,,,,,,,,,
11,dfs-reg-suite,11,1024,1,3300000,3300000,,,,,0,0,23933.0,56946.0,,,,,34487.554000000004,91433.801,,,,,,,,,,,,
12,dfs-reg-suite,1,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,0,0,35598.0,38249.0,36585.0,38351.0,35363.0,37974.0,2883.432,235970.574,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,36247.0,39033.0,35729.0,37923.0,38210.0,41557.0
13,dfs-reg-suite,11,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,0,0,35667.0,37402.0,41379.0,44062.0,35121.0,37511.0,12247.210000000001,249447.06199999998,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,35357.0,37168.0,41914.0,43276.0,36413.0,37781.0
14,dfs-reg-suite,11,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,0,0,26044.0,28582.0,25993.0,30249.0,36009.0,38799.0,43156.508,140785.965,,,,,,,,,,,,
15,dfs-reg-suite,11,512,1,6500000,6600000,,,,,0,0,31441.0,46947.0,,,,,20944.06,67890.974,,,,,,,,,,,,
16,dfs-ioonly,1,256,3,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,0,0,3784.0,22053.0,5700.0,20331.0,5402.0,48019.0,51049.651,141451.83,,,,,,,,,,,,
17,dfs-ioonly,1,1024,1,3300000,3300000,,,,,0,0,1770.0,48992.0,,,,,46870.103,95862.065,,,,,,,,,,,,
18,dfs-ioonly,1,512,1,6500000,6500000,,,,,0,0,3153.0,45155.0,,,,,10614.005000000001,55769.278,,,,,,,,,,,,
19,dfs-ioonly,11,1024,1,3300000,3300000,,,,,0,0,1664.0,45590.0,,,,,20104.388,65694.733,,,,,,,,,,,,
20,dfs-ioonly,1,128,6,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,0,0,4742.0,15449.0,5768.0,14484.0,5759.0,37579.0,20092.394,208051.853,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,5334.0,41909.0,5190.0,41419.0,5648.0,37119.0
21,dfs-ioonly,11,128,6,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,0,0,5853.0,9056.0,6043.0,10544.0,5754.0,12158.0,18558.822,124086.80200000001,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,5831.0,18351.0,5651.0,19941.0,5800.0,35477.0
22,dfs-ioonly,11,256,3,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,0,0,4948.0,20377.0,5483.0,38875.0,5081.0,38918.0,42697.333999999995,140867.888,,,,,,,,,,,,
23,dfs-ioonly,11,512,1,6500000,6500000,,,,,0,0,3554.0,47577.0,,,,,19819.137000000002,67395.772,,,,,,,,,,,,
