,runtype,nranks,epcnt,run,total_io_time,load_std
20,dfs-ioonly,128,6,1,208,0
21,dfs-ioonly,128,6,11,124,0
16,dfs-ioonly,256,3,1,141,0
22,dfs-ioonly,256,3,11,140,0
18,dfs-ioonly,512,1,1,55,0
23,dfs-ioonly,512,1,11,67,0
17,dfs-ioonly,1024,1,1,95,0
19,dfs-ioonly,1024,1,11,65,0
12,dfs-reg-suite,128,6,1,235,0
13,dfs-reg-suite,128,6,11,249,0
8,dfs-reg-suite,256,3,1,146,0
14,dfs-reg-suite,256,3,11,140,0
10,dfs-reg-suite,512,1,1,57,0
15,dfs-reg-suite,512,1,11,67,0
9,dfs-reg-suite,1024,1,1,88,0
11,dfs-reg-suite,1024,1,11,91,0
4,network-suite,128,6,1,213,0
5,network-suite,128,6,11,214,0
0,network-suite,256,3,1,78,0
6,network-suite,256,3,11,78,0
2,network-suite,512,1,1,26,0
7,network-suite,512,1,11,27,0
1,network-suite,1024,1,1,18,0
3,network-suite,1024,1,11,15,0
