,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,max_fin_dura,total_io_time
0,carp-suite-intraepoch-nowrite,11,128,6,1000000,1024,3200000,7200000,3200000.0,7200000.0,3200000.0,7200000.0,3200000.0,7200000.0,3200000.0,7200000.0,3200000.0,7200000.0,0.066,0,37481.0,37592.0,37332.0,37503.0,37640.0,37722.0,35494.0,35631.0,37380.0,37515.0,36502.0,36673.0,795.293,223431.63100000002
1,carp-suite-intraepoch-nowrite,11,1024,1,1000000,512,224500,4400000,,,,,,,,,,,0.259,0,41856.0,52302.0,,,,,,,,,,,19179.324,71481.185
2,carp-suite-intraepoch-nowrite,11,128,6,1000000,2048,3500000,7300000,3500000.0,7300000.0,3500000.0,7300000.0,3500000.0,7300000.0,3500000.0,7300000.0,3500000.0,7300000.0,0.056,0,36733.0,36875.0,37557.0,37762.0,37432.0,37539.0,37929.0,38041.0,36914.0,36997.0,36548.0,36636.0,246.56300000000002,224096.11000000002
3,carp-suite-intraepoch-nowrite,11,1024,1,750000,1024,258500,4000000,,,,,,,,,,,0.216,0,45825.0,60570.0,,,,,,,,,,,20368.118,80937.933
4,carp-suite-intraepoch-nowrite,11,1024,1,750000,512,71800,5600000,,,,,,,,,,,0.082,0,22447.0,22664.0,,,,,,,,,,,4.343999999999999,22668.130999999998
5,carp-suite-intraepoch-nowrite,11,512,1,750000,2048,189900,11300000,,,,,,,,,,,0.558,0,71070.0,73508.0,,,,,,,,,,,18305.216,91813.129
6,carp-suite-intraepoch-nowrite,11,256,3,1000000,512,6200000,9300000,6200000.0,9300000.0,6200000.0,9300000.0,,,,,,,0.053,0,32456.000000000004,32606.0,31657.0,31769.0,37364.0,37846.0,,,,,,,28056.655,130277.185
7,carp-suite-intraepoch-nowrite,11,256,3,1000000,1024,6100000,8500000,6100000.0,8500000.0,6100000.0,8500000.0,,,,,,,0.046,0,29569.0,29672.0,42697.0,42803.0,30094.0,31341.0,,,,,,,52039.31,155855.482
8,carp-suite-intraepoch-nowrite,11,128,6,750000,1024,6200000,8800000,6200000.0,8800000.0,6200000.0,8800000.0,6200000.0,8800000.0,6200000.0,8800000.0,6200000.0,8800000.0,0.048,0,38349.0,38445.0,38352.0,38477.0,39956.0,40085.0,38170.0,38388.0,40168.0,40315.0,38575.0,38715.0,294.88,234718.38700000002
9,carp-suite-intraepoch-nowrite,11,256,3,750000,2048,6200000,9500000,6200000.0,9500000.0,6200000.0,9500000.0,,,,,,,0.057,0,33510.0,33655.0,30343.0,30515.0,31693.0,31944.0,,,,,,,14391.636999999999,110505.608
