,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
0,carp-suite-intrapoch-skipsort,15,512,1,1,512,549800,7000000,0.139,0,65573.0,65758.0,16461.534,82219.232,,,,,,,,,,,,,,,,,,,,
1,carp-suite-intrapoch-skipsort,13,256,3,1,512,6000000,8700000,0.06,0,32582.0,32668.0,49017.584,165368.47499999998,6200000.0,9900000.0,5200000.0,7900000.0,32900.0,33048.0,50392.0,50635.0,,,,,,,,,,,,
2,carp-suite-intrapoch-skipsort,15,256,3,1,512,6200000,8600000,0.036,0,29980.0,30148.0,58286.871,158400.757,5700000.0,8000000.0,5600000.0,7700000.0,31566.0,31736.0,37949.0,38231.0,,,,,,,,,,,,
3,carp-suite-intrapoch-skipsort,13,512,1,1,512,577000,6900000,0.134,0,46700.0,50784.0,19830.842,70615.00700000001,,,,,,,,,,,,,,,,,,,,
4,carp-suite-intrapoch-skipsort,13,1024,1,1,512,158700,4500000,0.33,0,42384.0,54185.0,19498.033,73683.345,,,,,,,,,,,,,,,,,,,,
5,carp-suite-intrapoch-skipsort,12,128,6,1,512,3100000,7100000,0.037,0,39087.0,39178.0,1739.983,224887.318,5400000.0,7500000.0,5700000.0,7800000.0,36872.0,37025.0,36603.0,36708.0,3700000.0,7300000.0,6200000.0,8300000.0,5100000.0,7300000.0,36129.0,36242.0,36959.0,37113.0,36732.0,36882.0
6,carp-suite-intrapoch-skipsort,15,128,6,1,512,6200000,8800000,0.035,0,37075.0,37167.0,792.3480000000001,226216.72100000002,5900000.0,7600000.0,4400000.0,7300000.0,36581.0,37184.0,36062.0,36581.0,4900000.0,7500000.0,6100000.0,7700000.0,6200000.0,7800000.0,36453.0,36586.0,38898.0,38982.0,38756.0,38924.0
7,carp-suite-intrapoch-skipsort,14,256,3,1,512,6200000,9000000,0.047,0,31630.0,31764.0,27908.328,134549.397,6000000.0,8700000.0,6200000.0,8900000.0,30918.0,31092.0,43240.0,43785.0,,,,,,,,,,,,
8,carp-suite-intrapoch-skipsort,12,1024,1,1,512,220100,4500000,0.261,0,42462.0,54490.0,14726.738,69217.03700000001,,,,,,,,,,,,,,,,,,,,
9,carp-suite-intrapoch-skipsort,15,1024,1,1,512,128800,4200000,0.221,0,50514.0,54813.0,26703.552,81516.26000000001,,,,,,,,,,,,,,,,,,,,
