,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,max_fin_dura,total_io_time
0,dfs-ioonly,13,128,6,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,5997.0,7063.0,6203.0,7494.0,5892.0,21350.0,5673.0,22886.0,5871.0,27264.0,5607.0,23051.0,19099.004999999997,128207.569
1,dfs-ioonly,12,256,3,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,0,0,3631.0,39600.0,5940.0,33515.0,5003.0,38831.0,,,,,,,72382.524,184329.6
2,dfs-ioonly,15,128,6,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,6043.0,6995.0,6353.0,11872.0,5613.0,18165.0,5797.0,14789.0,5655.0,33158.0,5568.0,32835.0,18072.876,135887.147
3,dfs-ioonly,12,1024,1,3300000,3300000,,,,,,,,,,,0,0,2983.0,59298.0,,,,,,,,,,,8282.613,67580.47600000001
4,dfs-ioonly,14,256,3,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,0,0,3887.0,33355.0,5920.0,35530.0,5778.0,40876.0,,,,,,,79503.962,189264.631
5,dfs-ioonly,13,256,3,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,0,0,5111.0,23617.0,6054.0,36359.0,5321.0,64938.0,,,,,,,60051.661,184966.07
6,dfs-ioonly,14,128,6,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,5827.0,8564.0,6267.0,9216.0,6106.0,9071.0,5673.0,11610.0,5815.0,17093.0,5914.0,28146.0,34185.674,117885.674
7,dfs-ioonly,11,512,1,6500000,6500000,,,,,,,,,,,0,0,5898.0,61287.0,,,,,,,,,,,12083.726,73370.816
8,dfs-ioonly,12,512,1,6500000,6500000,,,,,,,,,,,0,0,5941.0,64864.99999999999,,,,,,,,,,,19852.463,84717.88100000001
9,dfs-ioonly,15,256,3,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,0,0,4857.0,19516.0,5457.0,23981.0,5172.0,86531.0,,,,,,,45994.693,176023.12699999998
10,dfs-ioonly,15,512,1,6500000,6500000,,,,,,,,,,,0,0,5281.0,39777.0,,,,,,,,,,,14120.005000000001,53896.99800000001
11,dfs-ioonly,11,256,3,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,0,0,3647.0,22120.0,6076.0,19801.0,4814.0,65596.0,,,,,,,18306.217,125823.318
12,dfs-ioonly,14,1024,1,3300000,3300000,,,,,,,,,,,0,0,3080.0,59551.0,,,,,,,,,,,45364.565,104915.87800000001
13,dfs-ioonly,12,128,6,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,5465.0,11006.0,6232.0,10295.0,6011.0,10826.0,5751.0,16816.0,5653.0,35975.0,5920.0,33457.0,24340.868000000002,142715.935
14,dfs-ioonly,13,1024,1,3300000,3300000,,,,,,,,,,,0,0,2847.0,46168.0,,,,,,,,,,,41694.240999999995,87861.80500000001
15,dfs-ioonly,13,512,1,6500000,6500000,,,,,,,,,,,0,0,5567.0,54834.0,,,,,,,,,,,21454.326999999997,76288.004
16,dfs-ioonly,14,512,1,6500000,6500000,,,,,,,,,,,0,0,5391.0,46419.0,,,,,,,,,,,24659.468,71078.533
17,dfs-ioonly,15,1024,1,3300000,3300000,,,,,,,,,,,0,0,3077.0,70688.0,,,,,,,,,,,3232.433,73920.129
