,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
0,dfs-ioonly,33,1024,1,3300000,3300000,0,0,2922.0,155371.0,42535.052,197906.50400000002,,,,,,,,,,,,,,,,,,,,
1,dfs-ioonly,34,512,1,6500000,6500000,0,0,4448.0,95012.0,53919.774,148932.252,,,,,,,,,,,,,,,,,,,,
2,dfs-ioonly,31,128,6,6500000,6500000,0,0,5914.0,8472.0,9043.248,89835.24900000001,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6389.0,11990.0,6325.0,11359.0,5875.0,16181.999999999998,5843.0,16855.0,5937.0,15934.0
3,dfs-ioonly,31,1024,1,3300000,3300000,0,0,1954.0,140304.0,49212.401999999995,189516.78699999998,,,,,,,,,,,,,,,,,,,,
4,dfs-ioonly,31,256,3,6500000,6500000,0,0,4404.0,13328.0,95495.793,265172.127,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,5668.0,76604.0,6891.0,79745.0,,,,,,
5,dfs-ioonly,32,512,1,6500000,6500000,0,0,5515.0,128208.0,58684.851,186892.686,,,,,,,,,,,,,,,,,,,,
6,dfs-ioonly,31,512,1,6500000,6500000,0,0,5384.0,144081.0,52794.714,196875.985,,,,,,,,,,,,,,,,,,,,
7,dfs-ioonly,34,128,6,6500000,6500000,0,0,6145.0,7046.0,8593.232,76693.01,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6404.0,7568.0,6304.0,9778.0,5805.0,15512.0,5962.0,14468.0,6071.0,13728.0
8,dfs-ioonly,32,1024,1,3300000,3300000,0,0,3007.0,134792.0,34779.716,169571.821,,,,,,,,,,,,,,,,,,,,
9,dfs-ioonly,32,256,3,6500000,6500000,0,0,4441.0,59484.0,48082.169,339628.647,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,5357.0,117493.0,6422.0,114569.0,,,,,,
10,dfs-ioonly,33,128,6,6500000,6500000,0,0,5945.0,7027.0,10463.803,54741.670999999995,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6397.0,7450.0,6445.0,7378.0,6325.0,7530.0,6343.0,7497.0,6381.0,7395.0
11,dfs-ioonly,34,256,3,6500000,6500000,0,0,5493.0,15954.0,225942.95299999998,285630.296,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,5862.0,22502.0,5946.0,21231.0,,,,,,
12,dfs-ioonly,33,512,1,6500000,6500000,0,0,4936.0,126846.0,51913.669,178760.144,,,,,,,,,,,,,,,,,,,,
13,dfs-ioonly,33,256,3,6500000,6500000,0,0,5834.0,7034.0,73753.308,286515.255,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,5713.0,34211.0,5410.0,171516.0,,,,,,
14,dfs-ioonly,34,1024,1,3300000,3300000,0,0,3083.0,140818.0,29105.16,169923.515,,,,,,,,,,,,,,,,,,,,
15,dfs-ioonly,32,128,6,6500000,6500000,0,0,5862.0,7024.0,9092.380000000001,74924.093,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6243.0,7372.0,6260.0,7531.0,6164.0,10251.0,6152.0,13759.0,6015.0,19895.0
16,network-suite,33,1024,1,3300000,3300000,0,0,12465.0,15987.0,113.96000000000001,16100.863000000001,,,,,,,,,,,,,,,,,,,,
17,network-suite,34,512,1,6500000,6600000,0,0,25007.0,27105.0,79.02499999999999,27184.017,,,,,,,,,,,,,,,,,,,,
18,network-suite,31,128,6,6500000,6600000,0,0,33075.0,36341.0,20.183,218496.69,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,32314.0,36579.0,33730.0,36964.0,32603.0,36504.0,32909.0,35877.0,34200.0,36212.0
19,network-suite,31,1024,1,3300000,3300000,0,0,12486.0,15907.0,146.687,16054.121,,,,,,,,,,,,,,,,,,,,
20,network-suite,31,256,3,6500000,6600000,0,0,24169.0,27218.0,58.741,79089.645,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,23498.0,25401.0,24116.0,26411.0,,,,,,
21,network-suite,32,512,1,6500000,6600000,0,0,23681.0,28328.0,83.21199999999999,28410.979,,,,,,,,,,,,,,,,,,,,
22,network-suite,31,512,1,6500000,6600000,0,0,24291.0,27499.0,154.39,27653.402,,,,,,,,,,,,,,,,,,,,
23,network-suite,34,128,6,6500000,6600000,0,0,31407.0,35883.0,90.732,218626.18800000002,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,32624.000000000004,36889.0,33939.0,35309.0,32509.0,36993.0,32634.0,36984.0,32904.0,36478.0
24,network-suite,32,1024,1,3300000,3300000,0,0,12183.0,19401.0,193.518,19594.595999999998,,,,,,,,,,,,,,,,,,,,
25,network-suite,32,256,3,6500000,6600000,0,0,23706.0,25144.0,152.29000000000002,76602.617,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,23597.0,25265.0,23207.0,26041.0,,,,,,
26,network-suite,33,128,6,6500000,6600000,0,0,33510.0,36093.0,101.503,215424.311,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,33559.0,35627.0,32928.0,36397.0,33661.0,36855.0,32348.0,34971.0,33039.0,35380.0
