,runtype,nranks,epcnt,run,total_io_time,load_std
2,dfs-ioonly,128,6,31,89,0
15,dfs-ioonly,128,6,32,74,0
10,dfs-ioonly,128,6,33,54,0
7,dfs-ioonly,128,6,34,76,0
4,dfs-ioonly,256,3,31,265,0
9,dfs-ioonly,256,3,32,339,0
13,dfs-ioonly,256,3,33,286,0
11,dfs-ioonly,256,3,34,285,0
6,dfs-ioonly,512,1,31,196,0
5,dfs-ioonly,512,1,32,186,0
12,dfs-ioonly,512,1,33,178,0
1,dfs-ioonly,512,1,34,148,0
3,dfs-ioonly,1024,1,31,189,0
8,dfs-ioonly,1024,1,32,169,0
0,dfs-ioonly,1024,1,33,197,0
14,dfs-ioonly,1024,1,34,169,0
34,dfs-reg-suite,128,6,31,233,0
47,dfs-reg-suite,128,6,32,234,0
42,dfs-reg-suite,128,6,33,229,0
39,dfs-reg-suite,128,6,34,233,0
36,dfs-reg-suite,256,3,31,291,0
41,dfs-reg-suite,256,3,32,276,0
45,dfs-reg-suite,256,3,33,349,0
43,dfs-reg-suite,256,3,34,340,0
38,dfs-reg-suite,512,1,31,203,0
37,dfs-reg-suite,512,1,32,166,0
44,dfs-reg-suite,512,1,33,168,0
33,dfs-reg-suite,512,1,34,115,0
35,dfs-reg-suite,1024,1,31,141,0
40,dfs-reg-suite,1024,1,32,54,0
32,dfs-reg-suite,1024,1,33,103,0
46,dfs-reg-suite,1024,1,34,180,0
18,network-suite,128,6,31,218,0
31,network-suite,128,6,32,219,0
26,network-suite,128,6,33,215,0
23,network-suite,128,6,34,218,0
20,network-suite,256,3,31,79,0
25,network-suite,256,3,32,76,0
29,network-suite,256,3,33,81,0
27,network-suite,256,3,34,79,0
22,network-suite,512,1,31,27,0
21,network-suite,512,1,32,28,0
28,network-suite,512,1,33,27,0
17,network-suite,512,1,34,27,0
19,network-suite,1024,1,31,16,0
24,network-suite,1024,1,32,19,0
16,network-suite,1024,1,33,16,0
30,network-suite,1024,1,34,15,0
