,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
166,carp-suite-interepoch,32,12,1,512,16,953,0.057
190,carp-suite-interepoch,32,12,1,512,17,984,0.039
192,carp-suite-interepoch,32,12,1,512,18,957,0.13
186,carp-suite-interepoch,32,12,1,512,19,962,0.037
180,carp-suite-interepoch,32,12,1,512,20,970,0.055
140,carp-suite-interepoch,64,12,1,512,16,635,0.036
183,carp-suite-interepoch,64,12,1,512,17,660,0.03
176,carp-suite-interepoch,64,12,1,512,18,647,0.03
147,carp-suite-interepoch,64,12,1,512,19,653,0.035
161,carp-suite-interepoch,128,6,1,512,12,228,0.041
175,carp-suite-interepoch,128,6,1,512,13,231,0.037
182,carp-suite-interepoch,128,6,1,512,14,233,0.033
167,carp-suite-interepoch,128,6,1,512,15,228,0.077
150,carp-suite-interepoch,128,6,1,512,16,237,0.037
171,carp-suite-interepoch,128,6,1,512,17,228,0.044
142,carp-suite-interepoch,128,6,1,512,18,235,0.046
154,carp-suite-interepoch,128,6,1,512,19,231,0.044
184,carp-suite-interepoch,128,6,1,512,20,232,0.033
153,carp-suite-interepoch,128,6,1,2048,11,231,0.04
185,carp-suite-interepoch,128,6,3,2048,11,227,0.05
177,carp-suite-interepoch,256,3,1,512,12,120,0.042
149,carp-suite-interepoch,256,3,1,512,13,130,0.059
169,carp-suite-interepoch,256,3,1,512,14,125,0.054
152,carp-suite-interepoch,256,3,1,512,15,119,0.061
158,carp-suite-interepoch,256,3,1,512,16,121,0.071
178,carp-suite-interepoch,256,3,1,512,17,134,0.052
163,carp-suite-interepoch,256,3,1,512,18,141,0.057
168,carp-suite-interepoch,256,3,1,512,19,131,0.035
188,carp-suite-interepoch,256,3,1,512,20,142,0.057
189,carp-suite-interepoch,256,3,1,2048,11,131,0.048
170,carp-suite-interepoch,256,3,3,2048,11,131,0.056
191,carp-suite-interepoch,512,1,1,512,12,80,0.408
156,carp-suite-interepoch,512,1,1,512,13,54,0.477
179,carp-suite-interepoch,512,1,1,512,14,70,0.422
148,carp-suite-interepoch,512,1,1,512,15,64,0.515
151,carp-suite-interepoch,512,1,1,512,16,79,0.232
159,carp-suite-interepoch,512,1,1,512,17,76,0.556
164,carp-suite-interepoch,512,1,1,512,18,68,0.515
187,carp-suite-interepoch,512,1,1,512,19,79,0.258
144,carp-suite-interepoch,512,1,1,512,20,80,0.553
160,carp-suite-interepoch,512,1,1,2048,11,79,0.29
143,carp-suite-interepoch,512,1,3,2048,11,86,0.577
173,carp-suite-interepoch,1024,1,1,512,12,74,0.347
157,carp-suite-interepoch,1024,1,1,512,13,75,0.257
181,carp-suite-interepoch,1024,1,1,512,14,79,0.276
174,carp-suite-interepoch,1024,1,1,512,15,79,0.15
172,carp-suite-interepoch,1024,1,1,512,16,82,0.323
146,carp-suite-interepoch,1024,1,1,512,17,72,0.317
155,carp-suite-interepoch,1024,1,1,512,18,87,0.349
162,carp-suite-interepoch,1024,1,1,512,19,70,0.318
145,carp-suite-interepoch,1024,1,1,512,20,81,0.318
165,carp-suite-interepoch,1024,1,1,2048,11,75,0.211
141,carp-suite-interepoch,1024,1,3,2048,11,80,0.325
219,carp-suite-interepoch-nowrite,32,12,1,512,16,922,0.028
243,carp-suite-interepoch-nowrite,32,12,1,512,17,947,0.066
245,carp-suite-interepoch-nowrite,32,12,1,512,18,940,0.03
239,carp-suite-interepoch-nowrite,32,12,1,512,19,932,0.028
233,carp-suite-interepoch-nowrite,32,12,1,512,20,951,0.271
193,carp-suite-interepoch-nowrite,64,12,1,512,16,618,0.034
236,carp-suite-interepoch-nowrite,64,12,1,512,17,625,0.03
229,carp-suite-interepoch-nowrite,64,12,1,512,18,631,0.037
200,carp-suite-interepoch-nowrite,64,12,1,512,19,613,0.03
214,carp-suite-interepoch-nowrite,128,6,1,512,12,221,0.037
228,carp-suite-interepoch-nowrite,128,6,1,512,13,218,0.035
235,carp-suite-interepoch-nowrite,128,6,1,512,14,215,0.043
220,carp-suite-interepoch-nowrite,128,6,1,512,15,218,0.05
203,carp-suite-interepoch-nowrite,128,6,1,512,16,218,0.042
224,carp-suite-interepoch-nowrite,128,6,1,512,17,218,0.048
195,carp-suite-interepoch-nowrite,128,6,1,512,18,219,0.051
207,carp-suite-interepoch-nowrite,128,6,1,512,19,214,0.035
237,carp-suite-interepoch-nowrite,128,6,1,512,20,216,0.035
206,carp-suite-interepoch-nowrite,128,6,1,2048,11,219,0.04
238,carp-suite-interepoch-nowrite,128,6,3,2048,11,225,0.045
230,carp-suite-interepoch-nowrite,256,3,1,512,12,87,0.038
202,carp-suite-interepoch-nowrite,256,3,1,512,13,82,0.042
222,carp-suite-interepoch-nowrite,256,3,1,512,14,84,0.042
205,carp-suite-interepoch-nowrite,256,3,1,512,15,90,0.055
211,carp-suite-interepoch-nowrite,256,3,1,512,16,84,0.038
231,carp-suite-interepoch-nowrite,256,3,1,512,17,84,0.042
216,carp-suite-interepoch-nowrite,256,3,1,512,18,93,0.052
221,carp-suite-interepoch-nowrite,256,3,1,512,19,87,0.072
241,carp-suite-interepoch-nowrite,256,3,1,512,20,94,0.038
242,carp-suite-interepoch-nowrite,256,3,1,2048,11,87,0.053
223,carp-suite-interepoch-nowrite,256,3,3,2048,11,127,0.055
244,carp-suite-interepoch-nowrite,512,1,1,512,12,36,0.61
209,carp-suite-interepoch-nowrite,512,1,1,512,13,33,0.514
232,carp-suite-interepoch-nowrite,512,1,1,512,14,35,0.559
201,carp-suite-interepoch-nowrite,512,1,1,512,15,31,0.433
204,carp-suite-interepoch-nowrite,512,1,1,512,16,35,0.593
212,carp-suite-interepoch-nowrite,512,1,1,512,17,40,0.581
217,carp-suite-interepoch-nowrite,512,1,1,512,18,32,0.507
240,carp-suite-interepoch-nowrite,512,1,1,512,19,30,0.348
197,carp-suite-interepoch-nowrite,512,1,1,512,20,30,0.371
213,carp-suite-interepoch-nowrite,512,1,1,2048,11,33,0.541
196,carp-suite-interepoch-nowrite,512,1,3,2048,11,79,0.513
226,carp-suite-interepoch-nowrite,1024,1,1,512,12,18,0.335
210,carp-suite-interepoch-nowrite,1024,1,1,512,13,19,0.136
234,carp-suite-interepoch-nowrite,1024,1,1,512,14,17,0.239
227,carp-suite-interepoch-nowrite,1024,1,1,512,15,18,0.404
225,carp-suite-interepoch-nowrite,1024,1,1,512,16,18,0.286
199,carp-suite-interepoch-nowrite,1024,1,1,512,17,17,0.293
208,carp-suite-interepoch-nowrite,1024,1,1,512,18,18,0.314
215,carp-suite-interepoch-nowrite,1024,1,1,512,19,17,0.261
198,carp-suite-interepoch-nowrite,1024,1,1,512,20,19,0.205
218,carp-suite-interepoch-nowrite,1024,1,1,2048,11,18,0.328
194,carp-suite-interepoch-nowrite,1024,1,3,2048,11,80,0.341
54,carp-suite-intraepoch-nowrite,32,12,750000,512,16,947,0.061
73,carp-suite-intraepoch-nowrite,32,12,750000,512,17,941,0.059
70,carp-suite-intraepoch-nowrite,32,12,750000,512,18,929,0.061
76,carp-suite-intraepoch-nowrite,32,12,750000,512,19,942,0.05
109,carp-suite-intraepoch-nowrite,32,12,750000,512,20,915,0.051
110,carp-suite-intraepoch-nowrite,64,12,750000,512,16,632,0.112
50,carp-suite-intraepoch-nowrite,64,12,750000,512,17,619,0.081
100,carp-suite-intraepoch-nowrite,64,12,750000,512,18,617,0.073
64,carp-suite-intraepoch-nowrite,64,12,750000,512,19,623,0.068
87,carp-suite-intraepoch-nowrite,64,12,750000,512,20,640,0.102
92,carp-suite-intraepoch-nowrite,128,6,750000,512,11,235,0.115
57,carp-suite-intraepoch-nowrite,128,6,750000,512,12,226,0.072
115,carp-suite-intraepoch-nowrite,128,6,750000,512,13,227,0.077
81,carp-suite-intraepoch-nowrite,128,6,750000,512,14,237,0.107
93,carp-suite-intraepoch-nowrite,128,6,750000,512,15,232,0.087
56,carp-suite-intraepoch-nowrite,128,6,750000,512,16,234,0.077
85,carp-suite-intraepoch-nowrite,128,6,750000,512,17,230,0.076
66,carp-suite-intraepoch-nowrite,128,6,750000,512,18,231,0.079
84,carp-suite-intraepoch-nowrite,128,6,750000,512,19,234,0.072
107,carp-suite-intraepoch-nowrite,128,6,750000,512,20,228,0.101
71,carp-suite-intraepoch-nowrite,128,6,750000,1024,11,234,0.048
108,carp-suite-intraepoch-nowrite,128,6,750000,2048,11,225,0.052
79,carp-suite-intraepoch-nowrite,128,6,1000000,512,11,223,0.038
52,carp-suite-intraepoch-nowrite,128,6,1000000,1024,11,223,0.066
60,carp-suite-intraepoch-nowrite,128,6,1000000,2048,11,224,0.056
106,carp-suite-intraepoch-nowrite,256,3,750000,512,11,106,0.071
86,carp-suite-intraepoch-nowrite,256,3,750000,512,12,100,0.076
103,carp-suite-intraepoch-nowrite,256,3,750000,512,13,100,0.085
