,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
0,dfs-ioonly,18,1024,1,3300000,3300000,0,0,3010.0,63618.0,46480.149,110097.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,dfs-ioonly,13,128,6,6500000,6500000,0,0,5997.0,7063.0,19099.004999999997,128207.569,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6203.0,7494.0,5892.0,21350.0,5673.0,22886.0,5871.0,27264.0,5607.0,23051.0,,,,,,,,,,,,,,,,,,,,,,
2,dfs-ioonly,20,64,12,6500000,6500000,0,0,,,8897.56,116749.069,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6338.0,7626.0,6209.0,7372.0,6122.0,7520.0,6142.0,7403.0,6032.0,9778.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6076.0,11183.0,6226.0,9354.0,5701.0,11777.0,6315.0,9459.0,6203.0,9651.0,6178.0,9682.0
3,dfs-ioonly,12,256,3,6500000,6500000,0,0,3631.0,39600.0,72382.524,184329.6,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,5940.0,33515.0,5003.0,38831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,dfs-ioonly,15,128,6,6500000,6500000,0,0,6043.0,6995.0,18072.876,135887.147,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6353.0,11872.0,5613.0,18165.0,5797.0,14789.0,5655.0,33158.0,5568.0,32835.0,,,,,,,,,,,,,,,,,,,,,,
5,dfs-ioonly,12,1024,1,3300000,3300000,0,0,2983.0,59298.0,8282.613,67580.47600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,dfs-ioonly,14,256,3,6500000,6500000,0,0,3887.0,33355.0,79503.962,189264.631,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,5920.0,35530.0,5778.0,40876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,dfs-ioonly,19,256,3,6500000,6500000,0,0,5567.0,17101.0,53417.012,199032.949,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,6189.0,23859.0,5654.0,104656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,dfs-ioonly,13,256,3,6500000,6500000,0,0,5111.0,23617.0,60051.661,184966.07,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,6054.0,36359.0,5321.0,64938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,dfs-ioonly,14,128,6,6500000,6500000,0,0,5827.0,8564.0,34185.674,117885.674,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6267.0,9216.0,6106.0,9071.0,5673.0,11610.0,5815.0,17093.0,5914.0,28146.0,,,,,,,,,,,,,,,,,,,,,,
10,dfs-ioonly,11,512,1,6500000,6500000,0,0,5898.0,61287.0,12083.726,73370.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,dfs-ioonly,17,128,6,6500000,6500000,0,0,5938.0,7008.0,17761.54,175890.245,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6173.0,14735.0,5466.0,21436.0,5779.0,34992.0,5722.0,36361.0,6343.0,43597.0,,,,,,,,,,,,,,,,,,,,,,
12,dfs-ioonly,12,512,1,6500000,6500000,0,0,5941.0,64864.99999999999,19852.463,84717.88100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
