,runtype,nranks,epcnt,run,total_io_time,load_std
28,dfs-ioonly,32,12,16,88,0
33,dfs-ioonly,32,12,17,87,0
45,dfs-ioonly,32,12,18,87,0
23,dfs-ioonly,32,12,19,86,0
66,dfs-ioonly,32,12,20,88,0
64,dfs-ioonly,32,12,41,88,0
10,dfs-ioonly,32,12,42,87,0
16,dfs-ioonly,32,12,43,87,0
1,dfs-ioonly,32,12,44,88,0
26,dfs-ioonly,32,12,45,86,0
73,dfs-ioonly,64,12,16,198,0
65,dfs-ioonly,64,12,17,143,0
43,dfs-ioonly,64,12,18,111,0
41,dfs-ioonly,64,12,19,132,0
6,dfs-ioonly,64,12,20,116,0
31,dfs-ioonly,64,12,41,136,0
5,dfs-ioonly,64,12,42,96,0
25,dfs-ioonly,64,12,43,115,0
8,dfs-ioonly,64,12,44,95,0
75,dfs-ioonly,64,12,45,94,0
76,dfs-ioonly,128,6,11,186,0
52,dfs-ioonly,128,6,12,142,0
2,dfs-ioonly,128,6,13,128,0
17,dfs-ioonly,128,6,14,117,0
9,dfs-ioonly,128,6,15,135,0
22,dfs-ioonly,128,6,16,145,0
19,dfs-ioonly,128,6,17,175,0
63,dfs-ioonly,128,6,18,185,0
71,dfs-ioonly,128,6,19,202,0
39,dfs-ioonly,128,6,20,135,0
38,dfs-ioonly,128,6,41,91,0
20,dfs-ioonly,128,6,42,119,0
36,dfs-ioonly,128,6,43,166,0
44,dfs-ioonly,128,6,44,166,0
3,dfs-ioonly,128,6,45,173,0
37,dfs-ioonly,256,3,11,125,0
7,dfs-ioonly,256,3,12,184,0
14,dfs-ioonly,256,3,13,184,0
12,dfs-ioonly,256,3,14,189,0
32,dfs-ioonly,256,3,15,176,0
62,dfs-ioonly,256,3,16,138,0
70,dfs-ioonly,256,3,17,187,0
72,dfs-ioonly,256,3,18,177,0
13,dfs-ioonly,256,3,19,199,0
59,dfs-ioonly,256,3,20,173,0
27,dfs-ioonly,256,3,41,99,0
30,dfs-ioonly,256,3,42,86,0
4,dfs-ioonly,256,3,43,174,0
42,dfs-ioonly,256,3,44,164,0
49,dfs-ioonly,256,3,45,153,0
18,dfs-ioonly,512,1,11,73,0
21,dfs-ioonly,512,1,12,84,0
57,dfs-ioonly,512,1,13,76,0
58,dfs-ioonly,512,1,14,71,0
35,dfs-ioonly,512,1,15,53,0
69,dfs-ioonly,512,1,16,74,0
77,dfs-ioonly,512,1,17,63,0
51,dfs-ioonly,512,1,18,90,0
78,dfs-ioonly,512,1,19,69,0
29,dfs-ioonly,512,1,20,78,0
34,dfs-ioonly,512,1,41,52,0
55,dfs-ioonly,512,1,42,54,0
56,dfs-ioonly,512,1,43,81,0
15,dfs-ioonly,512,1,44,70,0
47,dfs-ioonly,512,1,45,53,0
79,dfs-ioonly,1024,1,11,70,0
11,dfs-ioonly,1024,1,12,67,0
54,dfs-ioonly,1024,1,13,87,0
40,dfs-ioonly,1024,1,14,104,0
67,dfs-ioonly,1024,1,15,73,0
46,dfs-ioonly,1024,1,16,93,0
50,dfs-ioonly,1024,1,17,89,0
0,dfs-ioonly,1024,1,18,110,0
53,dfs-ioonly,1024,1,19,88,0
48,dfs-ioonly,1024,1,20,98,0
68,dfs-ioonly,1024,1,41,51,0
24,dfs-ioonly,1024,1,42,82,0
60,dfs-ioonly,1024,1,43,69,0
61,dfs-ioonly,1024,1,44,82,0
74,dfs-ioonly,1024,1,45,81,0
158,dfs-reg-suite,32,12,16,944,0
163,dfs-reg-suite,32,12,17,973,0
175,dfs-reg-suite,32,12,18,979,0
153,dfs-reg-suite,32,12,19,951,0
196,dfs-reg-suite,32,12,20,956,0
194,dfs-reg-suite,32,12,41,934,0
140,dfs-reg-suite,32,12,42,962,0
146,dfs-reg-suite,32,12,43,936,0
131,dfs-reg-suite,32,12,44,967,0
156,dfs-reg-suite,32,12,45,953,0
203,dfs-reg-suite,64,12,16,631,0
195,dfs-reg-suite,64,12,17,641,0
173,dfs-reg-suite,64,12,18,634,0
171,dfs-reg-suite,64,12,19,636,0
136,dfs-reg-suite,64,12,20,638,0
161,dfs-reg-suite,64,12,41,629,0
135,dfs-reg-suite,64,12,42,633,0
155,dfs-reg-suite,64,12,43,644,0
138,dfs-reg-suite,64,12,44,642,0
205,dfs-reg-suite,64,12,45,645,0
206,dfs-reg-suite,128,6,11,234,0
182,dfs-reg-suite,128,6,12,233,0
132,dfs-reg-suite,128,6,13,268,0
147,dfs-reg-suite,128,6,14,256,0
139,dfs-reg-suite,128,6,15,233,0
152,dfs-reg-suite,128,6,16,242,0
149,dfs-reg-suite,128,6,17,239,0
193,dfs-reg-suite,128,6,18,230,0
201,dfs-reg-suite,128,6,19,239,0
169,dfs-reg-suite,128,6,20,236,0
168,dfs-reg-suite,128,6,41,229,0
150,dfs-reg-suite,128,6,42,234,0
166,dfs-reg-suite,128,6,43,256,0
174,dfs-reg-suite,128,6,44,240,0
133,dfs-reg-suite,128,6,45,249,0
167,dfs-reg-suite,256,3,11,141,0
137,dfs-reg-suite,256,3,12,127,0
144,dfs-reg-suite,256,3,13,126,0
142,dfs-reg-suite,256,3,14,151,0
162,dfs-reg-suite,256,3,15,131,0
192,dfs-reg-suite,256,3,16,139,0
200,dfs-reg-suite,256,3,17,138,0
202,dfs-reg-suite,256,3,18,149,0
143,dfs-reg-suite,256,3,19,145,0
189,dfs-reg-suite,256,3,20,136,0
157,dfs-reg-suite,256,3,41,128,0
160,dfs-reg-suite,256,3,42,103,0
134,dfs-reg-suite,256,3,43,127,0
172,dfs-reg-suite,256,3,44,134,0
179,dfs-reg-suite,256,3,45,128,0
148,dfs-reg-suite,512,1,11,102,0
151,dfs-reg-suite,512,1,12,75,0
187,dfs-reg-suite,512,1,13,61,0
188,dfs-reg-suite,512,1,14,51,0
165,dfs-reg-suite,512,1,15,97,0
199,dfs-reg-suite,512,1,16,77,0
207,dfs-reg-suite,512,1,17,66,0
181,dfs-reg-suite,512,1,18,70,0
208,dfs-reg-suite,512,1,19,82,0
159,dfs-reg-suite,512,1,20,70,0
164,dfs-reg-suite,512,1,41,58,0
185,dfs-reg-suite,512,1,42,74,0
186,dfs-reg-suite,512,1,43,60,0
145,dfs-reg-suite,512,1,44,91,0
177,dfs-reg-suite,512,1,45,75,0
209,dfs-reg-suite,1024,1,11,79,0
141,dfs-reg-suite,1024,1,12,99,0
184,dfs-reg-suite,1024,1,13,75,0
170,dfs-reg-suite,1024,1,14,94,0
197,dfs-reg-suite,1024,1,15,74,0
176,dfs-reg-suite,1024,1,16,56,0
180,dfs-reg-suite,1024,1,17,75,0
130,dfs-reg-suite,1024,1,18,75,0
183,dfs-reg-suite,1024,1,19,66,0
178,dfs-reg-suite,1024,1,20,93,0
198,dfs-reg-suite,1024,1,41,56,0
154,dfs-reg-suite,1024,1,42,68,0
190,dfs-reg-suite,1024,1,43,62,0
191,dfs-reg-suite,1024,1,44,71,0
204,dfs-reg-suite,1024,1,45,77,0
95,network-suite,32,12,16,934,0
98,network-suite,32,12,17,932,0
105,network-suite,32,12,18,922,0
94,network-suite,32,12,19,927,0
119,network-suite,32,12,20,931,0
125,network-suite,64,12,16,613,0
118,network-suite,64,12,17,610,0
104,network-suite,64,12,18,607,0
103,network-suite,64,12,19,615,0
82,network-suite,64,12,20,616,0
126,network-suite,128,6,11,214,0
110,network-suite,128,6,12,218,0
81,network-suite,128,6,13,213,0
89,network-suite,128,6,14,212,0
84,network-suite,128,6,15,212,0
93,network-suite,128,6,16,213,0
91,network-suite,128,6,17,214,0
117,network-suite,128,6,18,216,0
123,network-suite,128,6,19,212,0
101,network-suite,128,6,20,213,0
100,network-suite,256,3,11,77,0
83,network-suite,256,3,12,79,0
88,network-suite,256,3,13,82,0
86,network-suite,256,3,14,79,0
97,network-suite,256,3,15,78,0
116,network-suite,256,3,16,80,0
122,network-suite,256,3,17,79,0
124,network-suite,256,3,18,83,0
87,network-suite,256,3,19,77,0
115,network-suite,256,3,20,78,0
90,network-suite,512,1,11,27,0
92,network-suite,512,1,12,26,0
113,network-suite,512,1,13,28,0
114,network-suite,512,1,14,27,0
99,network-suite,512,1,15,27,0
121,network-suite,512,1,16,27,0
127,network-suite,512,1,17,27,0
109,network-suite,512,1,18,27,0
128,network-suite,512,1,19,27,0
96,network-suite,512,1,20,26,0
129,network-suite,1024,1,11,18,0
85,network-suite,1024,1,12,15,0
112,network-suite,1024,1,13,14,0
102,network-suite,1024,1,14,16,0
120,network-suite,1024,1,15,19,0
106,network-suite,1024,1,16,16,0
108,network-suite,1024,1,17,20,0
80,network-suite,1024,1,18,17,0
111,network-suite,1024,1,19,26,0
107,network-suite,1024,1,20,17,0
