,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
296,carp-suite-interepoch,32,12,1,512,16,953,0.057
338,carp-suite-interepoch,32,12,1,512,17,984,0.039
342,carp-suite-interepoch,32,12,1,512,18,957,0.13
333,carp-suite-interepoch,32,12,1,512,19,962,0.037
322,carp-suite-interepoch,32,12,1,512,20,970,0.055
303,carp-suite-interepoch,32,12,1,512,41,959,0.06
305,carp-suite-interepoch,32,12,1,512,42,986,0.031
282,carp-suite-interepoch,32,12,1,512,43,965,0.044
336,carp-suite-interepoch,32,12,1,512,44,949,0.054
261,carp-suite-interepoch,32,12,1,512,45,971,0.029
260,carp-suite-interepoch,64,12,1,512,16,635,0.036
326,carp-suite-interepoch,64,12,1,512,17,660,0.03
317,carp-suite-interepoch,64,12,1,512,18,647,0.03
272,carp-suite-interepoch,64,12,1,512,19,653,0.035
320,carp-suite-interepoch,64,12,1,512,41,637,0.034
330,carp-suite-interepoch,64,12,1,512,42,644,0.042
273,carp-suite-interepoch,64,12,1,512,43,641,0.032
298,carp-suite-interepoch,64,12,1,512,44,639,0.042
284,carp-suite-interepoch,64,12,1,512,45,638,0.037
290,carp-suite-interepoch,128,6,1,512,12,228,0.041
315,carp-suite-interepoch,128,6,1,512,13,231,0.037
325,carp-suite-interepoch,128,6,1,512,14,233,0.033
297,carp-suite-interepoch,128,6,1,512,15,228,0.077
276,carp-suite-interepoch,128,6,1,512,16,237,0.037
309,carp-suite-interepoch,128,6,1,512,17,228,0.044
264,carp-suite-interepoch,128,6,1,512,18,235,0.046
280,carp-suite-interepoch,128,6,1,512,19,231,0.044
329,carp-suite-interepoch,128,6,1,512,20,232,0.033
306,carp-suite-interepoch,128,6,1,512,41,228,0.036
271,carp-suite-interepoch,128,6,1,512,42,226,0.032
262,carp-suite-interepoch,128,6,1,512,43,230,0.037
324,carp-suite-interepoch,128,6,1,512,44,239,0.037
291,carp-suite-interepoch,128,6,1,512,45,229,0.05
279,carp-suite-interepoch,128,6,1,2048,11,231,0.04
332,carp-suite-interepoch,128,6,3,2048,11,227,0.05
318,carp-suite-interepoch,256,3,1,512,12,120,0.042
275,carp-suite-interepoch,256,3,1,512,13,130,0.059
300,carp-suite-interepoch,256,3,1,512,14,125,0.054
278,carp-suite-interepoch,256,3,1,512,15,119,0.061
286,carp-suite-interepoch,256,3,1,512,16,121,0.071
319,carp-suite-interepoch,256,3,1,512,17,134,0.052
293,carp-suite-interepoch,256,3,1,512,18,141,0.057
299,carp-suite-interepoch,256,3,1,512,19,131,0.035
335,carp-suite-interepoch,256,3,1,512,20,142,0.057
308,carp-suite-interepoch,256,3,1,512,41,110,0.059
270,carp-suite-interepoch,256,3,1,512,42,122,0.068
327,carp-suite-interepoch,256,3,1,512,43,149,0.07
311,carp-suite-interepoch,256,3,1,512,44,137,0.044
316,carp-suite-interepoch,256,3,1,512,45,124,0.054
337,carp-suite-interepoch,256,3,1,2048,11,131,0.048
304,carp-suite-interepoch,256,3,3,2048,11,131,0.056
339,carp-suite-interepoch,512,1,1,512,12,80,0.408
283,carp-suite-interepoch,512,1,1,512,13,54,0.477
321,carp-suite-interepoch,512,1,1,512,14,70,0.422
274,carp-suite-interepoch,512,1,1,512,15,64,0.515
277,carp-suite-interepoch,512,1,1,512,16,79,0.232
287,carp-suite-interepoch,512,1,1,512,17,76,0.556
294,carp-suite-interepoch,512,1,1,512,18,68,0.515
334,carp-suite-interepoch,512,1,1,512,19,79,0.258
266,carp-suite-interepoch,512,1,1,512,20,80,0.553
314,carp-suite-interepoch,512,1,1,512,41,58,0.468
331,carp-suite-interepoch,512,1,1,512,42,96,0.488
289,carp-suite-interepoch,512,1,1,512,43,68,0.53
268,carp-suite-interepoch,512,1,1,512,44,75,0.553
328,carp-suite-interepoch,512,1,1,512,45,67,0.484
288,carp-suite-interepoch,512,1,1,2048,11,79,0.29
265,carp-suite-interepoch,512,1,3,2048,11,86,0.577
312,carp-suite-interepoch,1024,1,1,512,12,74,0.347
285,carp-suite-interepoch,1024,1,1,512,13,75,0.257
323,carp-suite-interepoch,1024,1,1,512,14,79,0.276
313,carp-suite-interepoch,1024,1,1,512,15,79,0.15
310,carp-suite-interepoch,1024,1,1,512,16,82,0.323
269,carp-suite-interepoch,1024,1,1,512,17,72,0.317
281,carp-suite-interepoch,1024,1,1,512,18,87,0.349
292,carp-suite-interepoch,1024,1,1,512,19,70,0.318
267,carp-suite-interepoch,1024,1,1,512,20,81,0.318
341,carp-suite-interepoch,1024,1,1,512,41,56,0.239
340,carp-suite-interepoch,1024,1,1,512,42,58,0.34
307,carp-suite-interepoch,1024,1,1,512,43,88,0.297
302,carp-suite-interepoch,1024,1,1,512,44,57,0.388
301,carp-suite-interepoch,1024,1,1,512,45,83,0.228
295,carp-suite-interepoch,1024,1,1,2048,11,75,0.211
263,carp-suite-interepoch,1024,1,3,2048,11,80,0.325
369,carp-suite-interepoch-nowrite,32,12,1,512,16,922,0.028
393,carp-suite-interepoch-nowrite,32,12,1,512,17,947,0.066
395,carp-suite-interepoch-nowrite,32,12,1,512,18,940,0.03
389,carp-suite-interepoch-nowrite,32,12,1,512,19,932,0.028
383,carp-suite-interepoch-nowrite,32,12,1,512,20,951,0.271
343,carp-suite-interepoch-nowrite,64,12,1,512,16,618,0.034
386,carp-suite-interepoch-nowrite,64,12,1,512,17,625,0.03
379,carp-suite-interepoch-nowrite,64,12,1,512,18,631,0.037
350,carp-suite-interepoch-nowrite,64,12,1,512,19,613,0.03
364,carp-suite-interepoch-nowrite,128,6,1,512,12,221,0.037
378,carp-suite-interepoch-nowrite,128,6,1,512,13,218,0.035
385,carp-suite-interepoch-nowrite,128,6,1,512,14,215,0.043
370,carp-suite-interepoch-nowrite,128,6,1,512,15,218,0.05
353,carp-suite-interepoch-nowrite,128,6,1,512,16,218,0.042
374,carp-suite-interepoch-nowrite,128,6,1,512,17,218,0.048
345,carp-suite-interepoch-nowrite,128,6,1,512,18,219,0.051
357,carp-suite-interepoch-nowrite,128,6,1,512,19,214,0.035
387,carp-suite-interepoch-nowrite,128,6,1,512,20,216,0.035
356,carp-suite-interepoch-nowrite,128,6,1,2048,11,219,0.04
