,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
0,carp-suite-intraepoch-skipsort,42,512,1,750000,2048,5400000,9600000,0.06,0,36880.0,40936.0,26453.423000000003,67389.04100000001,,,,,,,,,,,,,,,,,,,,
1,carp-suite-intraepoch-skipsort,41,512,1,250000,64,9400,12400000,0.143,0,65522.99999999999,65741.0,18372.172,84113.118,,,,,,,,,,,,,,,,,,,,
2,carp-suite-intraepoch-skipsort,43,512,1,1000000,1024,4200000,9700000,0.067,0,36805.0,43584.0,24217.939000000002,67802.252,,,,,,,,,,,,,,,,,,,,
3,carp-suite-intraepoch-skipsort,45,512,1,500000,512,1500000,11100000,0.061,0,39890.0,41199.0,9415.731,50614.389,,,,,,,,,,,,,,,,,,,,
4,carp-suite-intraepoch-skipsort,42,512,1,750000,256,124300,9700000,0.072,0,45744.0,45951.0,12616.041,58566.845,,,,,,,,,,,,,,,,,,,,
5,carp-suite-intraepoch-skipsort,11,128,6,1000000,1024,4300000,7200000,0.043,0,38023.0,38130.0,266.40500000000003,225265.549,4300000.0,7200000.0,4300000.0,7200000.0,4300000.0,7200000.0,4300000.0,7200000.0,4300000.0,7200000.0,36136.0,36286.0,37100.0,37209.0,36442.0,36592.0,37171.0,37263.0,39293.0,39518.0
6,carp-suite-intraepoch-skipsort,43,512,1,750000,256,54100,11000000,0.081,0,37983.0,42209.0,15719.333,57927.89599999999,,,,,,,,,,,,,,,,,,,,
7,carp-suite-intraepoch-skipsort,44,512,1,3000000,256,166900,8400000,0.105,0,56491.0,56624.0,10053.978000000001,66678.00099999999,,,,,,,,,,,,,,,,,,,,
8,carp-suite-intraepoch-skipsort,43,512,1,500000,512,1600000,9200000,0.042,0,41706.0,51349.0,23115.650999999998,74464.688,,,,,,,,,,,,,,,,,,,,
9,carp-suite-intraepoch-skipsort,42,512,1,1000000,512,2000000,10500000,0.061,0,36051.0,40636.0,8834.885,49470.721,,,,,,,,,,,,,,,,,,,,
10,carp-suite-intraepoch-skipsort,44,512,1,500000,2048,4000000,7900000,0.033,0,55684.0,55833.0,11828.121,67661.119,,,,,,,,,,,,,,,,,,,,
11,carp-suite-intraepoch-skipsort,41,512,1,500000,2048,4800000,7800000,0.026,0,52791.0,53002.0,14818.153,67820.639,,,,,,,,,,,,,,,,,,,,
12,carp-suite-intraepoch-skipsort,11,1024,1,1000000,512,187300,4300000,0.228,0,41480.0,42649.0,13167.952,55817.182,,,,,,,,,,,,,,,,,,,,
