,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
121,carp-suite-intraepoch-skipsort,128,6,750000,512,11,243,0.056
70,carp-suite-intraepoch-skipsort,128,6,750000,1024,11,223,0.042
152,carp-suite-intraepoch-skipsort,128,6,750000,2048,11,232,0.041
87,carp-suite-intraepoch-skipsort,128,6,1000000,512,11,222,0.044
5,carp-suite-intraepoch-skipsort,128,6,1000000,1024,11,225,0.043
26,carp-suite-intraepoch-skipsort,128,6,1000000,2048,11,240,0.045
148,carp-suite-intraepoch-skipsort,256,3,750000,512,11,155,0.095
88,carp-suite-intraepoch-skipsort,256,3,750000,1024,11,145,0.066
75,carp-suite-intraepoch-skipsort,256,3,750000,2048,11,121,0.043
54,carp-suite-intraepoch-skipsort,256,3,1000000,512,11,149,0.066
55,carp-suite-intraepoch-skipsort,256,3,1000000,1024,11,145,0.074
84,carp-suite-intraepoch-skipsort,256,3,1000000,2048,11,158,0.045
1,carp-suite-intraepoch-skipsort,512,1,250000,64,41,84,0.143
133,carp-suite-intraepoch-skipsort,512,1,250000,64,42,71,0.148
80,carp-suite-intraepoch-skipsort,512,1,250000,64,43,68,0.137
68,carp-suite-intraepoch-skipsort,512,1,250000,64,44,68,0.138
15,carp-suite-intraepoch-skipsort,512,1,250000,64,45,67,0.135
43,carp-suite-intraepoch-skipsort,512,1,250000,128,41,74,0.103
97,carp-suite-intraepoch-skipsort,512,1,250000,128,42,56,0.088
50,carp-suite-intraepoch-skipsort,512,1,250000,128,43,68,0.095
64,carp-suite-intraepoch-skipsort,512,1,250000,128,44,67,0.087
167,carp-suite-intraepoch-skipsort,512,1,250000,128,45,68,0.087
105,carp-suite-intraepoch-skipsort,512,1,250000,256,41,62,0.068
57,carp-suite-intraepoch-skipsort,512,1,250000,256,42,75,0.057
115,carp-suite-intraepoch-skipsort,512,1,250000,256,43,77,0.065
71,carp-suite-intraepoch-skipsort,512,1,250000,256,44,75,0.07
101,carp-suite-intraepoch-skipsort,512,1,250000,256,45,49,0.058
104,carp-suite-intraepoch-skipsort,512,1,250000,512,41,65,0.037
137,carp-suite-intraepoch-skipsort,512,1,250000,512,42,65,0.037
18,carp-suite-intraepoch-skipsort,512,1,250000,512,43,78,0.04
76,carp-suite-intraepoch-skipsort,512,1,250000,512,44,67,0.037
53,carp-suite-intraepoch-skipsort,512,1,250000,512,45,69,0.041
78,carp-suite-intraepoch-skipsort,512,1,250000,1024,41,72,0.043
117,carp-suite-intraepoch-skipsort,512,1,250000,1024,42,70,0.03
147,carp-suite-intraepoch-skipsort,512,1,250000,1024,43,58,0.035
27,carp-suite-intraepoch-skipsort,512,1,250000,1024,44,70,0.029
86,carp-suite-intraepoch-skipsort,512,1,250000,1024,45,66,0.023
