,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
0,carp-suite-interpoch-skipsort,43,512,1,2,1024,174700,12800000,0.634,0,67565.0,70541.0,25619.661,96160.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,carp-suite-interpoch-skipsort,44,512,1,1,512,220200,10500000,0.504,0,54060.0,60705.0,23041.622,83747.10500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,carp-suite-interpoch-skipsort,45,512,1,1,2048,214900,10000000,0.474,0,56278.0,56495.0,40382.457,96877.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,carp-suite-interpoch-skipsort,44,512,1,1,1024,218400,10300000,0.5,0,58026.0,67743.0,8891.721,76634.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,carp-suite-interpoch-skipsort,45,512,1,2,512,214500,11100000,0.526,0,53560.0,58210.0,13675.052000000001,71884.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,carp-suite-interpoch-skipsort,43,512,1,1,2048,186000,11300000,0.557,0,59178.0,61607.0,51261.166000000005,112868.07500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,carp-suite-interpoch-skipsort,45,512,1,1,1024,215600,11200000,0.554,0,51119.0,51931.0,17093.548,69024.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,carp-suite-interpoch-skipsort,41,512,1,2,1024,200800,11200000,0.546,0,47363.0,49425.0,15747.962,65172.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,carp-suite-interpoch-skipsort,41,512,1,3,1024,214900,10800000,0.531,0,60065.0,67792.0,6912.711,74704.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,carp-suite-interpoch-skipsort,45,512,1,2,1024,204000,11000000,0.537,0,54016.0,54221.0,26914.104,81134.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
