,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
456,carp-suite-interepoch,32,12,1,512,16,953,0.057
498,carp-suite-interepoch,32,12,1,512,17,984,0.039
502,carp-suite-interepoch,32,12,1,512,18,957,0.13
493,carp-suite-interepoch,32,12,1,512,19,962,0.037
482,carp-suite-interepoch,32,12,1,512,20,970,0.055
463,carp-suite-interepoch,32,12,1,512,41,959,0.06
465,carp-suite-interepoch,32,12,1,512,42,986,0.031
442,carp-suite-interepoch,32,12,1,512,43,965,0.044
496,carp-suite-interepoch,32,12,1,512,44,949,0.054
421,carp-suite-interepoch,32,12,1,512,45,971,0.029
420,carp-suite-interepoch,64,12,1,512,16,635,0.036
486,carp-suite-interepoch,64,12,1,512,17,660,0.03
477,carp-suite-interepoch,64,12,1,512,18,647,0.03
432,carp-suite-interepoch,64,12,1,512,19,653,0.035
480,carp-suite-interepoch,64,12,1,512,41,637,0.034
490,carp-suite-interepoch,64,12,1,512,42,644,0.042
433,carp-suite-interepoch,64,12,1,512,43,641,0.032
458,carp-suite-interepoch,64,12,1,512,44,639,0.042
444,carp-suite-interepoch,64,12,1,512,45,638,0.037
450,carp-suite-interepoch,128,6,1,512,12,228,0.041
475,carp-suite-interepoch,128,6,1,512,13,231,0.037
485,carp-suite-interepoch,128,6,1,512,14,233,0.033
457,carp-suite-interepoch,128,6,1,512,15,228,0.077
436,carp-suite-interepoch,128,6,1,512,16,237,0.037
469,carp-suite-interepoch,128,6,1,512,17,228,0.044
424,carp-suite-interepoch,128,6,1,512,18,235,0.046
440,carp-suite-interepoch,128,6,1,512,19,231,0.044
489,carp-suite-interepoch,128,6,1,512,20,232,0.033
466,carp-suite-interepoch,128,6,1,512,41,228,0.036
431,carp-suite-interepoch,128,6,1,512,42,226,0.032
422,carp-suite-interepoch,128,6,1,512,43,230,0.037
484,carp-suite-interepoch,128,6,1,512,44,239,0.037
451,carp-suite-interepoch,128,6,1,512,45,229,0.05
439,carp-suite-interepoch,128,6,1,2048,11,231,0.04
492,carp-suite-interepoch,128,6,3,2048,11,227,0.05
478,carp-suite-interepoch,256,3,1,512,12,120,0.042
435,carp-suite-interepoch,256,3,1,512,13,130,0.059
460,carp-suite-interepoch,256,3,1,512,14,125,0.054
438,carp-suite-interepoch,256,3,1,512,15,119,0.061
446,carp-suite-interepoch,256,3,1,512,16,121,0.071
479,carp-suite-interepoch,256,3,1,512,17,134,0.052
453,carp-suite-interepoch,256,3,1,512,18,141,0.057
459,carp-suite-interepoch,256,3,1,512,19,131,0.035
495,carp-suite-interepoch,256,3,1,512,20,142,0.057
468,carp-suite-interepoch,256,3,1,512,41,110,0.059
430,carp-suite-interepoch,256,3,1,512,42,122,0.068
487,carp-suite-interepoch,256,3,1,512,43,149,0.07
471,carp-suite-interepoch,256,3,1,512,44,137,0.044
476,carp-suite-interepoch,256,3,1,512,45,124,0.054
497,carp-suite-interepoch,256,3,1,2048,11,131,0.048
464,carp-suite-interepoch,256,3,3,2048,11,131,0.056
499,carp-suite-interepoch,512,1,1,512,12,80,0.408
443,carp-suite-interepoch,512,1,1,512,13,54,0.477
481,carp-suite-interepoch,512,1,1,512,14,70,0.422
434,carp-suite-interepoch,512,1,1,512,15,64,0.515
437,carp-suite-interepoch,512,1,1,512,16,79,0.232
447,carp-suite-interepoch,512,1,1,512,17,76,0.556
454,carp-suite-interepoch,512,1,1,512,18,68,0.515
494,carp-suite-interepoch,512,1,1,512,19,79,0.258
426,carp-suite-interepoch,512,1,1,512,20,80,0.553
474,carp-suite-interepoch,512,1,1,512,41,58,0.468
491,carp-suite-interepoch,512,1,1,512,42,96,0.488
449,carp-suite-interepoch,512,1,1,512,43,68,0.53
428,carp-suite-interepoch,512,1,1,512,44,75,0.553
488,carp-suite-interepoch,512,1,1,512,45,67,0.484
448,carp-suite-interepoch,512,1,1,2048,11,79,0.29
425,carp-suite-interepoch,512,1,3,2048,11,86,0.577
472,carp-suite-interepoch,1024,1,1,512,12,74,0.347
445,carp-suite-interepoch,1024,1,1,512,13,75,0.257
483,carp-suite-interepoch,1024,1,1,512,14,79,0.276
473,carp-suite-interepoch,1024,1,1,512,15,79,0.15
470,carp-suite-interepoch,1024,1,1,512,16,82,0.323
429,carp-suite-interepoch,1024,1,1,512,17,72,0.317
441,carp-suite-interepoch,1024,1,1,512,18,87,0.349
452,carp-suite-interepoch,1024,1,1,512,19,70,0.318
427,carp-suite-interepoch,1024,1,1,512,20,81,0.318
501,carp-suite-interepoch,1024,1,1,512,41,56,0.239
500,carp-suite-interepoch,1024,1,1,512,42,58,0.34
467,carp-suite-interepoch,1024,1,1,512,43,88,0.297
462,carp-suite-interepoch,1024,1,1,512,44,57,0.388
461,carp-suite-interepoch,1024,1,1,512,45,83,0.228
455,carp-suite-interepoch,1024,1,1,2048,11,75,0.211
423,carp-suite-interepoch,1024,1,3,2048,11,80,0.325
529,carp-suite-interepoch-nowrite,32,12,1,512,16,922,0.028
553,carp-suite-interepoch-nowrite,32,12,1,512,17,947,0.066
555,carp-suite-interepoch-nowrite,32,12,1,512,18,940,0.03
549,carp-suite-interepoch-nowrite,32,12,1,512,19,932,0.028
543,carp-suite-interepoch-nowrite,32,12,1,512,20,951,0.271
503,carp-suite-interepoch-nowrite,64,12,1,512,16,618,0.034
546,carp-suite-interepoch-nowrite,64,12,1,512,17,625,0.03
539,carp-suite-interepoch-nowrite,64,12,1,512,18,631,0.037
510,carp-suite-interepoch-nowrite,64,12,1,512,19,613,0.03
524,carp-suite-interepoch-nowrite,128,6,1,512,12,221,0.037
538,carp-suite-interepoch-nowrite,128,6,1,512,13,218,0.035
545,carp-suite-interepoch-nowrite,128,6,1,512,14,215,0.043
530,carp-suite-interepoch-nowrite,128,6,1,512,15,218,0.05
513,carp-suite-interepoch-nowrite,128,6,1,512,16,218,0.042
534,carp-suite-interepoch-nowrite,128,6,1,512,17,218,0.048
505,carp-suite-interepoch-nowrite,128,6,1,512,18,219,0.051
517,carp-suite-interepoch-nowrite,128,6,1,512,19,214,0.035
547,carp-suite-interepoch-nowrite,128,6,1,512,20,216,0.035
516,carp-suite-interepoch-nowrite,128,6,1,2048,11,219,0.04
548,carp-suite-interepoch-nowrite,128,6,3,2048,11,225,0.045
540,carp-suite-interepoch-nowrite,256,3,1,512,12,87,0.038
512,carp-suite-interepoch-nowrite,256,3,1,512,13,82,0.042
532,carp-suite-interepoch-nowrite,256,3,1,512,14,84,0.042
515,carp-suite-interepoch-nowrite,256,3,1,512,15,90,0.055
521,carp-suite-interepoch-nowrite,256,3,1,512,16,84,0.038
541,carp-suite-interepoch-nowrite,256,3,1,512,17,84,0.042
526,carp-suite-interepoch-nowrite,256,3,1,512,18,93,0.052
531,carp-suite-interepoch-nowrite,256,3,1,512,19,87,0.072
551,carp-suite-interepoch-nowrite,256,3,1,512,20,94,0.038
552,carp-suite-interepoch-nowrite,256,3,1,2048,11,87,0.053
533,carp-suite-interepoch-nowrite,256,3,3,2048,11,127,0.055
554,carp-suite-interepoch-nowrite,512,1,1,512,12,36,0.61
519,carp-suite-interepoch-nowrite,512,1,1,512,13,33,0.514
542,carp-suite-interepoch-nowrite,512,1,1,512,14,35,0.559
511,carp-suite-interepoch-nowrite,512,1,1,512,15,31,0.433
514,carp-suite-interepoch-nowrite,512,1,1,512,16,35,0.593
522,carp-suite-interepoch-nowrite,512,1,1,512,17,40,0.581
527,carp-suite-interepoch-nowrite,512,1,1,512,18,32,0.507
550,carp-suite-interepoch-nowrite,512,1,1,512,19,30,0.348
507,carp-suite-interepoch-nowrite,512,1,1,512,20,30,0.371
523,carp-suite-interepoch-nowrite,512,1,1,2048,11,33,0.541
506,carp-suite-interepoch-nowrite,512,1,3,2048,11,79,0.513
536,carp-suite-interepoch-nowrite,1024,1,1,512,12,18,0.335
520,carp-suite-interepoch-nowrite,1024,1,1,512,13,19,0.136
544,carp-suite-interepoch-nowrite,1024,1,1,512,14,17,0.239
537,carp-suite-interepoch-nowrite,1024,1,1,512,15,18,0.404
535,carp-suite-interepoch-nowrite,1024,1,1,512,16,18,0.286
509,carp-suite-interepoch-nowrite,1024,1,1,512,17,17,0.293
518,carp-suite-interepoch-nowrite,1024,1,1,512,18,18,0.314
525,carp-suite-interepoch-nowrite,1024,1,1,512,19,17,0.261
508,carp-suite-interepoch-nowrite,1024,1,1,512,20,19,0.205
528,carp-suite-interepoch-nowrite,1024,1,1,2048,11,18,0.328
504,carp-suite-interepoch-nowrite,1024,1,3,2048,11,80,0.341
24,carp-suite-interpoch-skipsort,512,1,1,512,41,67,0.336
38,carp-suite-interpoch-skipsort,512,1,1,512,42,66,0.353
15,carp-suite-interpoch-skipsort,512,1,1,512,43,88,0.507
1,carp-suite-interpoch-skipsort,512,1,1,512,44,83,0.504
32,carp-suite-interpoch-skipsort,512,1,1,512,45,86,0.256
41,carp-suite-interpoch-skipsort,512,1,1,1024,41,57,0.482
36,carp-suite-interpoch-skipsort,512,1,1,1024,42,90,0.504
16,carp-suite-interpoch-skipsort,512,1,1,1024,43,107,0.544
3,carp-suite-interpoch-skipsort,512,1,1,1024,44,76,0.5
6,carp-suite-interpoch-skipsort,512,1,1,1024,45,69,0.554
26,carp-suite-interpoch-skipsort,512,1,1,2048,41,62,0.277
27,carp-suite-interpoch-skipsort,512,1,1,2048,42,68,0.284
5,carp-suite-interpoch-skipsort,512,1,1,2048,43,112,0.557
34,carp-suite-interpoch-skipsort,512,1,1,2048,44,90,0.319
2,carp-suite-interpoch-skipsort,512,1,1,2048,45,96,0.474
43,carp-suite-interpoch-skipsort,512,1,2,512,41,85,0.471
42,carp-suite-interpoch-skipsort,512,1,2,512,42,75,0.53
40,carp-suite-interpoch-skipsort,512,1,2,512,43,87,0.546
29,carp-suite-interpoch-skipsort,512,1,2,512,44,84,0.361
4,carp-suite-interpoch-skipsort,512,1,2,512,45,71,0.526
7,carp-suite-interpoch-skipsort,512,1,2,1024,41,65,0.546
30,carp-suite-interpoch-skipsort,512,1,2,1024,42,91,0.569
0,carp-suite-interpoch-skipsort,512,1,2,1024,43,96,0.634
12,carp-suite-interpoch-skipsort,512,1,2,1024,44,75,0.545
9,carp-suite-interpoch-skipsort,512,1,2,1024,45,81,0.537
25,carp-suite-interpoch-skipsort,512,1,2,2048,41,86,0.463
37,carp-suite-interpoch-skipsort,512,1,2,2048,42,87,0.581
20,carp-suite-interpoch-skipsort,512,1,2,2048,43,103,0.487
17,carp-suite-interpoch-skipsort,512,1,2,2048,44,74,0.386
13,carp-suite-interpoch-skipsort,512,1,2,2048,45,124,0.415
28,carp-suite-interpoch-skipsort,512,1,3,512,41,95,0.517
