skewedphynodes,skewnodecnt,skewnodepct,skewpct,runtime
16,26,10,0,112.85
16,26,10,0,115.89
16,26,10,0,116.44
16,26,10,10,125.66
16,26,10,10,121.02
16,26,10,10,127.01
16,26,10,20,123.39
16,26,10,20,134.77
16,26,10,20,114.25
16,26,10,30,123.77
16,26,10,30,120.28
16,26,10,30,118.39
16,26,10,40,133.89
16,26,10,40,112.54
16,26,10,40,114.73
16,26,10,50,132.89
16,26,10,50,140.74
16,26,10,50,152.82
16,51,20,10,98.41
16,51,20,10,94.33
16,51,20,10,94.30
16,51,20,20,96.38
16,51,20,20,92.74
16,51,20,20,95.01
16,51,20,40,97.56
16,51,20,40,96.69
16,51,20,40,95.02
16,51,20,50,94.47
16,51,20,50,97.62
16,51,20,50,99.73
