skewedphynodes,skewnodecnt,skewnodepct,skewpct,runtime
16,26,10,0,92.62
16,26,10,0,93.41
16,26,10,0,94.57
16,26,10,20,93.86
16,26,10,20,94.56
16,26,10,20,94.40
16,26,10,40,94.86
16,26,10,40,93.83
16,26,10,40,95.21
16,26,10,50,97.22
16,26,10,50,117.81
16,26,10,50,118.54
16,51,20,0,98.41
16,51,20,0,94.33
16,51,20,0,94.30
16,51,20,20,96.38
16,51,20,20,92.74
16,51,20,20,95.01
16,51,20,40,97.56
16,51,20,40,96.69
16,51,20,40,95.02
16,51,20,50,94.47
16,51,20,50,97.62
16,51,20,50,99.73
16,26,10,0,92.55
16,26,10,0,117.94
16,26,10,0,131.79
16,26,10,20,124.36
16,26,10,20,102.12
16,26,10,20,109.34
16,26,10,40,135.64
16,26,10,40,126.47
16,26,10,40,101.96
16,26,10,50,109.88
16,26,10,50,123.58
16,26,10,50,113.28
